repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssuesEvent,CreateEvent,IssueCommentEvent,DeleteEvent,ForkEvent,total
hiero-ledger/hiero-consensus-node,2025-03,0,1,1,5,0,0,1,0,1,9
hiero-ledger/hiero-consensus-node,2025-04,0,6,8,6,1,0,3,0,0,24
hiero-ledger/hiero-consensus-node,2025-05,0,0,0,2,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2025-07,0,0,0,2,10,0,0,0,0,12
hiero-ledger/hiero-consensus-node,2025-08,0,5,5,0,0,0,0,0,0,10
hiero-ledger/hiero-consensus-node,2025-09,0,8,8,3,2,0,1,0,0,22
hiero-ledger/hiero-consensus-node,2025-10,3,11,11,1,5,1,0,1,0,33
hiero-ledger/hiero-consensus-node,2025-11,50,10,18,3,2,5,2,0,0,90
hiero-ledger/hiero-consensus-node,2025-12,44,15,8,6,7,2,10,2,0,94
hiero-ledger/hiero-consensus-node,2026-01,90,28,11,8,2,2,1,3,0,145
hiero-ledger/hiero-consensus-node,2026-02,51,17,5,12,1,5,0,6,0,97
hiero-ledger/hiero-consensus-node,2026-03,23,3,0,1,1,1,0,1,0,30
hiero-ledger/hiero-consensus-node,2026-04,15,4,2,1,0,4,1,3,0,30
hiero-ledger/hiero-consensus-node,2026-05,55,1,0,1,0,7,1,2,0,67
hiero-ledger/hiero-improvement-proposals,2025-08,0,3,2,0,0,0,0,0,0,5
hiero-ledger/hiero-improvement-proposals,2025-09,0,8,10,0,0,0,1,0,0,19
hiero-ledger/hiero-improvement-proposals,2026-01,0,1,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-09,0,0,0,1,0,0,1,0,1,3
hiero-ledger/solo,2026-02,0,0,0,0,3,0,0,0,0,3
