repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,IssueCommentEvent,IssuesEvent,PullRequestEvent,DeleteEvent,CreateEvent,CommitCommentEvent,total
hiero-ledger/hiero-block-node,2025-02,56,51,7,7,20,4,1,1,0,147
hiero-ledger/hiero-block-node,2025-03,203,143,84,48,46,28,15,12,0,579
hiero-ledger/hiero-block-node,2025-04,81,48,54,11,6,17,8,9,0,234
hiero-ledger/hiero-block-node,2025-05,127,104,56,51,34,14,10,7,0,403
hiero-ledger/hiero-block-node,2025-06,79,50,18,11,22,12,7,6,0,205
hiero-ledger/hiero-block-node,2025-07,58,56,22,15,12,7,5,2,0,177
hiero-ledger/hiero-block-node,2025-08,87,61,28,15,5,11,6,6,4,223
hiero-ledger/hiero-block-node,2025-09,64,41,13,13,13,6,4,1,1,156
hiero-ledger/hiero-block-node,2025-10,65,61,19,7,7,7,3,5,0,174
hiero-ledger/hiero-block-node,2025-11,56,49,3,3,14,6,4,2,0,137
hiero-ledger/hiero-block-node,2025-12,34,34,9,4,3,0,4,0,0,88
hiero-ledger/hiero-block-node,2026-01,51,36,0,4,5,0,0,0,0,96
hiero-ledger/hiero-block-node,2026-02,56,33,11,4,10,5,1,1,0,121
hiero-ledger/hiero-block-node,2026-03,33,27,18,3,2,4,2,2,0,91
hiero-ledger/hiero-block-node,2026-04,36,34,8,1,1,0,2,0,0,82
hiero-ledger/hiero-block-node,2026-05,21,26,17,1,1,5,4,3,3,81
hiero-ledger/hiero-consensus-node,2025-02,6,0,3,1,0,1,0,1,0,12
hiero-ledger/hiero-consensus-node,2025-03,15,13,6,2,0,0,1,0,0,37
hiero-ledger/hiero-consensus-node,2025-04,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-05,17,11,0,3,1,0,0,0,0,32
hiero-ledger/hiero-consensus-node,2025-06,7,5,0,0,0,0,4,0,0,16
hiero-ledger/hiero-consensus-node,2025-07,21,9,0,5,1,0,0,0,0,36
hiero-ledger/hiero-consensus-node,2025-08,28,21,0,1,0,0,0,0,0,50
hiero-ledger/hiero-consensus-node,2025-09,11,9,0,0,0,0,0,0,0,20
hiero-ledger/hiero-consensus-node,2025-10,33,40,0,1,0,0,0,0,0,74
hiero-ledger/hiero-consensus-node,2025-11,7,4,0,1,0,0,0,0,0,12
hiero-ledger/hiero-consensus-node,2025-12,8,12,0,1,0,0,0,0,0,21
hiero-ledger/hiero-consensus-node,2026-01,27,15,2,1,0,2,0,1,0,48
hiero-ledger/hiero-consensus-node,2026-02,2,7,2,2,0,1,0,0,0,14
hiero-ledger/hiero-consensus-node,2026-03,7,0,0,0,0,0,0,1,0,8
hiero-ledger/hiero-consensus-node,2026-04,3,1,0,0,0,0,0,0,0,4
hiero-ledger/hiero-consensus-node,2026-05,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-03,1,1,1,0,0,0,0,0,0,3
hiero-ledger/hiero-improvement-proposals,2025-04,19,19,4,0,0,0,0,0,0,42
hiero-ledger/hiero-improvement-proposals,2025-05,21,23,3,0,0,0,0,0,0,47
hiero-ledger/hiero-improvement-proposals,2025-06,4,5,1,0,0,0,0,0,0,10
hiero-ledger/hiero-improvement-proposals,2025-07,9,9,3,0,0,0,0,1,1,23
hiero-ledger/hiero-improvement-proposals,2025-08,4,4,0,0,0,0,0,0,0,8
hiero-ledger/hiero-improvement-proposals,2025-09,0,0,3,0,0,0,0,1,0,4
hiero-ledger/hiero-improvement-proposals,2025-10,3,3,1,0,0,0,0,0,0,7
hiero-ledger/hiero-improvement-proposals,2025-11,1,3,0,0,0,0,0,0,0,4
hiero-ledger/hiero-improvement-proposals,2025-12,4,5,4,1,0,0,0,0,0,14
hiero-ledger/hiero-improvement-proposals,2026-01,13,5,2,2,0,1,0,0,0,23
hiero-ledger/hiero-improvement-proposals,2026-02,2,2,0,0,0,0,0,3,0,7
hiero-ledger/hiero-improvement-proposals,2026-03,12,14,1,0,0,0,0,1,0,28
hiero-ledger/hiero-improvement-proposals,2026-04,3,1,0,0,0,0,0,0,0,4
hiero-ledger/hiero-improvement-proposals,2026-05,0,2,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-tck,2024-10,1,1,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-tck,2024-11,9,8,0,1,0,0,0,0,0,18
hiero-ledger/hiero-sdk-tck,2024-12,3,2,0,0,0,0,0,0,0,5
hiero-ledger/hiero-sdk-tck,2025-02,11,11,0,0,0,0,0,0,0,22
hiero-ledger/governance,2025-04,4,11,0,0,0,0,0,0,0,15
hiero-ledger/governance,2025-10,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-gradle-conventions,2024-12,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-gradle-conventions,2025-02,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-gradle-conventions,2025-06,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-json-rpc-relay,2025-04,2,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-java,2025-02,1,0,0,0,0,0,0,0,0,1
hiero-ledger/sdk-collaboration-hub,2026-02,1,0,0,0,0,0,0,0,0,1
