repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,IssueCommentEvent,CreateEvent,ForkEvent,IssuesEvent,DeleteEvent,total
hiero-ledger/hiero-consensus-specifications,2025-12,1,0,1,0,0,0,0,0,1,3
hiero-ledger/hiero-consensus-specifications,2026-01,1,0,2,0,0,2,1,0,0,6
hiero-ledger/hiero-consensus-specifications,2026-02,4,8,1,5,0,0,0,0,0,18
hiero-ledger/hiero-consensus-specifications,2026-03,9,1,0,1,0,2,0,0,1,14
hiero-ledger/hiero-consensus-specifications,2026-04,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-specifications,2026-05,0,1,0,0,0,1,0,0,0,2
hiero-ledger/governance,2025-04,0,0,1,0,0,0,1,0,0,2
hiero-ledger/governance,2025-05,0,1,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-06,1,2,3,2,0,0,0,0,0,8
hiero-ledger/governance,2025-07,0,1,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-08,0,1,0,0,0,1,0,0,0,2
hiero-ledger/governance,2025-09,2,0,1,0,0,0,0,0,0,3
hiero-ledger/governance,2025-12,4,0,1,0,0,0,0,0,0,5
hiero-ledger/governance,2026-01,0,1,0,0,0,0,0,0,0,1
hiero-ledger/tsc,2025-03,0,0,0,0,0,0,0,1,0,1
hiero-ledger/tsc,2025-04,0,0,0,0,1,0,0,0,0,1
hiero-ledger/tsc,2025-06,0,5,0,6,1,0,1,0,0,13
hiero-ledger/tsc,2025-11,0,0,0,0,0,0,0,1,0,1
hiero-ledger/tsc,2025-12,0,0,0,0,0,0,0,1,0,1
hiero-ledger/tsc,2026-01,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-06,0,1,0,1,0,0,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2025-08,0,2,1,1,1,0,0,0,0,5
hiero-ledger/hiero-improvement-proposals,2025-09,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-12,6,0,1,0,0,0,0,0,0,7
hiero-ledger/hiero-improvement-proposals,2026-01,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-website,2025-07,0,2,0,0,0,0,0,0,0,2
hiero-ledger/hiero-website,2026-02,0,0,6,0,1,1,1,0,0,9
hiero-ledger/hiero,2025-06,0,0,1,0,1,1,0,0,0,3
hiero-ledger/hiero,2025-07,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-js,2025-03,0,0,0,0,2,0,0,0,0,2
hiero-ledger/hiero-sdk-js,2025-05,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-sdk-rust,2025-06,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-sdk-rust,2025-09,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2025-05,0,0,0,0,1,0,0,0,0,1
