repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,IssuesEvent,PushEvent,DeleteEvent,ForkEvent,CreateEvent,DiscussionEvent,WatchEvent,total
hiero-ledger/hiero-sdk-python,2025-05,0,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-sdk-python,2025-06,8,7,1,2,0,0,0,0,0,0,0,18
hiero-ledger/hiero-sdk-python,2025-07,0,0,4,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-python,2025-08,2,2,8,2,1,0,0,0,0,0,0,15
hiero-ledger/hiero-sdk-python,2025-09,1,0,12,4,0,0,0,0,0,0,0,17
hiero-ledger/hiero-sdk-python,2025-10,5,3,7,1,0,0,0,0,0,0,0,16
hiero-ledger/hiero-sdk-python,2025-11,15,8,6,6,4,0,0,0,0,0,0,39
hiero-ledger/hiero-sdk-python,2025-12,26,17,6,3,5,1,0,0,0,0,0,58
hiero-ledger/hiero-sdk-python,2026-01,40,21,4,3,11,2,0,0,0,0,0,81
hiero-ledger/hiero-sdk-python,2026-02,25,19,5,11,9,6,0,0,0,0,0,75
hiero-ledger/hiero-sdk-python,2026-03,9,7,2,14,9,4,1,0,1,1,0,48
hiero-ledger/hiero-sdk-python,2026-04,9,8,8,7,8,8,4,0,0,0,0,52
hiero-ledger/hiero-sdk-python,2026-05,7,2,0,0,0,10,2,0,0,0,0,21
hiero-ledger/hiero-sdk-java,2025-12,0,0,0,0,0,0,0,1,0,0,1,2
hiero-ledger/hiero-sdk-java,2026-02,1,1,1,2,2,0,0,0,0,0,0,7
hiero-ledger/hiero-sdk-java,2026-04,0,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-java,2026-05,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-enterprise-java,2026-03,0,0,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-enterprise-java,2026-04,1,0,0,0,0,1,0,0,0,0,0,2
hiero-ledger/hiero-enterprise-java,2026-05,1,0,0,0,2,2,0,0,0,0,0,5
hiero-ledger/hiero-consensus-node,2026-01,0,0,0,1,0,0,0,1,0,0,0,2
hiero-ledger/hiero-cli,2026-02,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/sdk-collaboration-hub,2026-04,0,1,0,0,0,0,0,0,0,0,0,1
