repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,IssuesEvent,PullRequestEvent,DeleteEvent,IssueCommentEvent,CreateEvent,ReleaseEvent,WatchEvent,total
hiero-ledger/hiero-consensus-node,2025-02,47,20,14,1,6,2,3,5,0,0,98
hiero-ledger/hiero-consensus-node,2025-03,103,74,39,10,10,5,15,13,4,0,273
hiero-ledger/hiero-consensus-node,2025-04,121,89,31,28,20,12,15,9,2,0,327
hiero-ledger/hiero-consensus-node,2025-05,86,57,38,20,27,14,7,12,0,0,261
hiero-ledger/hiero-consensus-node,2025-06,62,47,34,25,20,6,12,6,0,0,212
hiero-ledger/hiero-consensus-node,2025-07,27,11,17,12,12,3,4,4,0,0,90
hiero-ledger/hiero-consensus-node,2025-08,32,21,9,13,7,31,13,5,0,0,131
hiero-ledger/hiero-consensus-node,2025-09,48,18,28,25,14,9,7,5,1,0,155
hiero-ledger/hiero-consensus-node,2025-10,49,39,39,6,16,3,6,6,0,0,164
hiero-ledger/hiero-consensus-node,2025-11,30,25,25,1,3,2,4,3,0,0,93
hiero-ledger/hiero-consensus-node,2025-12,21,40,8,5,3,1,3,2,0,0,83
hiero-ledger/hiero-consensus-node,2026-01,24,26,11,3,4,3,2,6,0,0,79
hiero-ledger/hiero-consensus-node,2026-02,23,34,19,7,5,2,2,2,0,0,94
hiero-ledger/hiero-consensus-node,2026-03,21,18,35,1,1,2,1,6,0,0,85
hiero-ledger/hiero-consensus-node,2026-04,10,5,6,0,3,3,2,4,0,0,33
hiero-ledger/hiero-consensus-node,2026-05,3,2,6,1,1,1,1,2,0,0,17
hiero-ledger/governance,2025-04,2,7,0,0,0,0,0,0,0,0,9
hiero-ledger/governance,2025-05,1,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-block-node,2025-06,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-block-node,2026-02,2,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-block-node,2026-04,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-gradle-conventions,2025-03,0,0,0,0,0,0,0,0,0,1,1
hiero-ledger/hiero-gradle-conventions,2025-06,3,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-improvement-proposals,2025-10,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2026-02,1,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-mirror-node,2026-01,0,0,0,0,0,0,1,0,0,0,1
