repo,month,PushEvent,PullRequestReviewEvent,IssuesEvent,PullRequestReviewCommentEvent,DeleteEvent,CreateEvent,PullRequestEvent,IssueCommentEvent,ForkEvent,total
hiero-ledger/hiero-cli,2025-11,0,0,15,0,0,0,0,0,0,15
hiero-ledger/hiero-cli,2025-12,38,20,15,7,12,16,15,1,0,124
hiero-ledger/hiero-cli,2026-01,16,24,5,19,4,4,4,1,0,77
hiero-ledger/hiero-cli,2026-02,38,23,15,15,10,9,10,0,0,120
hiero-ledger/hiero-cli,2026-03,65,14,12,12,13,7,4,0,0,127
hiero-ledger/hiero-cli,2026-04,26,5,3,5,4,7,1,1,0,52
hiero-ledger/hiero-cli,2026-05,25,6,1,3,8,4,0,0,0,47
hiero-ledger/governance,2025-12,0,0,0,0,0,0,0,0,1,1
hiero-ledger/governance,2026-01,0,0,0,0,0,0,1,0,0,1
hiero-ledger/hiero-sdk-js,2026-03,0,0,1,0,0,0,0,0,0,1
