repo,month,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,DeleteEvent,CreateEvent,IssuesEvent,WatchEvent,total
hiero-ledger/hiero-sdk-python,2025-01,1,8,0,0,2,14,11,0,0,36
hiero-ledger/hiero-sdk-python,2025-02,5,29,3,6,10,14,11,1,0,79
hiero-ledger/hiero-sdk-python,2025-03,13,3,2,6,4,0,2,1,0,31
hiero-ledger/hiero-sdk-python,2025-04,7,2,1,0,2,0,0,1,0,13
hiero-ledger/hiero-sdk-python,2025-05,19,8,9,12,7,1,0,4,0,60
hiero-ledger/hiero-sdk-python,2025-06,8,2,2,4,3,0,0,3,0,22
hiero-ledger/hiero-sdk-python,2025-07,22,12,10,8,10,1,3,6,0,72
hiero-ledger/hiero-sdk-python,2025-08,34,5,19,4,7,0,0,5,1,75
hiero-ledger/hiero-sdk-python,2025-09,20,2,7,6,6,0,1,4,0,46
hiero-ledger/hiero-sdk-python,2025-10,14,16,15,13,1,2,0,1,0,62
hiero-ledger/hiero-sdk-python,2025-11,15,9,12,10,3,0,3,3,0,55
hiero-ledger/hiero-sdk-python,2025-12,7,2,4,4,1,0,0,0,0,18
hiero-ledger/governance,2025-01,1,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-05,1,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-08,0,0,0,1,0,0,0,0,0,1
hiero-ledger/governance,2025-11,1,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-12,1,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2026-01,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-05,1,0,1,0,0,0,0,0,0,2
hiero-ledger/tsc,2024-12,0,0,0,0,0,0,0,1,0,1
