repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,IssuesEvent,PullRequestEvent,CreateEvent,IssueCommentEvent,total
hiero-ledger/hiero-mirror-node,2025-02,3,0,0,2,0,0,1,6
hiero-ledger/hiero-mirror-node,2025-03,12,8,14,0,2,2,1,39
hiero-ledger/hiero-mirror-node,2025-04,54,49,30,7,6,6,2,154
hiero-ledger/hiero-mirror-node,2025-05,33,32,13,5,5,5,4,97
hiero-ledger/hiero-mirror-node,2025-06,7,4,6,4,1,2,0,24
hiero-ledger/hiero-mirror-node,2025-07,3,2,8,4,2,3,0,22
hiero-ledger/hiero-mirror-node,2025-08,13,10,5,0,4,1,0,33
hiero-ledger/hiero-mirror-node,2025-09,3,2,2,0,1,1,0,9
hiero-ledger/hiero-local-node,2025-02,0,0,0,2,0,0,1,3
hiero-ledger/hiero-sdk-java,2025-04,0,0,0,1,0,0,0,1
