repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssuesEvent,DeleteEvent,IssueCommentEvent,CreateEvent,ForkEvent,total
hiero-ledger/hiero-json-rpc-relay,2025-03,72,56,45,15,13,3,13,7,0,224
hiero-ledger/hiero-json-rpc-relay,2025-04,181,116,68,63,41,37,30,22,0,558
hiero-ledger/hiero-json-rpc-relay,2025-05,94,96,76,12,22,11,9,10,0,330
hiero-ledger/hiero-json-rpc-relay,2025-06,22,40,26,4,7,4,12,2,0,117
hiero-ledger/hiero-json-rpc-relay,2025-07,20,80,39,12,10,9,11,3,0,184
hiero-ledger/hiero-json-rpc-relay,2025-08,53,87,30,18,4,14,14,5,0,225
hiero-ledger/hiero-json-rpc-relay,2025-09,30,12,8,6,2,3,2,7,0,70
hiero-ledger/hiero-json-rpc-relay,2025-10,74,55,31,14,15,10,9,4,0,212
hiero-ledger/hiero-json-rpc-relay,2025-11,15,21,36,11,11,1,5,8,0,108
hiero-ledger/hiero-json-rpc-relay,2025-12,39,41,20,8,16,8,4,3,0,139
hiero-ledger/hiero-json-rpc-relay,2026-01,36,24,27,20,16,3,3,11,0,140
hiero-ledger/hiero-json-rpc-relay,2026-02,34,13,26,3,7,1,0,1,0,85
hiero-ledger/hiero-json-rpc-relay,2026-03,32,2,4,7,4,2,0,9,0,60
hiero-ledger/hiero-json-rpc-relay,2026-04,7,11,15,4,3,2,0,3,0,45
hiero-ledger/hiero-json-rpc-relay,2026-05,29,0,2,4,0,20,0,2,0,57
hiero-ledger/hiero-contracts,2026-01,0,3,5,0,0,0,0,0,0,8
hiero-ledger/hiero-mirror-node,2025-04,0,0,0,0,2,0,2,0,0,4
hiero-ledger/hiero-mirror-node,2025-09,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-mirror-node,2025-10,0,0,0,0,2,0,0,0,0,2
hiero-ledger/hiero-local-node,2025-05,0,0,0,0,0,0,1,0,0,1
hiero-ledger/hiero-local-node,2025-06,0,0,0,0,1,0,0,0,1,2
hiero-ledger/hiero-local-node,2025-07,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-local-node,2025-10,0,0,0,0,0,0,1,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2025-04,0,0,0,2,0,0,1,0,0,3
hiero-ledger/hiero-mirror-node-explorer,2025-06,0,0,0,1,0,0,1,0,0,2
hiero-ledger/hiero-consensus-node,2025-08,0,0,0,2,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2025-09,0,0,0,2,0,0,0,0,0,2
hiero-ledger/hiero-sdk-js,2025-06,0,0,0,0,1,0,1,0,0,2
hiero-ledger/solo,2026-04,0,0,0,1,0,0,1,0,0,2
hiero-ledger/hiero-improvement-proposals,2025-04,0,0,1,0,0,0,0,0,0,1
