repo,month,IssuesEvent,PushEvent,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,IssueCommentEvent,DeleteEvent,CreateEvent,GollumEvent,ReleaseEvent,ForkEvent,total
hiero-ledger/hiero-sdk-cpp,2024-10,0,2,2,1,0,1,0,0,0,0,0,6
hiero-ledger/hiero-sdk-cpp,2024-11,11,20,7,10,4,1,4,7,0,2,0,66
hiero-ledger/hiero-sdk-cpp,2024-12,10,23,5,8,0,2,1,10,0,1,0,60
hiero-ledger/hiero-sdk-cpp,2025-01,2,12,14,5,12,1,3,1,0,1,0,51
hiero-ledger/hiero-sdk-cpp,2025-02,9,10,8,2,6,3,2,2,0,0,0,42
hiero-ledger/hiero-sdk-cpp,2025-03,6,9,5,4,4,1,1,3,0,0,0,33
hiero-ledger/hiero-sdk-cpp,2025-04,0,2,3,2,1,1,1,1,0,0,0,11
hiero-ledger/hiero-sdk-cpp,2025-05,0,1,6,0,1,0,0,2,0,0,0,10
hiero-ledger/hiero-sdk-cpp,2025-06,2,1,4,1,1,0,0,1,0,0,0,10
hiero-ledger/hiero-sdk-cpp,2025-07,2,4,9,2,3,0,2,1,0,0,0,23
hiero-ledger/hiero-sdk-cpp,2025-09,0,3,1,1,0,0,0,1,0,0,0,6
hiero-ledger/hiero-sdk-cpp,2025-10,1,5,8,0,2,0,0,0,0,0,0,16
hiero-ledger/hiero-sdk-cpp,2025-11,1,1,1,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-cpp,2025-12,3,4,1,0,0,3,0,0,0,0,0,11
hiero-ledger/hiero-sdk-cpp,2026-01,71,13,16,6,7,24,2,1,0,0,0,140
hiero-ledger/hiero-sdk-cpp,2026-02,181,32,32,38,8,17,8,0,0,0,0,316
hiero-ledger/hiero-sdk-cpp,2026-03,28,34,9,26,7,1,7,2,0,1,0,115
hiero-ledger/hiero-sdk-cpp,2026-04,114,44,54,51,28,12,10,4,0,0,0,317
hiero-ledger/hiero-sdk-cpp,2026-05,22,29,13,15,9,6,2,1,0,0,0,97
hiero-ledger/hiero-sdk-tck,2024-10,3,6,3,5,1,2,1,4,0,0,0,25
hiero-ledger/hiero-sdk-tck,2024-11,10,46,24,18,20,2,3,10,0,0,0,133
hiero-ledger/hiero-sdk-tck,2024-12,20,69,11,12,12,4,6,7,0,0,0,141
hiero-ledger/hiero-sdk-tck,2025-01,15,22,15,10,11,2,11,1,0,0,0,87
hiero-ledger/hiero-sdk-tck,2025-02,9,15,19,7,7,8,2,2,0,0,0,69
hiero-ledger/hiero-sdk-tck,2025-03,11,36,7,13,4,10,5,6,0,0,0,92
hiero-ledger/hiero-sdk-tck,2025-04,4,29,8,8,1,2,7,2,0,1,0,62
hiero-ledger/hiero-sdk-tck,2025-05,0,1,6,1,6,0,1,0,0,0,0,15
hiero-ledger/hiero-sdk-tck,2025-06,1,1,11,2,3,0,1,0,0,0,0,19
hiero-ledger/hiero-sdk-tck,2025-07,12,7,5,2,7,9,1,3,0,3,0,49
hiero-ledger/hiero-sdk-tck,2025-08,11,16,19,10,30,4,5,3,0,0,0,98
hiero-ledger/hiero-sdk-tck,2025-10,0,1,1,1,0,1,1,0,0,0,0,5
hiero-ledger/hiero-sdk-tck,2025-11,0,0,1,0,1,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-tck,2026-01,5,0,0,0,0,0,0,0,0,0,0,5
hiero-ledger/hiero-sdk-tck,2026-02,0,0,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2026-04,0,2,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-tck,2026-05,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-swift,2025-01,0,6,1,1,0,0,0,0,0,0,0,8
hiero-ledger/hiero-sdk-swift,2025-02,3,1,3,0,0,0,0,0,0,0,0,7
hiero-ledger/hiero-sdk-swift,2025-04,1,5,0,1,0,1,0,1,0,0,0,9
hiero-ledger/hiero-sdk-swift,2025-05,7,12,2,5,0,4,5,4,0,2,0,41
hiero-ledger/hiero-sdk-swift,2025-06,4,9,0,4,0,1,2,3,0,1,0,24
hiero-ledger/hiero-sdk-swift,2025-07,7,12,1,8,0,0,5,8,0,1,0,42
hiero-ledger/hiero-sdk-swift,2025-08,3,20,0,4,0,1,1,1,0,0,0,30
hiero-ledger/hiero-sdk-swift,2025-09,1,12,0,3,0,2,1,2,0,1,0,22
hiero-ledger/hiero-sdk-swift,2025-10,3,16,0,0,0,0,0,1,0,0,0,20
hiero-ledger/hiero-sdk-swift,2025-11,0,16,0,3,0,0,0,2,0,0,0,21
hiero-ledger/hiero-sdk-swift,2025-12,33,25,1,22,3,2,4,4,0,1,0,95
hiero-ledger/hiero-sdk-swift,2026-01,102,12,1,12,0,6,2,3,0,0,1,139
hiero-ledger/hiero-sdk-swift,2026-02,33,10,8,24,1,6,2,3,0,0,0,87
hiero-ledger/hiero-sdk-swift,2026-03,8,9,6,4,7,0,1,1,0,0,0,36
hiero-ledger/hiero-sdk-swift,2026-04,5,14,6,13,2,2,4,1,0,0,0,47
hiero-ledger/hiero-sdk-swift,2026-05,2,15,0,0,0,0,3,0,0,0,0,20
hiero-ledger/sdk-collaboration-hub,2025-03,0,1,0,1,0,0,0,2,0,0,0,4
hiero-ledger/sdk-collaboration-hub,2025-04,0,6,15,5,11,2,3,1,0,0,0,43
hiero-ledger/sdk-collaboration-hub,2025-05,1,2,11,3,2,0,3,2,0,0,0,24
hiero-ledger/sdk-collaboration-hub,2025-06,1,1,4,2,1,1,2,0,0,0,0,12
hiero-ledger/sdk-collaboration-hub,2025-07,0,2,3,2,4,0,0,1,0,0,0,12
hiero-ledger/sdk-collaboration-hub,2025-08,0,1,1,2,0,0,1,1,0,0,0,6
hiero-ledger/sdk-collaboration-hub,2025-09,0,0,2,1,3,0,0,0,0,0,0,6
hiero-ledger/sdk-collaboration-hub,2025-10,0,2,9,0,12,0,1,1,0,0,0,25
hiero-ledger/sdk-collaboration-hub,2025-11,3,4,20,7,15,2,1,5,0,0,0,57
hiero-ledger/sdk-collaboration-hub,2025-12,0,3,6,2,3,6,2,1,0,0,0,23
hiero-ledger/sdk-collaboration-hub,2026-01,0,5,2,1,7,1,2,0,0,0,0,18
hiero-ledger/sdk-collaboration-hub,2026-02,1,8,8,2,9,1,3,1,0,0,0,33
hiero-ledger/sdk-collaboration-hub,2026-03,0,8,3,3,6,0,2,3,0,0,0,25
hiero-ledger/sdk-collaboration-hub,2026-04,1,14,4,4,5,4,5,2,0,0,0,39
hiero-ledger/sdk-collaboration-hub,2026-05,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2024-11,0,0,1,1,0,0,0,0,0,0,0,2
hiero-ledger/governance,2025-02,0,0,0,1,0,0,0,0,0,0,1,2
hiero-ledger/governance,2025-03,0,0,1,0,0,2,0,0,0,0,0,3
hiero-ledger/governance,2025-04,0,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-05,0,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-06,0,0,0,0,0,1,0,0,0,0,0,1
hiero-ledger/governance,2025-08,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-10,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-11,0,0,0,0,0,0,0,0,1,0,0,1
hiero-ledger/governance,2025-12,1,1,0,1,0,0,0,0,9,0,0,12
hiero-ledger/governance,2026-01,0,0,0,1,2,0,0,0,9,0,0,12
hiero-ledger/governance,2026-02,0,0,0,1,0,1,0,0,7,0,0,9
hiero-ledger/governance,2026-03,0,0,0,1,0,0,0,0,1,0,0,2
hiero-ledger/governance,2026-04,0,0,0,0,0,0,0,0,1,0,0,1
hiero-ledger/hiero-sdk-python,2025-03,0,0,1,0,3,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-python,2026-01,5,0,9,0,8,6,0,0,0,0,0,28
hiero-ledger/hiero-sdk-python,2026-02,2,0,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-python,2026-03,2,0,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-js,2025-02,2,0,1,0,1,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-js,2025-03,2,0,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-js,2025-04,3,0,0,0,0,1,0,0,0,0,0,4
hiero-ledger/hiero-sdk-js,2025-08,2,0,1,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-js,2025-11,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-js,2026-01,0,0,4,1,1,0,0,0,0,0,0,6
hiero-ledger/hiero-sdk-js,2026-02,0,0,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-sdk-js,2026-03,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero,2024-11,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero,2025-02,0,0,0,1,5,0,0,0,0,0,0,6
hiero-ledger/hiero,2025-03,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero,2025-04,0,0,0,1,0,1,0,0,0,0,0,2
hiero-ledger/hiero-sdk-java,2025-02,2,0,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-java,2025-03,2,0,0,0,0,0,0,0,0,0,0,2
