repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,CreateEvent,IssueCommentEvent,IssuesEvent,total
hiero-ledger/hiero-mirror-node,2025-02,3,8,7,2,2,0,0,22
hiero-ledger/hiero-mirror-node,2025-03,58,32,31,8,6,1,3,139
hiero-ledger/hiero-mirror-node,2025-04,46,25,23,6,6,0,0,106
hiero-ledger/hiero-mirror-node,2025-05,11,20,16,3,3,3,1,57
hiero-ledger/hiero-mirror-node,2025-06,43,23,23,0,2,1,0,92
hiero-ledger/hiero-mirror-node,2025-07,4,13,13,0,0,2,0,32
hiero-ledger/hiero-mirror-node,2025-08,14,17,17,4,2,0,0,54
hiero-ledger/hiero-mirror-node,2025-09,9,7,7,3,1,4,0,31
hiero-ledger/hiero-mirror-node,2025-10,11,20,19,3,2,0,2,57
hiero-ledger/hiero-mirror-node,2025-11,21,16,16,0,1,0,1,55
hiero-ledger/hiero-mirror-node,2025-12,10,3,4,2,2,4,3,28
hiero-ledger/hiero-mirror-node,2026-01,24,5,4,3,1,1,0,38
hiero-ledger/hiero-mirror-node,2026-02,25,7,9,2,2,0,0,45
hiero-ledger/hiero-mirror-node,2026-03,20,2,0,0,0,0,2,24
hiero-ledger/hiero-mirror-node,2026-04,20,0,0,1,3,0,1,25
hiero-ledger/hiero-mirror-node,2026-05,20,1,0,0,0,0,0,21
hiero-ledger/hiero-consensus-node,2025-03,0,0,0,0,0,0,1,1
hiero-ledger/hiero-consensus-node,2025-04,0,0,0,0,0,0,1,1
