repo,month,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,IssuesEvent,PullRequestEvent,DeleteEvent,CreateEvent,IssueCommentEvent,WatchEvent,total
hiero-ledger/hiero-json-rpc-relay,2025-03,7,13,3,4,4,2,1,0,0,34
hiero-ledger/hiero-json-rpc-relay,2025-04,41,34,17,5,12,7,10,3,0,129
hiero-ledger/hiero-json-rpc-relay,2025-05,15,27,4,4,3,1,1,0,0,55
hiero-ledger/hiero-json-rpc-relay,2025-06,23,9,10,8,6,3,3,2,0,64
hiero-ledger/hiero-json-rpc-relay,2025-07,30,14,17,10,5,3,3,1,0,83
hiero-ledger/hiero-json-rpc-relay,2025-08,32,16,4,6,9,7,2,2,0,78
hiero-ledger/hiero-json-rpc-relay,2025-09,15,12,6,3,10,5,5,1,0,57
hiero-ledger/hiero-json-rpc-relay,2025-10,22,10,10,2,3,1,2,1,0,51
hiero-ledger/hiero-json-rpc-relay,2025-11,14,19,7,2,3,4,3,2,0,54
hiero-ledger/hiero-json-rpc-relay,2025-12,16,1,2,10,2,0,2,1,0,34
hiero-ledger/hiero-json-rpc-relay,2026-01,10,6,2,4,3,0,1,1,0,27
hiero-ledger/hiero-json-rpc-relay,2026-02,14,21,2,3,1,9,1,3,0,54
hiero-ledger/hiero-json-rpc-relay,2026-03,6,20,3,3,1,6,4,1,0,44
hiero-ledger/hiero-json-rpc-relay,2026-04,1,1,0,0,0,0,1,0,0,3
hiero-ledger/hiero-json-rpc-relay,2026-05,5,10,0,0,0,1,2,0,0,18
hiero-ledger/hiero-contracts,2026-01,2,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-contracts,2026-05,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-local-node,2025-02,0,0,0,0,2,0,0,0,0,2
hiero-ledger/hiero-local-node,2025-03,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node,2025-04,0,0,0,2,0,0,0,0,0,2
hiero-ledger/hiero-mirror-node,2025-11,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-08,0,0,0,0,0,0,0,0,1,1
