repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssuesEvent,CreateEvent,DeleteEvent,IssueCommentEvent,ForkEvent,total
hiero-ledger/hiero-consensus-node,2025-02,21,23,15,9,7,4,6,0,0,85
hiero-ledger/hiero-consensus-node,2025-03,36,17,7,21,12,8,9,2,0,112
hiero-ledger/hiero-consensus-node,2025-04,21,18,7,14,6,5,3,4,0,78
hiero-ledger/hiero-consensus-node,2025-05,14,25,11,3,1,3,0,1,0,58
hiero-ledger/hiero-consensus-node,2025-06,17,17,9,6,0,3,2,2,0,56
hiero-ledger/hiero-consensus-node,2025-07,23,10,3,11,13,5,4,3,0,72
hiero-ledger/hiero-consensus-node,2025-08,9,8,5,1,3,0,0,0,0,26
hiero-ledger/hiero-consensus-node,2025-09,5,17,6,0,4,0,0,5,0,37
hiero-ledger/hiero-consensus-node,2025-10,1,5,5,1,1,1,4,0,0,18
hiero-ledger/hiero-consensus-node,2025-11,6,2,1,2,0,1,0,0,0,12
hiero-ledger/hiero-consensus-node,2025-12,5,3,2,2,3,2,3,1,0,21
hiero-ledger/hiero-consensus-node,2026-01,2,5,0,0,1,0,1,1,0,10
hiero-ledger/hiero-consensus-node,2026-02,1,3,1,1,2,1,0,0,0,9
hiero-ledger/hiero-consensus-node,2026-03,4,3,0,0,0,2,1,0,0,10
hiero-ledger/hiero-consensus-node,2026-04,5,3,1,1,0,0,2,0,0,12
hiero-ledger/hiero-consensus-node,2026-05,7,0,0,0,0,1,0,1,0,9
hiero-ledger/hiero-improvement-proposals,2025-07,0,3,1,0,0,0,0,0,0,4
hiero-ledger/hiero-improvement-proposals,2025-09,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-10,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-json-rpc-relay,2025-08,0,0,0,1,1,0,0,0,1,3
hiero-ledger/hiero-json-rpc-relay,2025-09,0,0,1,0,0,0,0,0,0,1
hiero-ledger/governance,2025-05,0,2,0,0,0,0,0,0,0,2
