repo,month,CreateEvent,IssueCommentEvent,DeleteEvent,PushEvent,PullRequestEvent,ReleaseEvent,IssuesEvent,PullRequestReviewEvent,total
hiero-ledger/hiero-consensus-node,2025-02,105,0,78,2,0,0,0,0,185
hiero-ledger/hiero-consensus-node,2025-03,213,0,137,2,0,5,0,0,357
hiero-ledger/hiero-consensus-node,2025-04,179,0,138,1,0,1,0,0,319
hiero-ledger/hiero-consensus-node,2025-05,147,0,113,0,0,1,0,0,261
hiero-ledger/hiero-consensus-node,2025-06,118,0,74,0,0,0,0,0,192
hiero-ledger/hiero-consensus-node,2025-07,138,0,85,0,0,1,0,0,224
hiero-ledger/hiero-consensus-node,2025-08,113,0,87,0,0,0,0,0,200
hiero-ledger/hiero-consensus-node,2025-09,87,0,66,0,0,0,0,0,153
hiero-ledger/hiero-consensus-node,2025-10,35,0,96,1,0,0,0,0,132
hiero-ledger/hiero-consensus-node,2025-11,0,0,73,1,0,0,0,0,74
hiero-ledger/hiero-consensus-node,2025-12,0,0,40,1,0,0,0,0,41
hiero-ledger/hiero-consensus-node,2026-01,0,0,54,0,0,0,0,0,54
hiero-ledger/hiero-consensus-node,2026-02,0,0,70,0,0,0,0,0,70
hiero-ledger/hiero-consensus-node,2026-03,0,0,51,0,0,0,0,0,51
hiero-ledger/hiero-consensus-node,2026-04,0,0,65,1,0,0,0,4,70
hiero-ledger/hiero-consensus-node,2026-05,0,0,52,0,0,0,0,4,56
hiero-ledger/solo,2025-05,3,654,0,3,0,6,0,0,666
hiero-ledger/solo,2025-06,2,72,0,1,0,3,0,0,78
hiero-ledger/solo,2025-07,3,60,0,3,0,4,0,0,70
hiero-ledger/solo,2025-08,0,47,0,1,0,2,0,0,50
hiero-ledger/solo,2025-09,4,82,0,1,0,3,0,0,90
hiero-ledger/solo,2025-10,2,48,0,2,8,1,7,0,68
hiero-ledger/solo,2025-11,0,19,0,2,5,1,6,0,33
hiero-ledger/solo,2025-12,0,24,0,0,14,1,8,0,47
hiero-ledger/solo,2026-01,0,24,0,0,4,1,6,0,35
hiero-ledger/solo,2026-02,0,16,0,2,5,0,8,0,31
hiero-ledger/solo,2026-03,0,6,0,3,1,0,3,0,13
hiero-ledger/solo,2026-04,0,6,0,2,1,0,1,0,10
hiero-ledger/solo,2026-05,0,3,0,2,0,0,0,0,5
hiero-ledger/hiero-mirror-node-explorer,2025-04,3,61,0,0,1,2,0,0,67
hiero-ledger/hiero-mirror-node-explorer,2025-06,2,67,0,0,3,0,0,0,72
hiero-ledger/hiero-mirror-node-explorer,2025-07,0,53,0,0,0,1,0,0,54
hiero-ledger/hiero-mirror-node-explorer,2025-09,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2026-01,0,20,0,0,6,1,5,0,32
