repo,month,IssuesEvent,IssueCommentEvent,PushEvent,DeleteEvent,PullRequestEvent,ForkEvent,PullRequestReviewEvent,CreateEvent,total
hiero-ledger/hiero-docs,2025-02,17,13,4,2,9,1,3,1,50
hiero-ledger/hiero-docs,2025-03,23,14,1,15,1,0,1,1,56
hiero-ledger/hiero-docs,2025-04,25,14,18,4,6,3,0,5,75
hiero-ledger/hiero-docs,2025-05,3,1,0,1,0,0,3,0,8
hiero-ledger/hiero-docs,2025-06,1,3,0,0,0,0,0,0,4
hiero-ledger/hiero-docs,2025-07,0,0,0,0,0,0,1,0,1
hiero-ledger/hiero-docs,2025-09,1,0,0,0,0,0,0,0,1
hiero-ledger/governance,2024-11,0,0,0,0,0,1,0,0,1
hiero-ledger/governance,2025-01,0,0,0,0,1,0,1,0,2
hiero-ledger/hiero-consensus-node,2025-03,0,0,0,0,0,1,0,0,1
hiero-ledger/hiero-sdk-go,2026-02,0,0,0,0,0,1,0,0,1
hiero-ledger/hiero-sdk-java,2026-02,0,0,0,0,0,1,0,0,1
hiero-ledger/hiero-sdk-js,2026-02,0,0,0,0,0,1,0,0,1
