repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,IssuesEvent,PullRequestEvent,CreateEvent,IssueCommentEvent,DeleteEvent,total
hiero-ledger/hiero-consensus-node,2025-02,22,9,5,0,2,1,2,0,41
hiero-ledger/hiero-consensus-node,2025-03,37,30,16,4,5,3,2,2,99
hiero-ledger/hiero-consensus-node,2025-04,37,28,13,1,2,1,2,1,85
hiero-ledger/hiero-consensus-node,2025-05,35,33,15,0,2,0,2,0,87
hiero-ledger/hiero-consensus-node,2025-06,29,20,5,2,0,1,1,0,58
hiero-ledger/hiero-consensus-node,2025-07,15,11,9,2,2,1,0,2,42
hiero-ledger/hiero-consensus-node,2025-08,47,30,5,0,1,1,3,0,87
hiero-ledger/hiero-consensus-node,2025-09,15,13,5,1,2,3,0,1,40
hiero-ledger/hiero-consensus-node,2025-10,24,17,20,3,1,2,4,0,71
hiero-ledger/hiero-consensus-node,2025-11,10,5,16,11,7,5,3,3,60
hiero-ledger/hiero-consensus-node,2025-12,6,10,14,3,4,4,2,4,47
hiero-ledger/hiero-consensus-node,2026-01,2,1,5,0,0,0,0,0,8
hiero-ledger/hiero-consensus-node,2026-02,5,4,8,2,1,0,0,1,21
hiero-ledger/hiero-consensus-node,2026-03,1,0,1,0,0,1,0,1,4
hiero-ledger/hiero-consensus-node,2026-04,1,1,12,0,0,3,2,3,22
hiero-ledger/hiero-consensus-node,2026-05,0,0,4,3,0,1,0,0,8
hiero-ledger/hiero-improvement-proposals,2026-01,2,2,0,0,1,0,0,0,5
hiero-ledger/hiero-block-node,2025-10,0,0,0,1,0,0,0,0,1
