repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,DeleteEvent,IssuesEvent,CreateEvent,IssueCommentEvent,ReleaseEvent,ForkEvent,total
hiero-ledger/hiero-consensus-node,2025-02,33,29,16,17,67,9,13,4,0,0,188
hiero-ledger/hiero-consensus-node,2025-03,80,52,23,16,9,15,19,2,2,0,218
hiero-ledger/hiero-consensus-node,2025-04,29,17,9,9,4,10,7,0,0,0,85
hiero-ledger/hiero-consensus-node,2025-05,21,30,13,9,2,14,7,1,1,0,98
hiero-ledger/hiero-consensus-node,2025-06,22,30,18,20,5,8,10,2,1,0,116
hiero-ledger/hiero-consensus-node,2025-07,31,28,14,19,7,11,9,2,0,0,121
hiero-ledger/hiero-consensus-node,2025-08,24,32,20,30,5,12,11,3,0,0,137
hiero-ledger/hiero-consensus-node,2025-09,7,12,5,5,1,4,4,1,0,0,39
hiero-ledger/hiero-consensus-node,2025-10,30,29,10,14,1,5,8,3,0,0,100
hiero-ledger/hiero-consensus-node,2025-11,39,12,9,4,5,5,6,4,0,0,84
hiero-ledger/hiero-consensus-node,2025-12,12,7,13,2,2,8,5,0,0,0,49
hiero-ledger/hiero-consensus-node,2026-01,29,19,14,6,3,10,6,1,0,0,88
hiero-ledger/hiero-consensus-node,2026-02,24,5,16,2,8,13,8,1,0,0,77
hiero-ledger/hiero-consensus-node,2026-03,26,7,8,5,6,5,3,0,0,0,60
hiero-ledger/hiero-consensus-node,2026-04,14,2,6,3,3,2,4,0,0,0,34
hiero-ledger/hiero-consensus-node,2026-05,22,1,2,0,3,0,5,0,0,0,33
hiero-ledger/hiero-improvement-proposals,2025-03,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-04,0,0,1,0,0,0,0,0,0,1,2
hiero-ledger/hiero-improvement-proposals,2025-05,0,24,3,23,0,0,0,1,0,0,51
hiero-ledger/hiero-improvement-proposals,2025-06,0,0,2,0,0,0,0,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2025-07,0,15,4,17,0,0,0,0,0,0,36
hiero-ledger/hiero-improvement-proposals,2025-09,0,0,2,0,0,0,0,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2025-10,0,3,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-improvement-proposals,2025-12,0,0,1,0,0,0,0,1,0,0,2
hiero-ledger/hiero-improvement-proposals,2026-01,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-03,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-05,0,0,0,0,0,0,0,1,0,0,1
hiero-ledger/governance,2025-06,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-10,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2026-02,0,1,0,0,0,0,0,0,0,0,1
