repo,month,PullRequestReviewEvent,PushEvent,PullRequestEvent,PullRequestReviewCommentEvent,DeleteEvent,IssuesEvent,CreateEvent,IssueCommentEvent,ForkEvent,WatchEvent,total
hiero-ledger/hiero-mirror-node,2025-02,46,24,19,42,16,3,2,2,0,0,154
hiero-ledger/hiero-mirror-node,2025-03,92,62,26,47,19,20,8,9,0,0,283
hiero-ledger/hiero-mirror-node,2025-04,121,63,47,45,35,21,16,15,0,0,363
hiero-ledger/hiero-mirror-node,2025-05,72,49,37,14,23,16,16,5,0,0,232
hiero-ledger/hiero-mirror-node,2025-06,65,68,51,27,32,8,10,3,0,0,264
hiero-ledger/hiero-mirror-node,2025-07,96,59,35,49,39,7,7,3,0,0,295
hiero-ledger/hiero-mirror-node,2025-08,46,18,15,19,9,3,6,2,0,0,118
hiero-ledger/hiero-mirror-node,2025-09,36,49,32,11,28,5,10,1,0,0,172
hiero-ledger/hiero-mirror-node,2025-10,43,24,18,37,9,24,6,2,0,0,163
hiero-ledger/hiero-mirror-node,2025-11,25,50,45,19,28,16,15,5,0,0,203
hiero-ledger/hiero-mirror-node,2025-12,26,24,20,20,8,13,2,2,0,0,115
hiero-ledger/hiero-mirror-node,2026-01,30,36,52,17,21,24,19,2,0,0,201
hiero-ledger/hiero-mirror-node,2026-02,26,22,19,19,14,14,6,3,0,0,123
hiero-ledger/hiero-mirror-node,2026-03,15,41,21,18,23,13,5,0,0,0,136
hiero-ledger/hiero-mirror-node,2026-04,7,27,17,4,11,5,3,2,0,0,76
hiero-ledger/hiero-mirror-node,2026-05,3,25,8,3,9,1,5,1,0,0,55
hyperledger-labs/pluggable-hcs,2020-04,0,0,0,0,2,0,3,0,0,0,5
hyperledger-labs/pluggable-hcs,2020-05,0,19,32,0,17,0,17,3,0,1,89
hyperledger-labs/pluggable-hcs,2020-06,0,4,2,0,0,4,0,1,0,0,11
hyperledger-labs/pluggable-hcs,2020-07,0,2,2,0,0,0,0,0,0,0,4
hyperledger-labs/pluggable-hcs,2020-09,0,2,3,0,0,0,0,0,0,0,5
hyperledger-labs/pluggable-hcs,2021-04,0,4,8,0,5,0,5,0,0,0,22
hyperledger-labs/pluggable-hcs,2021-08,0,1,2,0,0,0,0,0,1,0,4
hiero-ledger/hiero-improvement-proposals,2025-04,11,0,0,18,0,0,0,0,0,0,29
hiero-ledger/hiero-improvement-proposals,2025-06,0,0,0,2,0,0,0,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2025-08,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2026-03,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-03,0,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-07,7,0,0,2,0,0,0,0,0,0,9
hiero-ledger/hiero-consensus-node,2025-10,4,0,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-consensus-node,2025-12,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2026-01,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2026-02,4,0,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-block-node,2025-06,0,0,0,0,0,4,0,2,0,0,6
hiero-ledger/hiero-block-node,2025-07,0,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-block-node,2025-08,2,0,0,2,0,0,0,0,0,0,4
hyperledger-labs/fabric,2020-07,0,3,2,0,0,0,0,0,0,0,5
hyperledger-labs/hyperledger-labs.github.io,2020-03,0,0,0,3,0,0,0,1,0,0,4
hiero-ledger/governance,2025-03,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-04,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-go,2025-01,0,0,0,0,0,0,0,0,0,1,1
hiero-ledger/hiero-sdk-go,2025-02,0,0,0,0,0,1,0,0,0,0,1
hiero-ledger/solo,2025-08,0,0,0,0,0,0,0,1,0,0,1
hiero-ledger/solo,2026-04,0,0,0,0,0,0,0,1,0,0,1
hiero-ledger/hiero-sdk-java,2026-01,0,0,0,0,0,1,0,0,0,0,1
hyperledger/caliper-benchmarks,2020-05,0,0,0,0,0,0,0,0,1,0,1
hyperledger/fabric,2020-01,0,0,0,0,0,0,0,0,1,0,1
hyperledger/fabric-config,2020-09,0,0,0,0,0,0,0,0,1,0,1
hyperledger/fabric-protos,2020-04,0,0,0,0,0,0,0,0,1,0,1
