repo,month,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssueCommentEvent,IssuesEvent,ForkEvent,total
hyperledger/bevel,2023-03,3,4,4,1,0,3,15
hyperledger/bevel,2023-04,1,0,0,1,0,0,2
hyperledger/bevel,2023-05,5,1,1,1,3,0,11
hyperledger/bevel,2023-06,6,0,0,4,1,0,11
hyperledger/bevel,2023-07,3,3,3,2,6,0,17
hyperledger/bevel,2023-08,2,6,6,4,1,0,19
hyperledger/bevel,2023-09,2,9,8,1,0,0,20
hyperledger/bevel,2023-10,7,2,2,3,0,0,14
hyperledger/bevel,2023-11,7,1,1,1,0,0,10
hyperledger/bevel,2023-12,2,0,0,1,1,1,5
hyperledger/bevel,2024-01,2,0,0,1,1,0,4
hyperledger/bevel,2024-02,1,0,0,1,0,0,2
hyperledger/bevel,2024-03,0,2,2,0,0,0,4
hyperledger/bevel,2024-04,2,0,0,1,1,0,4
hyperledger/bevel,2024-05,1,2,2,0,0,0,5
hyperledger/bevel,2024-06,4,7,7,0,0,0,18
hyperledger/bevel,2024-07,2,0,0,0,1,0,3
hyperledger/bevel,2024-08,1,0,0,0,3,0,4
hyperledger/bevel,2024-09,1,1,2,0,0,0,4
hyperledger/bevel-samples,2023-06,0,0,0,0,0,1,1
