repo,month,PullRequestEvent,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,IssueCommentEvent,DeleteEvent,CreateEvent,ForkEvent,ReleaseEvent,WatchEvent,CommitCommentEvent,GollumEvent,total
hyperledger-labs/blockchain-automation-framework,2019-10,22,14,0,7,33,0,3,4,1,0,1,2,0,87
hyperledger-labs/blockchain-automation-framework,2019-11,12,8,0,2,0,1,1,2,0,1,0,0,0,27
hyperledger-labs/blockchain-automation-framework,2019-12,28,27,0,19,38,16,2,2,0,0,0,0,0,132
hyperledger-labs/blockchain-automation-framework,2020-01,57,55,0,72,62,29,0,1,2,1,0,0,0,279
hyperledger-labs/blockchain-automation-framework,2020-02,76,66,0,69,64,25,2,2,1,0,0,1,0,306
hyperledger-labs/blockchain-automation-framework,2020-03,81,56,0,39,65,19,1,4,0,2,0,0,0,267
hyperledger-labs/blockchain-automation-framework,2020-04,102,61,0,52,48,8,6,6,0,0,0,0,0,283
hyperledger-labs/blockchain-automation-framework,2020-05,50,38,0,29,16,3,2,1,0,0,0,0,0,139
hyperledger-labs/blockchain-automation-framework,2020-06,53,42,0,51,73,5,0,0,0,0,0,0,0,224
hyperledger-labs/blockchain-automation-framework,2020-07,41,30,0,15,17,4,2,2,0,0,0,0,0,111
hyperledger-labs/blockchain-automation-framework,2020-08,38,32,21,35,25,14,1,0,0,0,0,0,0,166
hyperledger-labs/blockchain-automation-framework,2020-09,45,32,79,64,18,17,1,3,0,1,0,0,0,260
hyperledger-labs/blockchain-automation-framework,2020-10,36,25,35,11,5,6,1,1,0,1,0,0,0,121
hyperledger-labs/blockchain-automation-framework,2020-11,6,6,12,1,0,4,0,0,0,0,0,0,0,29
hyperledger-labs/blockchain-automation-framework,2020-12,13,10,26,20,0,3,1,1,0,0,0,0,0,74
hyperledger-labs/blockchain-automation-framework,2021-01,5,5,9,5,2,1,2,0,0,0,0,0,0,29
hyperledger-labs/blockchain-automation-framework,2021-02,5,4,5,0,3,1,0,0,0,0,0,0,0,18
hyperledger-labs/blockchain-automation-framework,2021-03,31,24,15,3,9,11,9,2,0,0,0,0,0,104
hyperledger-labs/blockchain-automation-framework,2021-04,46,32,29,13,26,24,5,2,0,1,0,0,0,178
hyperledger-labs/blockchain-automation-framework,2021-05,56,35,26,7,11,11,9,1,0,0,0,0,0,156
hyperledger-labs/blockchain-automation-framework,2021-06,32,24,22,9,7,6,5,0,0,0,0,0,0,105
hyperledger-labs/blockchain-automation-framework,2021-07,17,11,9,4,12,9,3,2,0,0,0,0,0,67
hyperledger-labs/blockchain-automation-framework,2021-08,47,35,39,9,11,5,7,0,0,0,0,0,0,153
hyperledger-labs/blockchain-automation-framework,2021-09,43,29,25,7,11,6,3,0,0,0,0,0,0,124
hyperledger-labs/blockchain-automation-framework,2021-10,9,5,5,6,0,1,1,0,0,0,0,0,0,27
hyperledger-labs/blockchain-automation-framework,2021-11,17,11,24,18,7,1,0,0,0,0,0,0,0,78
hyperledger/bevel,2021-12,12,9,3,0,1,0,2,0,0,0,0,0,1,28
hyperledger/bevel,2022-01,14,10,8,4,1,1,5,0,0,0,0,0,0,43
hyperledger/bevel,2022-02,34,23,30,17,14,19,6,0,0,0,0,0,0,143
hyperledger/bevel,2022-03,10,6,8,13,4,1,1,0,0,0,0,0,0,43
hyperledger/bevel,2022-04,16,15,5,1,2,2,9,0,0,0,0,0,0,50
hyperledger/bevel,2022-05,8,5,5,0,3,8,1,0,0,0,0,0,0,30
hyperledger/bevel,2022-06,8,9,6,0,4,0,1,0,0,0,0,0,0,28
hyperledger/bevel,2022-07,3,2,2,0,0,0,0,0,0,0,0,0,0,7
hyperledger/bevel,2022-08,4,3,6,0,0,0,0,0,0,0,0,0,0,13
hyperledger/bevel,2022-09,12,10,4,0,1,5,0,0,0,0,0,0,0,32
hyperledger/bevel,2022-10,9,6,3,0,1,3,0,0,0,0,0,0,0,22
hyperledger/bevel,2022-11,8,10,12,0,0,7,3,0,0,0,0,0,0,40
hyperledger/bevel,2022-12,12,13,1,0,0,5,13,0,0,0,0,0,0,44
