repo,month,PullRequestReviewEvent,PullRequestEvent,IssuesEvent,PushEvent,PullRequestReviewCommentEvent,IssueCommentEvent,CreateEvent,ReleaseEvent,DeleteEvent,ForkEvent,total
hyperledger/bevel,2024-01,20,20,9,17,7,5,1,1,0,0,80
hyperledger/bevel,2024-02,12,9,5,8,3,3,0,0,0,0,40
hyperledger/bevel,2024-03,5,8,5,6,0,3,1,0,1,0,29
hyperledger/bevel,2024-04,16,5,17,3,11,12,0,0,0,0,64
hyperledger/bevel,2024-05,7,4,11,3,5,1,0,0,0,0,31
hyperledger/bevel,2024-06,11,5,8,4,3,2,0,0,0,0,33
hyperledger/bevel,2024-07,7,13,1,7,1,0,4,2,1,0,36
hyperledger/bevel,2024-08,3,1,4,1,0,1,0,0,0,0,10
hyperledger/bevel,2024-09,1,2,3,1,0,2,0,0,0,0,9
hyperledger-bevel/bevel,2024-11,3,1,0,0,2,0,0,0,0,0,6
hyperledger-bevel/bevel,2024-12,1,2,0,1,0,0,1,1,0,0,6
hyperledger-bevel/bevel,2025-02,2,0,0,0,0,0,0,0,0,0,2
hyperledger/toc,2024-03,2,1,0,0,2,0,0,0,0,0,5
hyperledger/toc,2024-05,0,1,0,0,0,0,0,0,0,0,1
hyperledger/toc,2024-08,3,1,0,0,3,1,0,0,0,0,8
hyperledger/bevel-samples,2024-01,1,2,0,1,0,0,0,0,0,0,4
hyperledger/bevel-samples,2024-02,1,0,0,0,0,0,0,0,0,0,1
hyperledger/governance,2024-04,0,0,1,0,0,1,0,0,0,0,2
hyperledger/governance,2024-06,0,1,0,0,0,0,0,0,0,1,2
hyperledger-bevel/governance,2024-11,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/blockchain-explorer,2024-09,0,0,0,0,0,1,0,0,0,0,1
hyperledger/cacti,2024-06,0,1,0,0,0,0,0,0,0,0,1
