repo,month,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssuesEvent,PushEvent,CreateEvent,DeleteEvent,total
hyperledger-cacti/cacti,2024-10,0,0,0,1,0,0,0,0,1
hyperledger-cacti/cacti,2024-11,1,3,1,0,0,0,0,0,5
hyperledger-cacti/cacti,2025-02,0,2,0,0,7,0,0,0,9
hyperledger-cacti/cacti,2025-04,5,4,3,2,2,1,0,0,17
hyperledger-cacti/cacti,2025-05,12,7,14,14,2,4,0,0,53
hyperledger-cacti/cacti,2025-06,3,0,7,0,1,0,0,0,11
hyperledger-cacti/cacti,2025-07,4,0,0,0,0,1,0,0,5
hyperledger-cacti/cacti,2025-08,4,0,0,0,0,0,0,0,4
hyperledger-cacti/cacti,2025-10,4,0,0,0,1,0,0,0,5
hyperledger-cacti/cacti,2025-11,2,0,0,0,3,0,0,0,5
hyperledger-cacti/cacti,2026-01,1,0,0,0,0,0,0,0,1
hyperledger-cacti/cacti,2026-02,3,3,3,0,4,0,0,0,13
hyperledger-cacti/cacti,2026-03,0,1,0,0,0,0,0,0,1
hyperledger-cacti/cacti,2026-05,0,1,0,0,0,0,0,0,1
hyperledger/cacti,2024-01,0,2,0,1,1,0,0,0,4
hyperledger/cacti,2024-02,1,8,1,3,1,0,0,0,14
hyperledger/cacti,2024-03,1,2,1,0,0,0,0,0,4
hyperledger/cacti,2024-05,0,1,0,0,0,0,0,0,1
hyperledger/cacti,2024-06,1,2,1,0,0,0,0,0,4
hyperledger/cacti,2024-09,0,0,0,2,0,0,0,0,2
hyperledger-cacti/.github,2026-02,0,0,0,2,0,0,1,0,3
hyperledger-labs/benchmarking-cross-chain-bridge-aggregators,2024-06,0,0,0,1,0,1,1,0,3
LF-Decentralized-Trust-Mentorships/mentorship-program,2025-03,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust-Mentorships/mentorship-program,2025-06,0,1,0,0,0,0,0,0,1
hyperledger-cacti/cacti-demos,2025-11,0,0,0,0,0,0,1,1,2
hyperledger-cacti/interoperability-theory,2025-10,0,0,0,0,0,0,1,0,1
hyperledger-labs/benchmarking-cross-chain-bridges,2024-06,0,0,0,0,1,0,0,0,1
