repo,month,IssueCommentEvent,IssuesEvent,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,CreateEvent,DeleteEvent,CommitCommentEvent,ForkEvent,total
hyperledger-cacti/cacti,2024-10,1,0,1,1,0,1,0,0,0,0,4
hyperledger-cacti/cacti,2024-11,7,1,12,15,9,10,1,3,0,0,58
hyperledger-cacti/cacti,2024-12,9,0,7,32,20,7,1,1,0,0,77
hyperledger-cacti/cacti,2025-01,25,19,7,14,6,6,0,1,0,0,78
hyperledger-cacti/cacti,2025-02,7,2,10,7,2,7,2,1,0,0,38
hyperledger-cacti/cacti,2025-03,0,5,13,4,4,7,0,1,0,0,34
hyperledger-cacti/cacti,2025-04,1,0,1,2,8,2,0,0,0,0,14
hyperledger-cacti/cacti,2025-05,11,0,35,11,2,14,4,7,0,0,84
hyperledger-cacti/cacti,2025-06,2,0,4,7,5,1,0,0,0,0,19
hyperledger-cacti/cacti,2025-07,6,1,3,3,6,3,2,0,0,0,24
hyperledger-cacti/cacti,2025-08,4,2,12,6,6,5,1,0,0,0,36
hyperledger-cacti/cacti,2025-09,13,4,45,1,0,6,0,1,0,0,70
hyperledger-cacti/cacti,2025-10,149,154,7,8,5,7,1,2,0,0,333
hyperledger-cacti/cacti,2025-11,2,8,5,7,5,2,0,0,0,0,29
hyperledger-cacti/cacti,2025-12,2,2,1,0,0,0,0,0,0,0,5
hyperledger-cacti/cacti,2026-01,0,0,0,1,0,0,0,0,0,0,1
hyperledger-cacti/cacti,2026-02,1,1,1,2,0,1,0,0,0,0,6
hyperledger-cacti/cacti,2026-03,3,1,2,0,0,0,0,1,0,0,7
hyperledger-cacti/cacti,2026-04,2,2,4,4,2,0,0,1,0,0,15
hyperledger-cacti/cacti,2026-05,0,0,3,1,0,0,0,0,0,0,4
hyperledger/cacti,2024-01,2,2,0,0,0,0,0,0,0,0,4
hyperledger/cacti,2024-02,0,1,0,1,1,0,0,0,0,0,3
hyperledger/cacti,2024-03,13,35,10,8,4,12,3,1,2,0,88
hyperledger/cacti,2024-04,20,4,28,16,20,8,2,1,0,0,99
hyperledger/cacti,2024-05,9,2,3,15,9,1,0,0,0,0,39
hyperledger/cacti,2024-06,1,0,1,2,2,1,0,0,0,0,7
hyperledger/cacti,2024-07,10,1,9,27,5,6,0,0,0,0,58
hyperledger/cacti,2024-08,8,1,8,25,21,3,0,0,0,0,66
hyperledger/cacti,2024-09,12,1,7,16,22,8,0,0,0,0,66
hyperledger-cacti/governance,2025-01,1,0,0,0,0,1,2,0,0,0,4
hyperledger-cacti/governance,2025-03,0,0,0,0,0,1,1,0,0,0,2
hyperledger-cacti/governance,2025-05,0,0,3,0,0,3,2,1,0,0,9
hyperledger-cacti/governance,2025-11,0,0,1,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-03,0,0,0,1,1,0,0,0,0,0,2
LF-Decentralized-Trust/governance,2025-07,0,0,0,1,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-08,0,0,0,2,2,0,0,0,0,0,4
hyperledger/indy-vdr,2024-03,1,2,0,0,0,0,0,0,0,0,3
hyperledger-cacti/cacti-demos,2026-03,0,0,1,0,0,0,0,0,0,0,1
hyperledger-cacti/interoperability-theory,2025-10,0,0,0,0,0,0,1,0,0,0,1
hyperledger/toc,2024-04,0,0,0,0,0,0,0,0,0,1,1
