repo,month,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,IssuesEvent,PullRequestEvent,PushEvent,WatchEvent,DeleteEvent,ForkEvent,total
hyperledger/cacti,2023-03,9,2,7,3,0,0,0,0,0,21
hyperledger/cacti,2023-04,0,1,0,0,1,0,0,0,0,2
hyperledger/cacti,2023-06,5,0,5,1,1,0,0,0,0,12
hyperledger/cacti,2023-07,1,9,0,7,3,0,0,0,0,20
hyperledger/cacti,2023-08,2,6,2,1,4,0,0,0,0,15
hyperledger/cacti,2023-09,6,12,5,0,2,0,0,0,0,25
hyperledger/cacti,2023-10,6,12,6,2,9,0,0,0,0,35
hyperledger/cacti,2023-11,22,6,12,1,6,0,0,0,0,47
hyperledger/cacti,2023-12,53,80,17,96,11,6,0,3,0,266
hyperledger/cacti,2024-01,24,23,9,2,10,3,0,0,0,71
hyperledger/cacti,2024-02,16,7,17,1,3,1,0,0,0,45
hyperledger/cacti,2024-03,35,7,13,5,3,2,0,1,0,66
hyperledger/cacti,2024-04,35,9,5,1,10,4,0,2,0,66
hyperledger/cacti,2024-05,23,1,2,2,4,2,0,0,0,34
hyperledger/cacti,2024-06,47,7,7,1,9,4,0,0,0,75
hyperledger/cacti,2024-07,57,5,4,0,4,2,0,0,0,72
hyperledger/cacti,2024-08,22,5,5,2,7,6,0,0,0,47
hyperledger/cacti,2024-09,18,11,1,18,1,0,0,0,0,49
hyperledger/cacti,2024-10,10,0,8,0,0,0,0,0,0,18
hyperledger/cactus,2021-10,0,0,0,0,0,0,1,0,0,1
hyperledger/cactus,2021-11,0,4,1,2,3,0,0,0,1,11
hyperledger/cactus,2021-12,21,8,21,5,3,0,0,0,0,58
hyperledger/cactus,2022-01,11,15,11,4,6,0,0,0,0,47
hyperledger/cactus,2022-02,7,13,6,9,7,0,0,0,0,42
hyperledger/cactus,2022-03,8,14,8,5,6,0,0,0,0,41
hyperledger/cactus,2022-04,18,6,16,2,3,0,0,0,0,45
hyperledger/cactus,2022-05,5,13,5,3,7,0,0,0,0,33
hyperledger/cactus,2022-06,3,4,1,4,4,0,0,0,0,16
hyperledger/cactus,2022-07,20,11,20,4,8,0,0,0,0,63
hyperledger/cactus,2022-08,3,5,3,3,1,0,0,0,0,15
hyperledger/cactus,2022-09,1,2,1,1,0,0,0,0,0,5
hyperledger/cactus,2022-10,10,2,9,0,4,0,0,0,0,25
hyperledger/cactus,2022-11,9,17,7,4,1,0,0,0,0,38
hyperledger/cactus,2022-12,2,6,2,0,4,0,0,0,0,14
hyperledger/cactus,2023-01,0,3,0,3,3,0,0,0,0,9
hyperledger-cacti/cacti,2024-10,22,2,8,0,0,0,0,0,0,32
hyperledger-cacti/cacti,2024-11,14,1,1,0,0,0,0,0,0,16
hyperledger-cacti/cacti,2024-12,25,1,8,1,0,1,0,0,0,36
hyperledger-cacti/cacti,2025-01,7,4,1,3,2,0,0,0,0,17
hyperledger-cacti/cacti,2025-02,9,3,0,1,0,1,0,0,0,14
hyperledger-cacti/cacti,2025-03,9,2,4,1,0,1,0,0,0,17
hyperledger-cacti/cacti,2025-04,35,6,9,1,4,1,0,0,0,56
hyperledger-cacti/cacti,2025-05,14,0,5,0,0,0,0,0,0,19
hyperledger-cacti/cacti,2025-06,7,0,6,0,0,0,0,0,0,13
hyperledger-cacti/cacti,2025-07,0,2,0,0,0,0,0,0,0,2
hyperledger-cacti/cacti,2025-08,2,2,0,0,1,0,0,0,0,5
hyperledger-cacti/cacti,2025-10,5,0,0,3,0,2,0,0,0,10
hyperledger-cacti/cacti,2025-11,2,0,0,0,0,0,0,0,0,2
hyperledger-cacti/cacti,2025-12,2,0,0,0,0,0,0,0,0,2
hyperledger/iroha-javascript,2022-09,0,0,0,0,0,0,1,0,0,1
hyperledger/iroha-javascript,2023-10,0,0,0,1,1,0,0,0,1,3
hyperledger/iroha-javascript,2023-11,0,2,0,0,0,0,0,0,0,2
hyperledger/iroha-javascript,2023-12,0,2,0,0,0,0,0,0,0,2
hyperledger/iroha-javascript,2024-03,0,1,0,0,0,0,0,0,0,1
hyperledger/iroha,2021-11,0,0,0,0,0,0,1,0,0,1
hyperledger/iroha,2022-07,0,0,0,1,0,0,0,0,0,1
hyperledger/iroha,2022-08,0,2,0,1,0,0,0,0,0,3
hyperledger/iroha,2023-07,0,1,0,1,0,0,0,0,0,2
hyperledger/aries-framework-javascript,2023-10,0,4,0,1,0,0,0,0,0,5
hyperledger/iroha-2-docs,2022-07,0,0,0,0,1,0,0,0,1,2
hyperledger-cacti/governance,2025-02,0,0,0,0,0,0,0,0,1,1
hyperledger-labs/microfab,2024-09,0,0,0,0,0,0,1,0,0,1
hyperledger/cello,2022-11,0,0,0,0,0,0,1,0,0,1
hyperledger/firefly,2022-03,0,0,0,0,0,0,1,0,0,1
hyperledger/governance,2025-02,0,0,0,0,0,0,0,0,1,1
hyperledger/toc,2024-01,0,1,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2025-02,0,0,0,0,0,0,1,0,0,1
