repo,month,PullRequestEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,IssuesEvent,IssueCommentEvent,ForkEvent,CreateEvent,DeleteEvent,ReleaseEvent,WatchEvent,total
hyperledger/cello,2021-05,0,0,0,0,0,0,0,0,0,0,1,1
hyperledger/cello,2021-06,1,0,0,0,1,0,5,0,0,0,0,7
hyperledger/cello,2021-07,3,0,0,0,1,0,1,0,0,0,0,5
hyperledger/cello,2021-08,2,1,1,0,1,0,0,0,0,0,0,5
hyperledger/cello,2021-09,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/cello,2021-10,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/cello,2021-11,8,0,0,0,0,1,0,0,0,0,0,9
hyperledger/cello,2021-12,2,1,1,0,0,0,0,0,0,0,0,4
hyperledger/cello,2022-02,1,0,0,0,0,1,0,0,0,0,0,2
hyperledger/cello,2022-03,7,0,0,0,0,1,0,0,0,0,0,8
hyperledger/cello,2022-04,2,1,1,0,0,0,0,0,0,0,0,4
hyperledger/cello,2022-05,8,0,0,0,0,0,0,0,0,0,0,8
hyperledger/cello,2022-06,7,5,0,4,1,0,0,0,0,0,0,17
hyperledger/cello,2022-07,8,7,3,4,5,2,0,2,2,0,0,33
hyperledger/cello,2022-08,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/cello,2022-09,3,4,1,2,1,0,0,0,0,0,0,11
hyperledger/cello,2022-11,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/cello,2022-12,7,1,0,2,0,1,0,0,1,0,0,12
hyperledger/cello,2023-01,2,1,0,1,0,0,0,0,0,0,0,4
hyperledger/cello,2023-02,2,5,4,0,0,0,0,0,0,0,0,11
hyperledger/cello,2023-03,0,1,1,0,0,0,0,0,0,0,0,2
hyperledger/cello,2023-07,0,1,0,0,0,1,0,0,0,0,0,2
hyperledger/cello,2023-08,7,6,1,2,1,4,0,0,0,0,0,21
hyperledger/cello,2023-09,1,1,0,1,0,1,0,1,0,1,0,6
hyperledger/cello,2023-10,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/cello,2023-11,2,2,2,0,1,0,0,0,0,0,0,7
hyperledger/cello,2024-08,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/toc,2023-09,1,0,0,0,0,0,1,0,0,0,0,2
hyperledger/toc,2024-09,1,2,2,0,0,0,0,0,0,0,0,5
