repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,IssueCommentEvent,DeleteEvent,PullRequestReviewCommentEvent,CreateEvent,IssuesEvent,ReleaseEvent,GollumEvent,WatchEvent,total
hyperledger/identus-cloud-agent,2024-04,28,5,3,4,1,3,4,0,0,0,0,48
hyperledger/identus-cloud-agent,2024-05,38,1,1,0,0,0,2,1,0,0,1,44
hyperledger/identus-cloud-agent,2024-06,34,14,17,7,6,11,12,0,0,0,0,101
hyperledger/identus-cloud-agent,2024-07,16,3,4,5,2,2,2,2,0,0,0,36
hyperledger/identus-cloud-agent,2024-08,13,10,6,16,3,9,4,3,0,0,0,64
hyperledger/identus-cloud-agent,2024-09,17,1,12,4,6,0,5,1,0,0,0,46
hyperledger/identus-cloud-agent,2024-10,5,1,5,1,2,0,3,0,0,0,0,17
hyperledger/identus-cloud-agent,2024-11,0,0,0,3,0,0,0,0,0,0,0,3
hyperledger/identus-cloud-agent,2024-12,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/identus-cloud-agent,2025-01,8,9,8,7,3,3,1,3,0,0,0,42
hyperledger/identus-cloud-agent,2025-02,0,0,0,2,0,0,0,1,0,0,0,3
hyperledger-identus/mediator,2025-02,22,8,30,15,10,1,8,5,0,0,0,99
hyperledger-identus/mediator,2025-03,1,0,2,1,1,0,1,2,0,0,0,8
hyperledger-identus/mediator,2025-05,0,1,0,0,0,1,1,0,1,0,0,4
hyperledger-identus/mediator,2025-06,1,0,1,1,0,0,1,0,0,0,0,4
hyperledger-identus/mediator,2025-07,1,3,1,2,2,0,1,1,0,0,0,11
hyperledger-identus/mediator,2025-08,0,1,0,0,0,0,0,1,0,0,0,2
hyperledger-identus/mediator,2025-09,25,10,12,1,13,0,3,0,0,0,0,64
hyperledger-identus/mediator,2025-10,4,1,1,1,4,0,0,0,0,0,0,11
hyperledger-identus/mediator,2025-11,10,3,0,2,7,0,1,2,0,0,0,25
hyperledger-identus/mediator,2025-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-identus/mediator,2026-01,4,5,0,2,2,0,0,0,0,0,0,13
hyperledger-identus/mediator,2026-02,13,1,1,3,8,1,1,0,0,0,0,28
hyperledger-identus/mediator,2026-03,8,1,0,0,7,0,0,0,0,0,0,16
hyperledger-identus/mediator,2026-04,2,0,0,0,3,0,0,0,0,0,0,5
hyperledger/identus-mediator,2024-07,14,4,16,8,18,2,5,2,0,0,0,69
hyperledger/identus-mediator,2024-08,3,3,1,4,1,0,0,3,0,0,0,15
hyperledger/identus-mediator,2024-09,3,0,4,9,2,0,2,3,1,0,0,24
hyperledger/identus-mediator,2024-10,1,2,2,1,1,0,1,1,1,0,0,10
hyperledger/identus-mediator,2024-11,7,1,4,0,2,0,4,0,0,0,0,18
hyperledger/identus-mediator,2024-12,0,0,0,3,1,0,0,2,0,0,0,6
hyperledger/identus-mediator,2025-01,2,0,2,1,1,0,1,0,0,0,0,7
hyperledger/identus-docs,2024-07,5,0,2,7,1,1,1,0,0,0,0,17
hyperledger/identus-docs,2024-08,8,4,9,8,4,3,5,7,0,0,0,48
hyperledger/identus-docs,2024-09,7,2,7,1,4,0,4,0,0,0,0,25
hyperledger/identus-docs,2024-10,6,3,7,6,4,0,3,4,0,0,0,33
hyperledger/identus-docs,2024-11,1,0,1,0,1,0,0,0,0,0,0,3
hyperledger/identus-docs,2025-01,4,1,4,5,2,0,1,2,0,0,0,19
hyperledger-labs/open-enterprise-agent,2023-09,7,1,0,0,1,1,0,0,0,0,0,10
hyperledger-labs/open-enterprise-agent,2023-10,2,6,1,0,0,3,1,0,0,0,0,13
hyperledger-labs/open-enterprise-agent,2023-11,0,2,0,0,0,1,0,0,0,0,0,3
hyperledger-labs/open-enterprise-agent,2023-12,4,2,5,3,0,2,2,0,0,0,0,18
hyperledger-labs/open-enterprise-agent,2024-01,3,6,2,1,1,6,1,0,0,0,0,20
hyperledger-labs/open-enterprise-agent,2024-02,9,3,4,2,2,2,2,2,0,0,0,26
hyperledger-labs/open-enterprise-agent,2024-03,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/open-enterprise-agent,2024-04,2,2,1,0,0,3,1,0,0,0,0,9
hyperledger-identus/prism-vdr-driver,2025-07,1,0,1,3,0,0,0,0,0,0,0,5
hyperledger-identus/prism-vdr-driver,2025-08,6,1,2,4,4,0,3,1,0,0,0,21
hyperledger-identus/prism-vdr-driver,2025-09,4,4,0,2,2,6,0,0,0,0,0,18
hyperledger-identus/prism-vdr-driver,2025-10,0,1,0,0,1,0,0,0,0,0,0,2
hyperledger-identus/prism-vdr-driver,2025-11,4,0,1,0,6,0,0,2,0,0,0,13
hyperledger-identus/prism-vdr-driver,2025-12,6,0,1,0,2,0,2,0,0,0,0,11
hyperledger-identus/prism-vdr-driver,2026-01,0,0,0,1,0,0,0,1,0,0,0,2
hyperledger-identus/prism-vdr-driver,2026-02,1,1,1,0,2,0,0,0,0,0,0,5
hyperledger-identus/prism-vdr-driver,2026-03,4,0,0,0,2,0,0,0,0,0,0,6
hyperledger/identus,2024-04,6,2,1,2,1,2,0,1,0,0,0,15
hyperledger/identus,2024-06,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/identus,2024-07,0,1,0,3,0,0,0,0,0,0,0,4
hyperledger/identus,2024-08,0,0,0,2,0,0,0,1,0,0,0,3
hyperledger/identus,2024-09,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/identus,2024-10,3,0,2,5,1,0,1,2,0,0,0,14
hyperledger/identus,2024-11,2,1,3,4,1,0,2,2,0,0,0,15
hyperledger/identus,2024-12,1,1,0,1,1,1,0,0,0,0,0,5
hyperledger/identus,2025-01,5,1,4,2,2,1,2,0,0,2,0,19
hyperledger/identus,2025-02,0,2,0,1,0,1,0,0,0,0,0,4
hyperledger-identus/docs,2025-02,0,11,2,4,0,8,1,1,0,0,0,27
hyperledger-identus/docs,2025-05,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger-identus/docs,2025-06,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger-identus/docs,2025-07,0,1,0,0,0,0,0,1,0,0,0,2
hyperledger-identus/docs,2025-08,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger-identus/docs,2025-10,2,2,0,1,0,1,0,0,0,0,0,6
hyperledger-identus/docs,2025-11,0,0,2,1,1,0,0,0,0,0,0,4
hyperledger-identus/docs,2025-12,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger-identus/docs,2026-01,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger-identus/docs,2026-02,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger-identus/docs,2026-04,0,1,0,0,0,1,0,0,0,0,0,2
hyperledger-identus/vdr,2025-03,1,11,1,0,0,13,1,0,0,0,0,27
hyperledger-identus/vdr,2025-06,1,1,1,0,0,0,1,1,0,0,0,5
hyperledger-identus/vdr,2025-07,4,1,2,1,1,1,0,1,0,0,0,11
hyperledger-identus/vdr,2025-08,0,1,0,0,0,1,0,0,0,0,0,2
hyperledger-identus/vdr,2025-11,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger-identus/cloud-agent,2025-02,0,4,0,0,0,1,0,1,0,0,0,6
hyperledger-identus/cloud-agent,2025-03,0,0,1,6,0,0,1,0,0,0,0,8
hyperledger-identus/cloud-agent,2025-04,0,6,0,1,0,3,0,0,0,0,0,10
hyperledger-identus/cloud-agent,2025-05,1,3,1,2,0,1,0,0,0,0,0,8
hyperledger-identus/cloud-agent,2025-10,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger-identus/cloud-agent,2026-02,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/cloud-agent,2026-04,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger-identus/sdk-ts,2025-02,0,4,0,0,0,6,0,0,0,0,0,10
hyperledger-identus/sdk-ts,2025-07,0,3,0,0,0,1,0,1,0,0,0,5
hyperledger-identus/sdk-ts,2025-09,1,2,0,0,0,3,0,1,0,0,0,7
hyperledger-identus/sdk-ts,2025-10,2,1,0,2,0,2,0,1,0,0,0,8
hyperledger-identus/sdk-ts,2026-01,0,3,0,0,0,1,0,0,0,0,0,4
hyperledger-identus/identus,2025-02,2,3,5,4,2,1,2,2,0,0,0,21
hyperledger-identus/identus,2025-03,1,1,1,1,0,0,0,0,0,0,0,4
hyperledger-identus/.github,2025-05,1,0,2,1,1,0,1,1,0,0,0,7
hyperledger-identus/.github,2025-06,0,0,0,4,0,0,0,0,0,0,0,4
hyperledger-identus/.github,2025-07,0,2,0,1,0,0,0,0,0,0,0,3
hyperledger-identus/.github,2025-09,0,0,1,0,0,0,1,0,0,0,0,2
hyperledger-identus/hyperledger-identus,2025-09,0,0,1,0,1,0,0,0,0,0,0,2
