repo,month,PushEvent,DeleteEvent,PullRequestEvent,CreateEvent,PullRequestReviewEvent,IssuesEvent,IssueCommentEvent,PullRequestReviewCommentEvent,ForkEvent,ReleaseEvent,total
hyperledger/identus-cloud-agent,2024-04,2,0,1,1,4,0,0,1,0,0,9
hyperledger/identus-cloud-agent,2024-05,8,4,6,1,2,0,0,0,0,0,21
hyperledger/identus-cloud-agent,2024-06,20,10,12,3,3,0,0,1,0,0,49
hyperledger/identus-cloud-agent,2024-07,4,21,3,1,3,0,0,1,0,0,33
hyperledger/identus-cloud-agent,2024-08,3,1,3,2,1,0,0,0,0,0,10
hyperledger/identus-cloud-agent,2024-09,5,0,2,2,3,0,0,2,0,0,14
hyperledger/identus-cloud-agent,2024-10,13,3,5,1,0,0,0,0,0,0,22
hyperledger/identus-cloud-agent,2024-11,19,6,9,2,1,4,0,0,0,0,41
hyperledger/identus-cloud-agent,2024-12,0,0,0,0,0,3,0,0,0,0,3
hyperledger/identus-cloud-agent,2025-01,1,145,0,1,2,0,0,1,0,0,150
hyperledger/identus-cloud-agent,2025-02,4,0,1,1,0,0,0,0,1,0,7
hyperledger-identus/integration,2025-05,27,1,2,0,0,0,0,0,0,0,30
hyperledger-identus/integration,2025-06,6,0,0,0,0,2,0,0,0,0,8
hyperledger-identus/integration,2025-07,6,0,0,0,0,6,1,0,0,0,13
hyperledger-identus/integration,2025-09,0,0,0,0,0,2,0,0,0,0,2
hyperledger-identus/integration,2025-10,0,0,0,0,0,2,0,0,0,0,2
hyperledger-identus/integration,2025-11,19,10,6,7,0,2,0,0,0,0,44
hyperledger-identus/integration,2025-12,10,11,4,7,1,0,1,0,0,0,34
hyperledger-identus/integration,2026-01,0,0,0,0,0,3,2,0,0,0,5
hyperledger-identus/integration,2026-03,15,6,2,1,1,0,0,0,0,0,25
hyperledger-identus/integration,2026-04,11,5,3,3,0,0,1,0,0,0,23
hyperledger-identus/integration,2026-05,0,0,0,0,0,1,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-kmp,2024-07,10,1,3,2,7,0,0,3,0,0,26
hyperledger/identus-edge-agent-sdk-kmp,2024-08,1,3,0,1,0,0,0,0,0,0,5
hyperledger/identus-edge-agent-sdk-kmp,2024-09,31,17,13,11,2,0,0,1,0,0,75
hyperledger/identus-edge-agent-sdk-kmp,2024-10,0,0,0,0,0,1,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-kmp,2024-11,0,0,1,1,0,0,0,0,0,0,2
hyperledger/identus-edge-agent-sdk-kmp,2025-01,0,0,0,0,0,1,1,0,0,0,2
hyperledger/identus-edge-agent-sdk-ts,2024-07,2,1,2,2,1,0,0,0,0,0,8
hyperledger/identus-edge-agent-sdk-ts,2024-08,5,0,0,0,1,0,0,0,0,0,6
hyperledger/identus-edge-agent-sdk-ts,2024-09,16,6,10,5,2,0,0,0,0,0,39
hyperledger/identus-edge-agent-sdk-ts,2024-10,0,0,0,0,2,1,1,0,0,0,4
hyperledger/identus-edge-agent-sdk-ts,2024-11,2,0,3,1,2,1,1,0,0,0,10
hyperledger/identus-edge-agent-sdk-ts,2024-12,0,0,0,0,1,0,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-ts,2025-01,4,0,1,2,1,0,0,0,0,0,8
hyperledger/identus-edge-agent-sdk-ts,2025-02,7,0,1,0,4,0,0,3,1,0,16
hyperledger-identus/sdk-ts,2025-02,5,1,1,0,0,1,1,0,0,0,9
hyperledger-identus/sdk-ts,2025-03,1,0,1,1,1,1,3,1,0,0,9
hyperledger-identus/sdk-ts,2025-04,10,0,1,1,1,3,4,0,0,0,20
hyperledger-identus/sdk-ts,2025-05,6,2,4,1,3,1,1,0,0,0,18
hyperledger-identus/sdk-ts,2025-06,2,7,1,3,0,0,2,0,0,0,15
hyperledger-identus/sdk-ts,2025-09,0,0,0,0,0,1,0,0,0,0,1
hyperledger-identus/sdk-ts,2025-10,2,1,1,0,1,0,0,0,0,0,5
hyperledger-identus/sdk-ts,2025-12,0,1,0,1,0,0,0,0,0,0,2
hyperledger-identus/sdk-ts,2026-02,3,0,0,2,0,0,0,0,0,0,5
hyperledger-identus/sdk-ts,2026-04,2,0,0,0,0,0,2,0,0,0,4
hyperledger-identus/cloud-agent,2025-02,12,5,0,0,2,1,0,1,0,0,21
hyperledger-identus/cloud-agent,2025-03,4,1,1,0,3,1,2,0,0,0,12
hyperledger-identus/cloud-agent,2025-04,2,0,3,2,1,0,2,0,0,0,10
hyperledger-identus/cloud-agent,2025-05,5,1,3,3,1,0,0,0,0,0,13
hyperledger-identus/cloud-agent,2025-07,0,0,1,0,0,0,0,0,0,0,1
hyperledger-identus/cloud-agent,2025-12,0,0,1,1,2,0,0,0,0,0,4
hyperledger-identus/cloud-agent,2026-02,1,0,1,1,0,0,0,0,0,0,3
hyperledger-identus/sdk-swift,2025-02,0,0,0,1,0,1,0,0,0,0,2
hyperledger-identus/sdk-swift,2025-03,1,1,1,0,2,0,0,0,0,0,5
hyperledger-identus/sdk-swift,2025-04,1,0,3,0,3,3,0,0,0,0,10
hyperledger-identus/sdk-swift,2025-05,9,2,6,3,0,3,3,0,0,0,26
hyperledger-identus/sdk-swift,2025-06,1,0,2,0,0,0,1,0,0,0,4
hyperledger-identus/sdk-swift,2025-10,0,0,0,0,0,0,1,0,0,0,1
hyperledger-identus/sdk-swift,2025-11,0,0,1,0,0,0,0,0,0,0,1
hyperledger-identus/sdk-swift,2025-12,2,2,1,1,0,0,0,0,0,0,6
hyperledger-identus/sdk-swift,2026-01,0,0,0,1,0,0,0,0,0,0,1
hyperledger-identus/sdk-swift,2026-02,1,0,0,0,0,1,1,0,0,0,3
hyperledger-identus/sdk-swift,2026-03,1,1,0,0,0,0,1,0,0,0,3
hyperledger-labs/open-enterprise-agent,2024-01,0,0,0,0,4,0,0,1,0,0,5
hyperledger-labs/open-enterprise-agent,2024-02,0,0,0,0,2,0,0,0,0,1,3
hyperledger-labs/open-enterprise-agent,2024-03,15,4,9,4,7,0,1,2,0,0,42
hyperledger/identus-edge-agent-sdk-swift,2024-07,4,1,4,3,0,0,0,0,0,0,12
hyperledger/identus-edge-agent-sdk-swift,2024-08,3,2,2,0,0,0,0,0,0,0,7
hyperledger/identus-edge-agent-sdk-swift,2024-09,0,0,1,1,0,0,0,0,0,0,2
hyperledger/identus-edge-agent-sdk-swift,2024-11,0,0,1,0,0,0,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-swift,2025-01,0,0,0,0,0,1,0,0,0,0,1
hyperledger-identus/mediator,2025-03,0,0,0,0,0,1,1,0,0,0,2
hyperledger-identus/mediator,2025-05,0,0,0,0,2,1,1,0,0,0,4
hyperledger-identus/mediator,2025-06,0,0,0,0,0,0,2,0,0,0,2
hyperledger-identus/mediator,2025-07,0,3,0,0,0,0,0,0,0,0,3
hyperledger-identus/mediator,2025-11,0,0,0,0,0,0,1,0,0,0,1
hyperledger-identus/mediator,2025-12,1,0,0,1,0,0,0,0,0,0,2
hyperledger-identus/mediator,2026-02,0,1,0,1,0,0,0,0,0,0,2
hyperledger-identus/mediator,2026-04,2,0,0,0,0,0,0,0,0,0,2
hyperledger-identus/sdk-kmp,2025-06,0,0,0,0,0,1,1,0,0,0,2
hyperledger-identus/sdk-kmp,2026-02,2,2,0,2,0,1,1,0,0,0,8
hyperledger-identus/sdk-kmp,2026-03,0,1,1,0,0,1,2,0,0,0,5
hyperledger-identus/sdk-kmp,2026-04,1,0,0,0,0,0,0,0,0,0,1
hyperledger/identus,2024-11,1,1,2,0,0,3,3,0,0,1,11
hyperledger/identus,2024-12,0,0,0,0,0,0,1,0,0,0,1
hyperledger/identus,2025-01,0,0,0,0,0,2,2,0,0,0,4
hyperledger-identus/apollo,2025-06,0,0,0,0,0,0,1,0,0,0,1
hyperledger-identus/apollo,2025-07,3,1,0,1,0,1,1,0,0,0,7
hyperledger-identus/apollo,2026-02,2,0,0,0,0,1,0,0,0,0,3
hyperledger-identus/apollo,2026-04,1,1,0,0,0,0,0,1,0,0,3
hyperledger-identus/neoprism,2026-02,4,2,1,2,0,0,0,0,0,0,9
hyperledger/identus-mediator,2024-08,0,1,2,1,0,0,0,0,0,0,4
hyperledger/identus-mediator,2025-01,0,0,0,0,0,1,1,0,0,0,2
hyperledger-identus/.github,2025-04,0,0,0,0,0,2,2,0,0,0,4
hyperledger-identus/governance,2026-01,2,0,2,0,0,0,0,0,0,0,4
hyperledger-identus/hyperledger-identus,2025-11,0,0,1,1,0,0,0,0,0,0,2
hyperledger-identus/hyperledger-identus,2026-02,0,0,0,0,0,1,1,0,0,0,2
hyperledger-identus/identus,2025-03,0,0,0,0,0,3,0,0,0,0,3
hyperledger-identus/docs,2025-02,0,0,0,0,1,0,0,0,0,0,1
hyperledger-identus/vdr,2025-12,0,0,0,1,0,0,0,0,0,0,1
