repo,month,IssuesEvent,IssueCommentEvent,PullRequestEvent,ForkEvent,WatchEvent,total
hyperledger/identus-edge-agent-sdk-swift,2024-08,3,0,0,0,0,3
hyperledger/identus-edge-agent-sdk-swift,2024-11,3,2,0,0,0,5
hyperledger/identus-edge-agent-sdk-swift,2025-01,1,6,4,1,0,12
hyperledger-identus/.github,2025-05,2,1,2,0,0,5
hyperledger-identus/sdk-swift,2025-02,0,0,1,0,0,1
hyperledger-identus/sdk-swift,2025-03,1,0,0,0,0,1
hyperledger-identus/sdk-swift,2025-04,0,2,0,0,0,2
hyperledger-identus/sdk-swift,2025-06,0,1,0,0,0,1
hyperledger/identus-cloud-agent,2024-12,1,0,0,0,0,1
hyperledger/identus-cloud-agent,2025-01,2,0,0,0,0,2
hyperledger-identus/hyperledger-identus,2025-07,1,1,0,0,0,2
hyperledger/identus,2024-04,0,0,0,0,1,1
hyperledger/identus,2024-08,1,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-kmp,2024-08,2,0,0,0,0,2
hyperledger-identus/cloud-agent,2025-06,1,0,0,0,0,1
hyperledger-identus/docs,2025-05,1,0,0,0,0,1
hyperledger/identus-docs,2025-02,1,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-ts,2024-12,0,1,0,0,0,1
hyperledger/identus-mediator,2024-12,0,1,0,0,0,1
