repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,CreateEvent,DeleteEvent,PullRequestReviewCommentEvent,IssueCommentEvent,IssuesEvent,ReleaseEvent,total
hyperledger/identus-edge-agent-sdk-ts,2024-07,5,7,7,3,3,1,2,1,0,29
hyperledger/identus-edge-agent-sdk-ts,2024-08,12,13,6,7,2,3,1,0,0,44
hyperledger/identus-edge-agent-sdk-ts,2024-09,18,11,3,5,12,2,0,0,1,52
hyperledger/identus-edge-agent-sdk-ts,2024-10,12,11,3,7,5,0,2,2,0,42
hyperledger/identus-edge-agent-sdk-ts,2024-11,11,10,3,9,8,4,0,2,2,49
hyperledger/identus-edge-agent-sdk-ts,2024-12,2,4,4,2,2,2,0,1,0,17
hyperledger/identus-edge-agent-sdk-ts,2025-01,15,7,3,2,3,0,12,8,1,51
hyperledger/identus-edge-agent-sdk-ts,2025-02,2,2,9,4,4,7,0,0,1,29
hyperledger-identus/sdk-ts,2025-02,12,5,3,2,3,2,3,3,0,33
hyperledger-identus/sdk-ts,2025-03,10,7,12,5,4,6,0,0,0,44
hyperledger-identus/sdk-ts,2025-04,32,16,1,8,7,0,1,0,1,66
hyperledger-identus/sdk-ts,2025-05,6,4,0,2,3,0,0,0,0,15
hyperledger/identus-edge-agent-sdk-kmp,2024-08,0,0,6,0,0,4,0,0,0,10
hyperledger/identus-edge-agent-sdk-kmp,2024-09,0,0,2,0,0,0,0,0,0,2
hyperledger/identus-edge-agent-sdk-kmp,2024-10,1,1,0,1,1,0,0,0,0,4
hyperledger-identus/edge-agent-sdk-ts,2025-02,5,3,0,2,1,0,0,0,0,11
hyperledger/identus-docs,2024-08,1,1,0,1,0,0,0,0,0,3
hyperledger/identus-docs,2024-09,2,1,0,0,1,0,0,0,0,4
hyperledger/identus-docs,2025-02,0,0,1,0,0,0,0,0,0,1
hyperledger/identus-apollo,2024-07,0,0,3,0,0,0,0,0,0,3
hyperledger/identus-apollo,2024-10,0,1,1,1,0,0,0,0,0,3
hyperledger/identus-apollo,2025-01,0,0,1,0,0,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-swift,2024-09,0,0,2,0,0,2,0,0,0,4
hyperledger/identus-edge-agent-sdk-swift,2024-10,0,1,0,1,0,0,0,0,0,2
hyperledger/identus-edge-agent-sdk-swift,2025-01,0,0,1,0,0,0,0,0,0,1
hyperledger-identus/sdk-swift,2025-03,0,0,1,0,0,1,0,0,0,2
hyperledger-identus/sdk-swift,2025-05,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/open-enterprise-agent,2024-03,0,0,1,0,0,0,0,0,0,1
hyperledger/identus,2025-01,0,0,0,0,0,0,1,0,0,1
