repo,month,IssueCommentEvent,PullRequestEvent,CreateEvent,PushEvent,DeleteEvent,IssuesEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,total
hiero-ledger/hiero-consensus-node,2025-06,50,0,0,0,0,0,0,0,50
hiero-ledger/hiero-consensus-node,2025-07,138,0,0,0,0,0,0,0,138
hiero-ledger/hiero-consensus-node,2025-08,107,0,0,0,0,0,0,0,107
hiero-ledger/hiero-consensus-node,2025-09,102,0,0,0,0,0,0,0,102
hiero-ledger/hiero-consensus-node,2025-10,94,0,0,0,0,0,0,0,94
hiero-ledger/hiero-consensus-node,2025-11,82,0,0,0,0,0,0,0,82
hiero-ledger/hiero-consensus-node,2025-12,49,0,0,0,0,0,0,0,49
hiero-ledger/hiero-consensus-node,2026-01,77,0,0,0,0,0,0,0,77
hiero-ledger/hiero-consensus-node,2026-02,65,0,0,0,0,0,0,0,65
hiero-ledger/hiero-consensus-node,2026-03,34,0,0,0,0,0,0,0,34
hiero-ledger/hiero-consensus-node,2026-04,31,0,0,0,0,0,0,0,31
hiero-ledger/hiero-consensus-node,2026-05,17,0,0,0,0,0,0,0,17
hiero-ledger/hiero-mirror-node,2025-02,0,1,1,1,0,0,0,0,3
hiero-ledger/hiero-mirror-node,2025-05,100,0,0,0,0,0,0,0,100
hiero-ledger/hiero-mirror-node,2025-06,112,1,0,1,0,0,0,0,114
hiero-ledger/hiero-mirror-node,2025-07,84,0,0,0,0,0,0,0,84
hiero-ledger/hiero-mirror-node,2025-08,76,0,0,0,0,0,0,0,76
hiero-ledger/hiero-mirror-node,2025-09,80,0,0,0,0,0,0,0,80
hiero-ledger/hiero-mirror-node,2025-10,56,0,0,0,0,0,0,0,56
hiero-ledger/hiero-mirror-node,2025-11,41,0,0,0,0,0,0,0,41
hiero-ledger/hiero-mirror-node,2025-12,43,0,0,0,0,0,0,0,43
hiero-ledger/hiero-mirror-node,2026-01,44,0,0,0,0,0,0,0,44
hiero-ledger/hiero-mirror-node,2026-02,40,0,0,0,0,0,0,0,40
hiero-ledger/hiero-mirror-node,2026-03,35,0,0,0,0,0,0,0,35
hiero-ledger/hiero-mirror-node,2026-04,23,0,0,0,0,0,0,0,23
hiero-ledger/hiero-mirror-node,2026-05,18,0,0,0,0,0,0,0,18
hiero-ledger/hiero-sdk-js,2025-02,0,2,2,2,0,0,0,0,6
hiero-ledger/hiero-sdk-js,2025-03,0,4,3,4,0,0,0,0,11
hiero-ledger/hiero-sdk-js,2025-04,0,1,1,1,0,0,0,0,3
hiero-ledger/hiero-sdk-js,2025-05,36,5,3,4,0,0,0,0,48
hiero-ledger/hiero-sdk-js,2025-06,30,3,2,3,0,0,0,0,38
hiero-ledger/hiero-sdk-js,2025-07,30,4,5,8,0,0,0,0,47
hiero-ledger/hiero-sdk-js,2025-08,23,4,4,4,0,0,0,0,35
hiero-ledger/hiero-sdk-js,2025-09,31,10,9,9,0,0,0,0,59
hiero-ledger/hiero-sdk-js,2025-10,28,10,11,12,0,0,0,0,61
hiero-ledger/hiero-sdk-js,2025-11,20,2,7,7,0,0,0,0,36
hiero-ledger/hiero-sdk-js,2025-12,14,1,1,1,0,0,0,0,17
hiero-ledger/hiero-sdk-js,2026-01,17,5,7,7,0,0,0,0,36
hiero-ledger/hiero-sdk-js,2026-02,22,1,4,3,0,0,0,0,30
hiero-ledger/hiero-sdk-js,2026-03,17,0,0,1,0,0,0,0,18
hiero-ledger/hiero-sdk-js,2026-04,5,0,1,1,0,0,0,0,7
hiero-ledger/hiero-sdk-js,2026-05,5,0,0,0,0,0,0,0,5
hiero-ledger/hiero-local-node,2025-03,0,1,1,1,0,0,0,0,3
hiero-ledger/hiero-local-node,2025-04,0,3,4,4,0,0,0,0,11
hiero-ledger/hiero-local-node,2025-05,25,0,0,0,0,0,0,0,25
hiero-ledger/hiero-local-node,2025-06,17,2,1,1,0,0,0,0,21
hiero-ledger/hiero-local-node,2025-07,15,0,0,1,0,0,0,0,16
hiero-ledger/hiero-local-node,2025-08,10,0,0,0,0,0,0,0,10
hiero-ledger/hiero-local-node,2025-09,7,0,0,0,0,0,0,0,7
hiero-ledger/hiero-local-node,2025-10,8,0,0,0,0,0,0,0,8
hiero-ledger/hiero-local-node,2025-12,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-local-node,2026-01,2,1,1,0,0,0,0,0,4
hiero-ledger/hiero-local-node,2026-02,6,2,1,2,0,0,0,0,11
hiero-ledger/hiero-local-node,2026-03,4,0,2,3,0,0,0,0,9
hiero-ledger/hiero-local-node,2026-04,3,0,0,0,0,0,0,0,3
hiero-ledger/hiero-local-node,2026-05,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2025-02,0,1,1,1,0,0,0,0,3
hiero-ledger/hiero-sdk-tck,2025-03,0,2,1,1,0,0,0,0,4
hiero-ledger/hiero-sdk-tck,2025-05,19,0,0,0,0,0,0,0,19
hiero-ledger/hiero-sdk-tck,2025-06,17,0,0,0,0,0,0,0,17
hiero-ledger/hiero-sdk-tck,2025-07,23,6,5,3,0,0,0,0,37
hiero-ledger/hiero-sdk-tck,2025-08,10,1,1,1,0,0,0,0,13
hiero-ledger/hiero-sdk-tck,2025-09,11,4,2,1,0,0,0,0,18
hiero-ledger/hiero-sdk-tck,2025-10,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2025-11,2,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-tck,2025-12,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2026-01,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2026-02,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2025-05,62,0,0,0,0,0,0,0,62
hiero-ledger/hiero-mirror-node-explorer,2025-06,45,0,0,0,0,0,0,0,45
hiero-ledger/hiero-sdk-go,2025-05,13,0,0,0,0,0,0,0,13
hiero-ledger/hiero-sdk-go,2025-06,14,0,0,0,0,0,0,0,14
hiero-ledger/hiero-sdk-go,2025-07,11,0,0,0,0,0,0,0,11
hiero-ledger/hiero-sdk-go,2025-08,5,0,0,0,0,0,0,0,5
hiero-ledger/hiero-sdk-go,2025-09,12,0,0,0,0,0,0,0,12
hiero-ledger/hiero-sdk-go,2025-10,6,0,1,0,0,0,0,0,7
hiero-ledger/hiero-sdk-go,2025-11,5,0,0,0,0,0,0,0,5
hiero-ledger/hiero-sdk-go,2025-12,2,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-go,2026-01,2,0,0,0,0,0,0,0,2
