repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssueCommentEvent,PullRequestReviewCommentEvent,IssuesEvent,ForkEvent,WatchEvent,total
hyperledger/identus-cloud-agent,2024-04,49,7,4,2,3,2,3,0,0,0,70
hyperledger/identus-cloud-agent,2024-05,36,2,4,3,2,0,1,0,0,0,48
hyperledger/identus-cloud-agent,2024-06,38,11,12,7,7,4,5,0,0,0,84
hyperledger/identus-cloud-agent,2024-07,13,0,3,2,2,0,0,0,0,0,20
hyperledger/identus-cloud-agent,2024-08,37,3,12,6,7,1,2,0,0,0,68
hyperledger/identus-cloud-agent,2024-10,27,3,14,6,9,0,1,2,0,0,62
hyperledger/identus-cloud-agent,2024-11,18,1,5,3,4,5,0,5,0,0,41
hyperledger/identus-cloud-agent,2024-12,2,0,2,3,0,2,0,2,0,0,11
hyperledger/identus-cloud-agent,2025-01,3,4,3,1,1,7,0,4,0,0,23
hyperledger-labs/open-enterprise-agent,2023-10,8,3,2,1,1,0,1,0,0,0,16
hyperledger-labs/open-enterprise-agent,2023-11,2,0,2,1,1,0,0,0,0,0,6
hyperledger-labs/open-enterprise-agent,2024-01,14,7,1,1,0,0,3,0,0,0,26
hyperledger-labs/open-enterprise-agent,2024-02,13,1,6,3,3,2,0,0,0,0,28
hyperledger-labs/open-enterprise-agent,2024-03,6,2,2,1,1,1,0,0,0,0,13
hyperledger-labs/open-enterprise-agent,2024-04,0,0,0,0,0,4,0,0,0,0,4
hyperledger-identus/cloud-agent,2025-02,3,0,3,1,2,1,0,1,0,0,11
hyperledger-identus/cloud-agent,2025-03,1,1,3,2,1,1,0,0,0,0,9
hyperledger-identus/cloud-agent,2025-04,0,3,0,0,0,3,1,0,0,0,7
hyperledger-identus/cloud-agent,2025-05,0,0,0,0,0,0,0,2,0,0,2
hyperledger-identus/cloud-agent,2025-12,15,2,3,4,3,0,0,0,0,0,27
hyperledger/identus,2024-04,4,2,2,2,0,1,1,0,0,1,13
hyperledger/identus,2024-10,0,0,0,0,0,1,0,0,0,0,1
hyperledger/identus,2024-11,0,0,0,0,0,3,0,2,0,0,5
hyperledger/identus,2024-12,0,0,0,0,0,1,0,0,0,0,1
hyperledger/identus,2025-01,0,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/mediator,2025-02,0,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/mediator,2025-03,0,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/mediator,2025-05,1,0,0,1,0,0,0,0,0,0,2
hyperledger-identus/mediator,2025-06,3,0,1,1,0,0,0,0,0,0,5
hyperledger-identus/mediator,2025-07,0,1,0,0,1,0,0,0,0,0,2
hyperledger-identus/mediator,2025-09,0,2,0,0,0,0,0,0,0,0,2
hyperledger-identus/mediator,2025-12,1,0,0,1,1,0,0,0,0,0,3
hyperledger-identus/mediator,2026-01,1,0,1,1,0,1,0,0,0,0,4
hyperledger-identus/sdk-ts,2025-03,0,3,1,1,0,0,3,1,0,0,9
hyperledger-identus/sdk-ts,2025-06,0,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/sdk-ts,2025-07,0,4,0,0,0,0,0,0,0,0,4
hyperledger-identus/sdk-ts,2026-02,0,0,0,0,0,0,0,1,0,0,1
hyperledger-identus/vdr,2025-03,0,5,0,0,0,0,5,0,0,0,10
hyperledger-identus/vdr,2025-04,0,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/vdr,2025-05,0,1,0,0,0,0,0,0,0,0,1
hyperledger/identus-mediator,2024-07,0,2,0,0,0,0,0,0,0,0,2
hyperledger/identus-mediator,2024-09,0,2,0,0,0,0,0,0,0,0,2
hyperledger/identus-mediator,2024-10,0,1,0,0,0,0,0,0,0,0,1
hyperledger/identus-mediator,2024-11,0,2,0,0,0,0,0,0,0,0,2
hyperledger/identus-mediator,2025-01,0,1,0,0,0,0,0,0,0,0,1
hyperledger/identus-docs,2024-09,2,0,1,1,0,1,0,0,0,0,5
hyperledger/identus-docs,2024-10,0,2,0,0,0,0,0,0,0,0,2
openwallet-foundation-labs/sd-jwt-rust,2024-05,0,0,1,0,0,2,0,0,1,0,4
hyperledger/identus-edge-agent-sdk-ts,2024-10,0,1,0,0,0,0,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-ts,2024-11,0,2,0,0,0,0,0,0,0,0,2
hyperledger-identus/neoprism,2025-12,0,1,0,0,1,0,0,0,0,0,2
hyperledger/identus-edge-agent-sdk-swift,2024-11,0,1,0,0,0,1,0,0,0,0,2
hyperledger-identus/docs,2025-02,0,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/prism-vdr-driver,2025-12,1,0,0,0,0,0,0,0,0,0,1
