repo,month,IssueCommentEvent,IssuesEvent,WatchEvent,PullRequestEvent,ForkEvent,CreateEvent,PullRequestReviewEvent,DiscussionEvent,PushEvent,total
hyperledger-identus/sdk-ts,2025-05,7,1,0,2,0,2,1,0,1,14
hyperledger-identus/sdk-ts,2025-06,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/open-enterprise-agent,2023-09,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/open-enterprise-agent,2024-02,2,1,0,1,1,0,0,0,0,5
hyperledger-labs/open-enterprise-agent,2024-04,2,0,0,1,0,0,0,0,0,3
hyperledger-identus/cloud-agent,2025-02,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/cloud-agent,2025-05,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/cloud-agent,2025-06,2,1,0,0,0,0,0,0,0,3
hyperledger-identus/identus,2025-02,3,2,0,0,0,0,0,0,0,5
hyperledger/identus,2024-07,0,1,1,0,0,0,0,0,0,2
hyperledger/identus,2024-11,2,1,0,0,0,0,0,0,0,3
hyperledger/identus-edge-agent-sdk-ts,2024-08,0,0,0,1,1,0,0,0,0,2
hyperledger/identus-edge-agent-sdk-ts,2024-11,1,0,0,1,0,0,0,0,0,2
hyperledger/identus-edge-agent-sdk-ts,2024-12,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/.github,2025-05,0,0,0,0,0,0,1,0,0,1
hyperledger-identus/.github,2025-06,2,0,0,0,0,0,0,0,0,2
hyperledger/identus-cloud-agent,2024-08,1,1,0,0,0,0,0,0,0,2
hyperledger/identus-cloud-agent,2025-01,0,1,0,0,0,0,0,0,0,1
hyperledger/identus-mediator,2024-11,1,2,0,0,0,0,0,0,0,3
hyperledger-identus/docs,2025-05,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/hyperledger-identus,2025-11,0,0,0,0,0,0,0,1,0,1
hyperledger-identus/integration,2025-05,0,0,1,0,0,0,0,0,0,1
hyperledger-identus/mediator,2025-02,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-socketdock,2023-09,0,0,1,0,0,0,0,0,0,1
hyperledger/identus-docs,2024-10,0,0,0,0,1,0,0,0,0,1
hyperledger/identus-vdr,2024-10,0,0,1,0,0,0,0,0,0,1
trustoverip/spec-up-t,2024-10,0,0,1,0,0,0,0,0,0,1
trustoverip/tswg-trust-registry-tf,2024-03,0,0,1,0,0,0,0,0,0,1
