repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,DeleteEvent,CreateEvent,IssueCommentEvent,PullRequestReviewCommentEvent,IssuesEvent,ReleaseEvent,ForkEvent,WatchEvent,CommitCommentEvent,total
hyperledger/identus-cloud-agent,2024-04,76,18,28,17,17,3,6,0,1,0,0,0,166
hyperledger/identus-cloud-agent,2024-05,133,53,87,58,23,18,16,3,0,0,0,0,391
hyperledger/identus-cloud-agent,2024-06,68,64,38,22,8,8,9,1,0,0,0,0,218
hyperledger/identus-cloud-agent,2024-07,7,20,4,4,3,2,8,1,0,0,0,0,49
hyperledger/identus-cloud-agent,2024-08,65,25,16,10,6,4,9,1,0,0,0,1,137
hyperledger/identus-cloud-agent,2024-09,27,62,23,15,4,5,32,8,1,0,0,0,177
hyperledger/identus-cloud-agent,2024-10,20,13,14,7,3,3,5,11,0,0,0,0,76
hyperledger/identus-cloud-agent,2024-11,9,12,5,1,0,1,2,1,1,0,0,0,32
hyperledger/identus-cloud-agent,2024-12,10,6,6,4,3,0,3,3,0,0,0,0,35
hyperledger/identus-cloud-agent,2025-01,40,7,20,10,6,6,4,1,0,0,0,0,94
hyperledger/identus-cloud-agent,2025-02,3,1,2,0,1,6,0,0,0,0,0,0,13
hyperledger-identus/cloud-agent,2025-02,48,10,15,4,7,9,2,2,0,0,0,0,97
hyperledger-identus/cloud-agent,2025-03,21,8,14,7,4,11,2,10,0,0,0,0,77
hyperledger-identus/cloud-agent,2025-04,26,11,17,21,5,10,4,5,1,0,0,0,100
hyperledger-identus/cloud-agent,2025-05,9,1,3,2,2,0,0,1,0,0,0,0,18
hyperledger-identus/cloud-agent,2025-06,0,0,1,0,0,18,0,5,0,0,0,0,24
hyperledger-identus/cloud-agent,2025-07,5,2,0,1,1,0,0,1,0,0,0,0,10
hyperledger-identus/cloud-agent,2025-10,3,2,1,2,0,0,0,0,1,0,0,0,9
hyperledger-identus/cloud-agent,2025-12,4,0,1,1,0,1,0,0,0,0,0,0,7
hyperledger-identus/cloud-agent,2026-01,3,1,0,0,0,0,0,0,0,0,0,0,4
hyperledger-identus/cloud-agent,2026-02,53,1,1,1,2,0,0,0,0,0,0,0,58
hyperledger-identus/cloud-agent,2026-03,18,0,1,3,2,0,0,0,0,0,0,0,24
hyperledger-identus/cloud-agent,2026-04,19,1,0,8,1,2,0,0,0,0,0,0,31
hyperledger-identus/cloud-agent,2026-05,21,3,2,7,0,2,1,1,0,0,0,0,37
hyperledger/identus-docs,2024-07,95,7,44,24,28,5,3,2,0,0,1,0,209
hyperledger/identus-docs,2024-08,10,8,0,0,1,1,0,1,0,0,0,0,21
hyperledger/identus-docs,2024-09,7,7,6,4,2,2,1,10,0,0,0,0,39
hyperledger/identus-docs,2024-10,0,0,0,0,0,0,0,2,0,0,0,0,2
hyperledger/identus-docs,2024-11,5,1,0,0,0,7,0,6,0,0,0,0,19
hyperledger/identus-docs,2025-01,0,0,0,0,0,1,1,1,0,0,0,0,3
hyperledger/identus-docs,2025-02,2,2,2,1,1,0,2,0,0,0,0,0,10
hyperledger-labs/open-enterprise-agent,2024-01,16,49,9,5,5,4,35,1,0,0,0,0,124
hyperledger-labs/open-enterprise-agent,2024-02,8,23,2,2,1,1,3,2,0,0,0,0,42
hyperledger-labs/open-enterprise-agent,2024-03,10,20,4,2,2,3,1,2,0,0,0,0,44
hyperledger-labs/open-enterprise-agent,2024-04,1,5,2,1,1,0,2,0,0,0,0,0,12
hyperledger-identus/docs,2025-02,34,4,13,19,7,6,4,3,0,0,0,0,90
hyperledger-identus/docs,2025-03,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger-identus/docs,2025-04,0,0,1,0,1,0,0,1,0,0,0,0,3
hyperledger-identus/docs,2025-05,6,1,3,2,0,1,0,2,0,0,0,0,15
hyperledger-identus/docs,2025-06,0,0,1,0,0,6,0,5,0,0,0,0,12
hyperledger-identus/docs,2025-08,0,0,0,0,0,2,0,0,0,1,0,0,3
hyperledger-identus/docs,2025-11,0,1,0,0,0,1,0,0,0,0,0,0,2
hyperledger-identus/docs,2025-12,0,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger-identus/docs,2026-01,0,2,0,0,0,1,1,3,0,0,0,0,7
hyperledger-identus/docs,2026-02,0,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger-identus/docs,2026-03,6,1,0,2,1,1,0,0,0,0,0,0,11
hyperledger-identus/docs,2026-04,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger-identus/docs,2026-05,3,1,0,1,1,0,0,0,0,0,0,0,6
hyperledger/identus-apollo,2024-07,26,2,0,0,8,0,0,0,0,0,0,0,36
hyperledger/identus-apollo,2024-08,21,2,6,4,12,1,2,1,2,0,0,0,51
hyperledger/identus-apollo,2024-09,0,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/identus-apollo,2024-10,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/identus-mediator,2024-07,23,1,4,4,7,0,0,0,0,0,0,0,39
hyperledger/identus-mediator,2024-08,7,1,4,2,2,0,0,0,0,0,0,0,16
hyperledger/identus-mediator,2024-09,1,1,0,0,0,0,0,1,0,0,0,0,3
hyperledger/identus-mediator,2024-10,4,0,8,2,4,0,0,0,0,0,0,0,18
hyperledger/identus-mediator,2024-11,2,0,2,2,0,0,0,0,0,0,0,0,6
hyperledger-identus/apollo,2025-02,0,0,0,0,0,0,0,1,0,0,0,0,1
