repo,month,IssueCommentEvent,PullRequestReviewEvent,PullRequestEvent,PushEvent,PullRequestReviewCommentEvent,DeleteEvent,total
hyperledger/aries-rfcs,2024-01,3,0,1,0,0,0,4
hyperledger/aries-rfcs,2024-02,0,2,1,1,0,0,4
hyperledger/aries-rfcs,2024-03,2,11,0,0,0,0,13
hyperledger/aries-rfcs,2024-05,0,0,3,0,0,0,3
hyperledger/aries-rfcs,2024-06,0,0,0,1,0,0,1
hyperledger/aries-rfcs,2024-09,1,0,0,0,0,0,1
hyperledger/aries-rfcs,2024-10,11,1,12,7,0,1,32
hyperledger/indy-did-method,2024-03,1,0,0,0,0,0,1
hyperledger/indy-did-method,2024-04,1,2,0,0,2,0,5
hyperledger/indy-did-method,2024-05,1,4,0,0,3,0,8
hyperledger/anoncreds-spec,2024-01,1,3,0,0,2,0,6
hyperledger/toc,2024-02,0,1,0,0,1,0,2
hyperledger/aries-cloudagent-python,2024-04,1,0,0,0,0,0,1
hyperledger/indy-besu,2024-02,1,0,0,0,0,0,1
hyperledger/indy-node,2024-02,1,0,0,0,0,0,1
