repo,month,PullRequestReviewEvent,PullRequestEvent,PushEvent,PullRequestReviewCommentEvent,ForkEvent,IssueCommentEvent,CreateEvent,DeleteEvent,total
hyperledger/iroha,2019-09,0,0,0,0,1,0,0,0,1
hyperledger/iroha,2020-04,0,12,6,1,1,1,0,0,21
hyperledger/iroha,2020-09,1,0,0,0,0,0,0,0,1
hyperledger/iroha,2020-10,1,0,0,0,0,0,0,0,1
hyperledger/iroha,2022-02,2,0,0,0,0,0,0,0,2
hyperledger/iroha,2022-04,2,0,0,0,0,0,0,0,2
hyperledger/iroha,2022-05,7,1,0,4,0,0,0,0,12
hyperledger/iroha,2022-07,3,0,0,0,0,1,0,0,4
hyperledger/iroha,2022-09,1,0,0,0,0,0,0,0,1
hyperledger/iroha,2022-10,1,0,0,0,0,0,0,0,1
hyperledger/iroha,2023-09,1,0,0,0,0,0,0,0,1
hyperledger/iroha-deploy,2019-09,0,1,0,0,1,0,0,0,2
hyperledger/iroha-deploy,2019-10,0,2,0,0,0,0,1,1,4
hyperledger/iroha-deploy,2020-03,0,1,0,0,0,0,0,0,1
hyperledger/iroha-deploy,2020-04,0,7,4,0,0,0,0,0,11
hyperledger/iroha-deploy,2021-09,2,0,0,0,0,0,0,0,2
hyperledger/iroha-deploy,2021-10,1,0,0,0,0,0,0,0,1
hyperledger/iroha-deploy,2021-11,4,0,0,0,0,0,0,0,4
hyperledger/iroha-deploy,2021-12,0,1,1,0,0,0,0,0,2
hyperledger/iroha-deploy,2023-02,1,0,0,0,0,0,0,0,1
hyperledger/iroha-deploy,2023-06,1,0,0,0,0,0,0,0,1
hyperledger/iroha-java,2021-02,2,1,0,2,0,0,0,0,5
hyperledger/iroha-java,2021-03,0,3,2,0,0,0,0,0,5
hyperledger/iroha-javascript,2022-02,1,0,0,0,0,0,0,0,1
hyperledger/iroha-javascript,2022-08,1,0,0,0,0,0,0,0,1
hyperledger/iroha-javascript,2023-03,1,0,0,0,0,0,0,0,1
hyperledger/iroha-javascript,2023-04,2,0,0,1,0,0,0,0,3
hyperledger/iroha-ios,2020-03,0,1,0,0,1,0,0,0,2
hyperledger-iroha/iroha,2026-05,0,0,1,0,0,0,0,0,1
