repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,IssuesEvent,PushEvent,CreateEvent,DeleteEvent,ForkEvent,total
hyperledger/iroha,2023-07,30,30,15,11,4,1,4,4,1,100
hyperledger/iroha,2023-08,32,29,3,3,1,0,0,0,0,68
hyperledger/iroha,2023-09,75,55,12,13,10,6,1,1,0,173
hyperledger/iroha,2023-10,35,11,10,9,6,5,1,0,0,77
hyperledger/iroha,2023-11,51,46,4,4,2,2,0,0,0,109
hyperledger/iroha,2023-12,40,28,10,7,3,4,1,1,0,94
hyperledger/iroha,2024-01,64,50,5,1,6,0,0,0,0,126
hyperledger/iroha,2024-02,35,29,5,0,2,0,0,0,0,71
hyperledger/iroha,2024-03,64,50,8,6,11,3,0,0,0,142
hyperledger/iroha,2024-04,33,21,21,3,2,1,0,0,0,81
hyperledger/iroha,2024-05,21,10,9,4,6,2,0,0,0,52
hyperledger/iroha,2024-06,15,9,3,3,3,1,0,0,0,34
hyperledger/iroha,2024-07,54,41,11,1,6,0,0,0,0,113
hyperledger/iroha,2024-08,21,17,6,2,6,0,0,0,0,52
hyperledger/iroha,2024-09,26,14,10,9,5,3,0,0,0,67
hyperledger/iroha,2024-10,9,3,1,2,2,0,0,0,0,17
hyperledger-iroha/iroha,2024-11,12,12,3,3,0,0,2,2,0,34
hyperledger-iroha/iroha,2024-12,3,3,1,0,0,0,0,0,0,7
hyperledger/iroha-2-docs,2024-05,0,0,1,2,0,1,0,0,1,5
hyperledger/iroha-javascript,2024-03,0,0,1,0,0,0,0,0,0,1
hyperledger/iroha-javascript,2024-05,0,0,0,0,1,0,0,0,0,1
hyperledger/iroha-rfcs,2023-10,1,1,0,0,0,0,0,0,0,2
