repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssueCommentEvent,IssuesEvent,PullRequestEvent,total
hyperledger-iroha/iroha-2-docs,2024-11,0,2,0,0,0,2
hyperledger-iroha/iroha-2-docs,2024-12,2,3,0,0,0,5
hyperledger-iroha/iroha-2-docs,2025-03,1,2,1,0,0,4
hyperledger-iroha/iroha-2-docs,2025-05,3,2,0,0,1,6
hyperledger-iroha/iroha-2-docs,2025-06,1,1,0,0,0,2
hyperledger-iroha/iroha-2-docs,2025-07,0,0,1,1,0,2
hyperledger/toc,2024-02,18,2,0,0,0,20
hyperledger/iroha,2024-01,5,7,0,0,0,12
hyperledger/iroha,2024-02,0,3,0,0,0,3
hyperledger/iroha-2-docs,2024-01,0,1,0,0,0,1
hyperledger/iroha-2-docs,2024-02,0,1,0,0,0,1
hyperledger/iroha-2-docs,2024-03,7,2,0,0,0,9
hyperledger/iroha-2-docs,2024-09,0,1,0,0,0,1
