repo,month,IssuesEvent,IssueCommentEvent,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,CreateEvent,ForkEvent,PushEvent,total
hyperledger/iroha,2022-02,2,0,0,0,0,0,0,0,2
hyperledger/iroha,2022-03,13,3,0,0,0,0,0,0,16
hyperledger/iroha,2022-04,0,1,0,0,0,0,0,0,1
hyperledger/iroha,2022-05,5,1,0,0,0,0,0,0,6
hyperledger/iroha,2022-06,2,0,0,0,0,0,0,0,2
hyperledger/iroha,2022-07,0,1,0,0,0,0,0,0,1
hyperledger/iroha,2022-08,6,0,0,0,0,0,0,0,6
hyperledger/iroha,2022-09,1,0,0,0,0,0,0,0,1
hyperledger/iroha,2022-10,1,0,0,0,0,0,0,0,1
hyperledger/iroha,2022-11,1,1,0,0,0,0,0,0,2
hyperledger/iroha,2022-12,2,0,0,0,0,0,0,0,2
hyperledger/iroha,2023-01,1,0,0,0,0,0,0,0,1
hyperledger/iroha,2023-06,1,1,0,0,0,0,0,0,2
hyperledger/iroha,2023-08,1,0,0,0,0,0,0,0,1
hyperledger/iroha,2023-11,1,0,0,0,0,0,0,0,1
hyperledger/iroha,2024-01,1,0,0,0,0,0,0,0,1
hyperledger/iroha,2024-05,0,2,0,0,0,0,0,0,2
hyperledger/iroha,2024-08,0,1,0,0,0,0,0,0,1
hyperledger/iroha,2024-09,1,1,0,0,0,0,0,0,2
hyperledger-iroha/iroha,2024-10,0,7,0,0,0,0,0,0,7
hyperledger-iroha/iroha,2024-11,0,0,2,1,1,1,0,1,6
hyperledger-iroha/iroha,2025-02,1,1,0,0,0,0,0,0,2
hyperledger/iroha-2-docs,2023-11,0,1,0,0,0,0,0,0,1
hyperledger/iroha-2-docs,2023-12,0,2,0,0,0,0,0,0,2
hyperledger/iroha-2-docs,2024-07,7,1,0,0,0,0,0,0,8
hyperledger/governance,2022-08,2,0,0,0,0,0,0,0,2
hyperledger/governance,2022-11,1,0,0,0,0,0,0,0,1
hyperledger/governance,2024-10,1,0,0,0,0,0,0,0,1
hyperledger-iroha/governance,2024-10,1,0,0,0,0,0,0,0,1
hyperledger-iroha/governance,2025-01,0,0,1,0,0,0,1,0,2
hyperledger/iroha-rfcs,2023-11,0,1,0,1,1,0,0,0,3
hyperledger/toc,2024-05,0,0,0,1,0,0,0,0,1
