repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,IssueCommentEvent,PullRequestEvent,PushEvent,CreateEvent,DeleteEvent,total
hyperledger/iroha-2-docs,2024-01,9,12,0,0,0,0,0,0,21
hyperledger/iroha-2-docs,2024-02,5,3,0,1,0,0,0,0,9
hyperledger/iroha-2-docs,2024-03,0,0,0,0,0,0,1,0,1
hyperledger/iroha-2-docs,2024-04,2,4,0,0,2,1,1,1,11
hyperledger/iroha-2-docs,2024-05,2,3,0,0,1,1,0,0,7
hyperledger/iroha-2-docs,2024-09,0,0,0,5,0,0,0,0,5
hyperledger/iroha-2-docs,2024-10,0,0,10,3,1,0,0,0,14
hyperledger-iroha/iroha-2-docs,2024-10,2,1,0,0,1,1,0,0,5
hyperledger/iroha,2024-01,3,0,0,0,0,0,0,0,3
hyperledger/iroha,2024-02,1,0,0,0,0,0,0,0,1
hyperledger-iroha/iroha,2024-11,0,0,0,0,1,0,0,0,1
