repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,IssuesEvent,PushEvent,CreateEvent,ReleaseEvent,DeleteEvent,total
hyperledger-iroha/iroha,2024-10,17,9,4,4,1,2,0,0,0,37
hyperledger-iroha/iroha,2024-11,87,64,13,6,9,3,0,0,0,182
hyperledger-iroha/iroha,2024-12,24,16,3,0,0,0,0,0,0,43
hyperledger-iroha/iroha,2025-01,20,19,8,16,5,6,1,0,0,75
hyperledger-iroha/iroha,2025-02,36,16,15,10,9,7,1,1,0,95
hyperledger-iroha/iroha,2025-03,19,7,23,7,9,4,0,0,0,69
hyperledger-iroha/iroha,2025-04,12,4,6,3,3,6,0,0,0,34
hyperledger-iroha/iroha,2025-05,40,35,15,18,13,10,5,1,1,138
hyperledger-iroha/iroha,2025-06,18,16,7,8,2,4,1,1,1,58
hyperledger-iroha/iroha,2025-07,25,17,10,9,4,4,0,0,0,69
hyperledger-iroha/iroha,2025-08,5,1,0,0,0,0,0,0,0,6
hyperledger-iroha/iroha,2025-09,2,1,1,2,1,0,0,0,0,7
hyperledger-iroha/iroha,2025-10,0,0,1,0,1,0,0,0,0,2
hyperledger/iroha,2024-02,15,14,11,3,0,2,0,0,0,45
hyperledger/iroha,2024-03,31,13,9,1,3,0,0,0,0,57
hyperledger/iroha,2024-04,56,38,10,1,5,0,0,0,0,110
hyperledger/iroha,2024-05,48,39,19,2,4,0,0,0,0,112
hyperledger/iroha,2024-06,22,15,5,0,0,0,0,0,0,42
hyperledger/iroha,2024-07,31,21,14,1,1,0,0,0,0,68
hyperledger/iroha,2024-08,29,21,9,1,5,0,0,0,0,65
hyperledger/iroha,2024-09,11,15,1,1,0,0,0,0,0,28
hyperledger/iroha,2024-10,42,54,8,2,3,1,0,0,0,110
hyperledger-iroha/hub-chain-poc,2025-08,4,7,0,0,0,0,0,0,0,11
hyperledger-iroha/hub-chain-poc,2025-09,2,2,0,0,0,0,0,0,0,4
hyperledger/iroha-2-docs,2024-05,0,0,2,0,0,0,0,0,0,2
hyperledger/iroha-2-docs,2024-07,4,3,0,0,0,0,0,0,0,7
hyperledger-iroha/iroha-rfcs,2025-08,1,4,0,0,0,0,0,0,0,5
hyperledger-iroha/iroha-rfcs,2025-09,2,1,0,0,0,0,0,0,0,3
hyperledger-iroha/iroha-2-docs,2025-03,1,1,0,0,0,0,0,0,0,2
hyperledger-iroha/iroha-2-docs,2025-06,1,2,0,0,0,0,0,0,0,3
hyperledger-iroha/iroha-python,2025-05,1,0,0,2,0,2,0,0,0,5
