repo,month,PullRequestEvent,PushEvent,CreateEvent,DeleteEvent,PullRequestReviewEvent,IssuesEvent,IssueCommentEvent,ForkEvent,PullRequestReviewCommentEvent,WatchEvent,total
hyperledger/iroha,2021-11,0,0,0,0,0,0,0,1,0,0,1
hyperledger/iroha,2022-01,0,0,1,0,0,0,0,0,0,0,1
hyperledger/iroha,2022-02,6,15,3,3,1,0,0,0,0,0,28
hyperledger/iroha,2022-03,31,13,1,0,0,0,0,1,0,0,46
hyperledger/iroha,2022-04,86,55,2,1,0,0,2,0,0,0,146
hyperledger/iroha,2022-05,17,9,5,4,0,0,0,0,0,0,35
hyperledger/iroha,2022-06,27,4,3,4,1,0,0,0,0,0,39
hyperledger/iroha,2022-07,20,14,2,3,1,0,0,0,0,0,40
hyperledger/iroha,2022-08,4,2,1,1,0,0,0,0,0,0,8
hyperledger/iroha,2022-09,11,8,5,6,0,0,0,0,0,0,30
hyperledger/iroha,2022-10,3,3,2,1,0,0,0,0,0,0,9
hyperledger/iroha,2023-01,0,1,0,0,0,0,0,0,0,0,1
hyperledger/iroha,2023-03,1,1,1,0,0,0,0,0,0,0,3
hyperledger/iroha,2023-04,1,4,1,0,0,0,0,0,0,0,6
hyperledger/iroha,2023-09,0,0,0,0,1,0,0,0,0,0,1
hyperledger/iroha,2023-10,0,12,0,0,1,0,1,0,0,0,14
hyperledger/iroha,2024-04,12,5,3,0,0,0,0,0,0,0,20
hyperledger/iroha,2024-05,0,0,0,0,1,0,0,0,0,0,1
hyperledger/iroha-deploy,2021-10,0,0,0,0,0,0,1,0,0,0,1
hyperledger/iroha-deploy,2021-11,3,0,0,0,1,0,1,0,1,0,6
hyperledger/iroha-deploy,2023-02,1,1,1,0,0,0,0,0,0,0,3
hyperledger/iroha-deploy,2023-06,2,2,1,0,0,0,0,0,0,0,5
hyperledger/iroha-deploy,2023-12,0,0,0,0,1,0,0,0,0,0,1
hyperledger/iroha-javascript,2022-08,2,1,1,0,0,0,0,0,0,0,4
hyperledger/iroha-javascript,2022-11,2,4,1,0,1,0,0,0,0,0,8
hyperledger/iroha-javascript,2022-12,0,0,0,0,1,0,0,0,0,0,1
hyperledger/iroha-javascript,2023-03,2,0,1,0,0,0,0,0,0,0,3
hyperledger/governance,2022-07,0,0,0,0,0,1,0,0,0,0,1
hyperledger/governance,2022-11,0,0,0,0,0,1,1,0,0,0,2
hyperledger/governance,2022-12,0,0,0,0,0,1,0,0,0,0,1
hyperledger/governance,2023-02,0,0,0,0,0,1,0,0,0,0,1
hyperledger/governance,2023-03,0,0,0,0,0,1,1,0,0,0,2
hyperledger/governance,2024-01,0,0,0,0,0,2,0,0,0,0,2
hyperledger/governance,2024-03,0,0,0,0,0,1,0,0,0,0,1
hyperledger/iroha-2-docs,2023-09,2,0,0,0,0,0,0,1,0,0,3
hyperledger/iroha-ios,2023-08,0,2,0,0,0,0,0,0,0,0,2
hyperledger/iroha-java,2022-02,0,0,0,0,1,0,0,0,0,0,1
hyperledger/iroha-java,2023-10,0,0,0,0,1,0,0,0,0,0,1
hyperledger-iroha/iroha,2024-11,0,0,0,0,0,0,0,0,0,1,1
