repo,month,IssueCommentEvent,PullRequestReviewCommentEvent,IssuesEvent,PushEvent,PullRequestEvent,DeleteEvent,total
hyperledger/iroha,2017-09,38,318,0,0,0,0,356
hyperledger/iroha,2017-10,142,36,0,0,0,0,178
hyperledger/iroha,2017-11,78,0,0,0,0,0,78
hyperledger/iroha,2017-12,131,0,0,0,0,0,131
hyperledger/iroha,2018-01,182,0,0,0,0,0,182
hyperledger/iroha,2018-02,159,0,0,0,0,0,159
hyperledger/iroha,2018-03,117,0,0,0,0,0,117
hyperledger/iroha,2018-04,43,0,0,1,0,1,45
hyperledger/iroha,2018-05,100,0,0,8,6,0,114
hyperledger/iroha,2018-06,190,0,0,1,1,0,192
hyperledger/iroha,2018-07,166,0,0,0,0,0,166
hyperledger/iroha,2018-08,108,0,0,0,0,0,108
hyperledger/iroha,2018-09,44,0,0,0,0,0,44
hyperledger/iroha,2019-01,1,0,1,0,0,0,2
hyperledger/iroha,2019-02,6,0,6,0,0,0,12
hyperledger/iroha,2019-03,3,0,3,0,0,0,6
hyperledger/iroha,2019-04,1,0,1,0,0,0,2
hyperledger/iroha,2019-05,2,0,2,0,0,0,4
hyperledger/iroha,2019-07,1,0,1,0,0,0,2
hyperledger/iroha,2019-09,1,0,1,0,0,0,2
hyperledger/iroha,2019-10,2,0,2,0,0,0,4
hyperledger/iroha,2019-11,2,0,3,0,0,0,5
hyperledger/iroha,2020-03,3,0,3,0,0,0,6
hyperledger/iroha,2020-04,3,0,3,0,0,0,6
hyperledger/iroha,2020-05,2,0,2,0,0,0,4
hyperledger/iroha,2020-10,1,0,1,0,0,0,2
hyperledger/iroha,2020-11,1,0,1,0,0,0,2
hyperledger/iroha,2020-12,2,0,2,0,0,0,4
hyperledger/iroha,2021-01,1,0,1,0,0,0,2
hyperledger/iroha,2021-02,1,0,1,0,0,0,2
hyperledger/iroha,2023-11,0,0,0,2,0,0,2
hyperledger/iroha,2023-12,0,0,0,1,0,0,1
hyperledger/iroha-java,2019-05,2,0,2,0,0,0,4
hyperledger/iroha-java,2019-07,8,0,0,0,0,0,8
hyperledger/iroha-2-docs,2023-12,0,0,2,0,0,0,2
hyperledger/iroha-2-docs,2024-01,0,0,1,0,0,0,1
