repo,month,PushEvent,IssuesEvent,CreateEvent,IssueCommentEvent,PullRequestReviewEvent,ForkEvent,PullRequestEvent,total
hyperledger-iroha/iroha,2025-06,0,0,0,1,0,0,0,1
hyperledger-iroha/iroha,2025-07,0,0,0,0,0,1,0,1
hyperledger-iroha/iroha,2025-12,2,1,1,0,0,0,0,4
hyperledger-iroha/iroha,2026-01,133,0,0,0,0,0,0,133
hyperledger-iroha/iroha,2026-02,77,0,0,0,0,0,0,77
hyperledger-iroha/iroha,2026-03,109,0,0,0,0,0,1,110
hyperledger-iroha/iroha,2026-04,191,5,0,2,1,0,0,199
hyperledger-iroha/iroha,2026-05,109,0,2,0,0,0,0,111
hyperledger-iroha/iroha-2-docs,2024-12,0,0,0,0,1,0,0,1
hyperledger-iroha/iroha-2-docs,2025-10,1,0,0,0,0,0,0,1
hyperledger-iroha/iroha-2-docs,2026-04,3,0,0,0,0,0,0,3
hyperledger-iroha/iroha-2-docs,2026-05,2,0,0,0,0,0,0,2
hyperledger/iroha-2-docs,2024-01,0,1,0,0,0,0,0,1
