repo,month,IssuesEvent,IssueCommentEvent,ForkEvent,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,total
hyperledger/iroha,2024-01,12,1,4,1,1,1,20
hyperledger/iroha,2024-02,6,0,0,2,0,0,8
hyperledger/iroha,2024-03,5,0,2,2,1,1,11
hyperledger/iroha,2024-04,7,0,0,0,0,0,7
hyperledger/iroha,2024-05,2,0,0,0,0,0,2
hyperledger/iroha,2024-06,1,0,0,0,0,0,1
hyperledger/iroha,2024-07,7,5,0,0,0,0,12
hyperledger/iroha,2024-08,3,1,0,0,0,0,4
hyperledger/iroha,2024-09,4,0,0,0,0,0,4
hyperledger/iroha,2024-10,0,1,0,0,0,0,1
hyperledger-iroha/iroha,2025-02,2,1,0,0,0,0,3
hyperledger-iroha/iroha,2025-03,5,9,0,0,0,0,14
hyperledger-iroha/iroha,2025-04,3,0,0,0,0,0,3
hyperledger-iroha/iroha,2025-05,1,0,0,0,0,0,1
hyperledger/iroha-java,2024-08,2,1,0,0,0,0,3
hyperledger/iroha-java,2024-09,1,0,0,0,0,0,1
hyperledger-iroha/iroha-2-docs,2025-04,0,1,0,0,0,0,1
