repo,month,PushEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssuesEvent,IssueCommentEvent,PullRequestEvent,CreateEvent,DeleteEvent,total
hyperledger-labs/fabric-token-sdk,2025-03,24,36,35,4,4,3,4,1,111
hyperledger-labs/fabric-token-sdk,2025-04,9,6,5,1,6,4,2,0,33
hyperledger-labs/fabric-token-sdk,2025-07,0,4,3,1,0,0,0,0,8
hyperledger-labs/fabric-token-sdk,2025-08,0,1,1,0,0,0,0,0,2
hyperledger-labs/fabric-token-sdk,2025-10,3,0,0,2,1,2,2,0,10
hyperledger-labs/fabric-token-sdk,2025-11,5,12,7,6,0,1,0,0,31
hyperledger-labs/fabric-token-sdk,2025-12,0,6,1,0,0,0,0,0,7
hyperledger-labs/fabric-token-sdk,2026-01,13,6,4,2,3,1,4,0,33
hyperledger-labs/fabric-token-sdk,2026-02,51,4,7,38,6,8,3,1,118
hyperledger-labs/fabric-token-sdk,2026-03,55,1,1,7,1,3,2,1,71
hyperledger-labs/fabric-token-sdk,2026-04,1,6,5,8,6,1,0,0,27
hyperledger-labs/fabric-token-sdk,2026-05,22,0,2,0,2,2,2,1,31
hyperledger-labs/fabric-smart-client,2025-03,12,8,7,0,0,1,2,0,30
hyperledger-labs/fabric-smart-client,2025-04,13,0,1,2,1,1,0,0,18
hyperledger-labs/fabric-smart-client,2025-07,0,0,0,0,1,0,0,0,1
hyperledger-labs/fabric-smart-client,2025-08,2,0,0,0,1,0,0,0,3
hyperledger-labs/fabric-smart-client,2025-10,0,0,2,0,0,0,0,0,2
hyperledger-labs/fabric-smart-client,2025-11,2,1,2,0,1,0,0,0,6
hyperledger-labs/fabric-smart-client,2026-01,3,0,1,0,0,0,0,0,4
hyperledger-labs/fabric-smart-client,2026-02,0,0,0,1,0,0,0,0,1
hyperledger-labs/governance,2025-02,0,0,0,0,1,0,0,0,1
