repo,month,PullRequestReviewEvent,PullRequestEvent,PushEvent,PullRequestReviewCommentEvent,IssueCommentEvent,WatchEvent,CreateEvent,DeleteEvent,ForkEvent,IssuesEvent,total
hyperledger/fabric,2016-06,0,0,0,0,0,0,0,0,1,0,1
hyperledger/fabric,2017-06,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric,2019-11,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric,2019-12,0,1,1,2,0,0,0,0,0,0,4
hyperledger/fabric,2020-01,0,4,4,0,0,0,0,0,0,0,8
hyperledger/fabric,2020-02,0,9,7,3,0,0,0,0,0,0,19
hyperledger/fabric,2020-03,0,16,16,2,2,0,0,0,0,0,36
hyperledger/fabric,2020-04,0,7,7,6,0,0,0,0,0,0,20
hyperledger/fabric,2020-05,0,4,4,24,1,0,0,0,0,0,33
hyperledger/fabric,2020-06,0,9,9,1,0,0,0,0,0,0,19
hyperledger/fabric,2020-07,0,2,2,0,0,0,0,0,0,0,4
hyperledger/fabric,2020-08,1,3,3,1,0,0,0,0,0,0,8
hyperledger/fabric,2020-09,17,13,12,2,1,0,0,0,0,0,45
hyperledger/fabric,2020-10,11,11,11,2,1,0,0,0,0,0,36
hyperledger/fabric,2020-11,3,3,3,0,0,0,0,0,0,0,9
hyperledger/fabric,2020-12,3,5,2,2,0,0,0,0,0,0,12
hyperledger/fabric,2021-01,1,1,1,0,0,0,0,0,0,0,3
hyperledger/fabric,2021-02,13,4,4,0,0,0,0,0,0,0,21
hyperledger/fabric,2021-03,1,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2021-04,1,1,1,0,1,0,0,0,0,0,4
hyperledger/fabric,2021-05,10,3,3,3,0,0,0,0,0,0,19
hyperledger/fabric,2021-06,8,5,4,4,0,0,0,0,0,0,21
hyperledger/fabric,2021-07,2,6,2,0,9,0,0,0,0,0,19
hyperledger/fabric,2021-08,4,4,4,0,1,0,0,0,0,2,15
hyperledger/fabric,2021-09,2,2,2,0,4,0,0,0,0,0,10
hyperledger/fabric,2021-11,5,1,1,0,1,0,0,0,0,0,8
hyperledger/fabric,2021-12,3,1,1,1,0,0,0,0,0,0,6
hyperledger/fabric,2022-02,4,2,2,0,1,0,0,0,0,0,9
hyperledger/fabric,2022-03,5,1,1,0,0,0,0,0,0,0,7
hyperledger/fabric,2022-04,4,3,2,1,2,0,0,0,0,0,12
hyperledger/fabric,2022-05,4,2,2,2,5,0,0,0,0,0,15
hyperledger/fabric,2022-06,4,2,2,0,1,0,0,0,0,0,9
hyperledger/fabric,2022-07,0,2,0,0,2,0,0,0,0,0,4
