repo,month,PullRequestEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,PushEvent,IssueCommentEvent,CreateEvent,ForkEvent,WatchEvent,DeleteEvent,ReleaseEvent,total
hyperledger-labs/go-perun,2022-10,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger-labs/go-perun,2024-02,4,0,0,0,0,1,0,0,0,0,0,5
hyperledger-labs/go-perun,2024-03,2,5,5,0,1,0,0,0,0,0,0,13
hyperledger-labs/go-perun,2024-06,1,0,0,0,0,0,1,0,0,0,0,2
hyperledger-labs/go-perun,2024-07,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/go-perun,2025-03,2,0,0,1,0,0,0,0,0,0,0,3
hyperledger-labs/go-perun,2025-04,1,0,0,1,0,0,0,0,0,0,0,2
hyperledger-labs/go-perun,2025-05,3,0,0,3,1,1,0,0,0,0,0,8
hyperledger-labs/go-perun,2025-07,2,7,6,2,1,0,1,0,0,0,1,20
hyperledger-labs/go-perun,2025-09,1,0,0,3,0,2,0,0,0,0,0,6
hyperledger-labs/go-perun,2025-10,2,0,0,0,1,0,0,0,0,0,0,3
hyperledger-labs/go-perun,2025-11,2,0,0,0,1,1,1,0,0,1,1,7
hyperledger-labs/go-perun,2025-12,0,0,0,0,2,0,0,0,0,1,0,3
hyperledger-labs/perun-eth-backend,2024-03,2,11,9,0,1,1,0,0,0,0,0,24
hyperledger-labs/perun-eth-backend,2024-07,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/aries-framework-go,2022-10,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-framework-go,2022-11,2,0,0,0,0,0,0,2,0,0,0,4
hyperledger/aries-framework-go,2023-10,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/perun-doc,2022-10,2,0,0,1,0,0,0,1,0,0,0,4
hyperledger-labs/perun-doc,2025-05,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/perun-credential-payment,2022-10,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger-labs/perun-credential-payment,2023-01,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger-labs/perun-eth-contracts,2026-02,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/aries,2022-10,0,0,0,0,0,0,0,0,1,0,0,1
