repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,DeleteEvent,IssuesEvent,CreateEvent,IssueCommentEvent,ReleaseEvent,ForkEvent,WatchEvent,total
hyperledger-labs/fabric-token-sdk,2021-06,34,30,0,0,4,25,8,5,0,1,0,107
hyperledger-labs/fabric-token-sdk,2021-07,15,19,0,0,9,14,7,2,0,0,0,66
hyperledger-labs/fabric-token-sdk,2021-08,2,3,3,0,0,7,1,6,0,0,0,22
hyperledger-labs/fabric-token-sdk,2021-09,38,26,0,0,16,18,14,1,0,0,0,113
hyperledger-labs/fabric-token-sdk,2021-10,8,8,0,0,4,3,6,2,0,0,0,31
hyperledger-labs/fabric-token-sdk,2021-11,46,27,0,0,11,2,13,1,0,0,0,100
hyperledger-labs/fabric-token-sdk,2021-12,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/fabric-token-sdk,2022-01,95,6,0,0,2,0,2,0,0,0,0,105
hyperledger-labs/fabric-token-sdk,2022-02,23,21,0,0,9,10,8,3,0,0,0,74
hyperledger-labs/fabric-token-sdk,2022-03,79,25,21,16,16,27,12,12,0,0,1,209
hyperledger-labs/fabric-token-sdk,2022-04,17,20,2,1,9,11,10,2,0,0,0,72
hyperledger-labs/fabric-token-sdk,2022-05,27,10,5,3,4,6,4,2,0,0,0,61
hyperledger-labs/fabric-token-sdk,2022-06,70,22,43,38,9,12,10,9,0,0,0,213
hyperledger-labs/fabric-token-sdk,2022-07,68,16,73,85,8,8,6,16,0,0,0,280
hyperledger-labs/fabric-token-sdk,2022-08,66,18,79,63,3,7,7,6,0,0,0,249
hyperledger-labs/fabric-token-sdk,2022-09,52,27,14,11,11,13,13,12,0,0,0,153
hyperledger-labs/fabric-token-sdk,2022-10,100,27,9,10,18,8,9,3,0,0,0,184
hyperledger-labs/fabric-token-sdk,2022-11,63,22,13,19,15,3,10,2,1,0,0,148
hyperledger-labs/fabric-token-sdk,2022-12,27,16,5,2,7,2,8,0,1,0,0,68
hyperledger-labs/fabric-token-sdk,2023-01,31,8,3,8,5,1,3,0,0,0,0,59
hyperledger-labs/fabric-token-sdk,2023-02,62,11,2,2,7,0,3,0,0,0,0,87
hyperledger-labs/fabric-token-sdk,2023-03,21,1,0,0,1,0,0,0,0,0,0,23
hyperledger-labs/fabric-token-sdk,2023-04,25,10,0,0,6,1,6,2,0,0,0,50
hyperledger-labs/fabric-token-sdk,2023-05,6,5,0,0,3,1,1,1,0,0,0,17
hyperledger-labs/fabric-token-sdk,2023-06,12,1,0,0,0,0,1,0,0,0,0,14
hyperledger-labs/fabric-token-sdk,2023-07,16,5,2,2,2,0,2,1,0,0,0,30
hyperledger-labs/fabric-token-sdk,2023-08,36,5,0,0,3,1,2,0,0,0,0,47
hyperledger-labs/fabric-token-sdk,2023-09,29,13,1,0,5,1,5,2,0,0,0,56
hyperledger-labs/fabric-token-sdk,2023-10,22,10,10,5,5,0,4,1,1,0,0,58
hyperledger-labs/fabric-token-sdk,2023-11,29,11,2,2,4,0,7,1,0,0,0,56
hyperledger-labs/fabric-token-sdk,2023-12,20,6,5,1,3,0,2,1,0,0,0,38
hyperledger-labs/fabric-token-sdk,2024-01,65,17,9,5,8,0,6,3,0,0,0,113
hyperledger-labs/fabric-token-sdk,2024-02,58,20,30,26,9,19,10,7,0,0,0,179
hyperledger-labs/fabric-token-sdk,2024-03,120,29,37,33,16,3,13,2,0,0,0,253
