repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,CreateEvent,IssuesEvent,IssueCommentEvent,PullRequestReviewCommentEvent,DeleteEvent,ForkEvent,total
hyperledger/fabric-x-evm,2026-03,7,0,3,1,6,0,0,0,0,17
hyperledger/fabric-x-evm,2026-04,9,7,5,2,1,2,5,0,0,31
hyperledger/fabric-x-evm,2026-05,20,1,2,6,0,0,0,3,0,32
hyperledger/fabric,2024-01,1,1,1,0,0,0,0,0,0,3
hyperledger/fabric,2024-02,3,5,3,0,0,0,0,0,0,11
hyperledger/fabric,2024-03,7,8,6,0,0,0,0,0,0,21
hyperledger/fabric,2024-04,2,3,2,0,0,0,0,0,0,7
hyperledger/fabric,2024-06,2,2,2,0,0,0,0,0,0,6
hyperledger/fabric,2025-05,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-09,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-smart-client,2024-06,12,0,10,3,0,0,0,2,0,27
hyperledger-labs/fabric-smart-client,2025-03,0,4,0,0,3,0,2,0,0,9
hyperledger-labs/fabric-smart-client,2025-04,1,0,1,0,3,0,0,0,0,5
hyperledger-labs/fabric-smart-client,2025-09,0,3,0,0,2,0,0,0,0,5
hyperledger/aries-bbs-go,2024-03,11,1,2,3,0,1,1,0,1,20
hyperledger/aries-bbs-go,2024-04,1,5,2,2,0,2,5,0,0,17
hyperledger/aries-bbs-go,2024-05,1,0,3,4,0,0,0,0,0,8
hyperledger/aries-bbs-go,2025-07,0,0,0,1,0,0,0,0,0,1
hyperledger/governance,2024-03,0,1,0,0,2,4,0,0,1,8
hyperledger/governance,2026-03,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/fabric-token-sdk,2024-06,4,0,0,1,0,0,0,0,0,5
hyperledger-labs/fabric-token-sdk,2024-11,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-token-sdk,2025-09,0,0,0,0,2,0,0,0,0,2
hyperledger/fabric-rfcs,2025-05,0,2,0,0,0,2,0,0,0,4
hyperledger/fabric-rfcs,2025-07,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-x-endorser,2025-07,1,0,1,0,0,0,0,0,0,2
hyperledger/fabric-x-endorser,2025-11,0,0,0,1,0,0,0,0,0,1
hyperledger/aries-framework-go,2024-03,0,0,0,0,0,2,0,0,0,2
hyperledger/fabric-x-rfcs,2025-11,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric-x-rfcs,2026-03,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-x-sdk,2026-05,1,0,0,1,0,0,0,0,0,2
