repo,month,PullRequestEvent,PushEvent,PullRequestReviewEvent,IssuesEvent,CreateEvent,ForkEvent,IssueCommentEvent,ReleaseEvent,DeleteEvent,PullRequestReviewCommentEvent,total
hyperledger-labs/fabric-operator,2022-07,4,2,3,0,0,0,0,0,0,0,9
hyperledger-labs/fabric-operator,2022-08,1,1,1,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-operator,2022-09,4,0,0,2,0,0,0,0,0,0,6
hyperledger-labs/fabric-operator,2022-10,3,0,0,4,0,0,0,0,0,0,7
hyperledger-labs/fabric-operator,2022-11,2,1,1,0,0,0,0,0,0,0,4
hyperledger-labs/fabric-operator,2022-12,0,0,1,0,1,0,0,0,0,0,2
hyperledger-labs/fabric-operator,2023-01,2,2,2,1,0,0,0,0,0,0,7
hyperledger-labs/fabric-operator,2023-02,3,2,2,0,0,0,0,0,0,0,7
hyperledger-labs/fabric-operator,2023-03,4,2,2,0,1,0,0,0,0,0,9
hyperledger-labs/fabric-operator,2023-05,3,2,0,1,0,0,1,1,0,0,8
hyperledger-labs/fabric-operator,2023-06,4,3,3,0,1,0,0,1,0,1,13
hyperledger-labs/fabric-operator,2023-07,6,2,0,7,2,0,1,2,1,0,21
hyperledger-labs/fabric-operator,2023-08,3,2,0,5,3,0,0,2,1,0,16
hyperledger-labs/fabric-operator,2023-09,3,1,0,2,0,0,0,0,0,0,6
hyperledger-labs/fabric-operator,2023-10,14,7,3,4,1,0,2,1,0,0,32
hyperledger-labs/fabric-operator,2023-11,4,4,3,5,2,0,3,2,0,0,23
hyperledger-labs/fabric-operator,2023-12,1,1,0,2,0,0,0,0,0,0,4
hyperledger-labs/fabric-operator,2024-01,5,3,3,0,2,0,0,1,0,0,14
hyperledger-labs/fabric-operator,2024-02,10,4,0,4,4,0,1,0,4,0,27
hyperledger-labs/fabric-operator,2024-03,7,6,4,2,2,0,1,0,1,0,23
hyperledger-labs/fabric-operator,2024-04,5,4,5,0,0,0,2,0,0,2,18
hyperledger-labs/fabric-operator,2024-05,0,1,3,0,0,0,0,0,0,0,4
hyperledger-labs/fabric-operator,2024-09,0,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2022-11,0,0,0,0,0,1,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2023-02,2,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/fabric-operations-console,2023-03,2,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/fabric-operations-console,2023-06,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2023-11,0,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2024-01,0,0,2,0,0,0,0,0,0,0,2
hyperledger-labs/fabric-operations-console,2024-02,1,0,2,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-operations-console,2024-03,0,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2024-04,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric,2016-04,0,0,0,0,0,3,0,0,0,0,3
hyperledger/fabric,2017-03,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric,2020-05,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-samples,2017-07,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-samples,2017-09,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-samples,2020-05,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-sdk-node,2017-03,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-sdk-node,2017-05,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-sdk-node,2018-06,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-chaincode-node,2017-08,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-chaincode-node,2017-09,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-test,2017-10,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-test,2018-07,0,0,0,0,0,1,0,0,0,0,1
hyperledger/ci-management,2018-06,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-ca,2023-11,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-sdk-java,2017-03,0,0,0,0,0,1,0,0,0,0,1
hyperledger/governance,2023-02,0,0,0,1,0,0,0,0,0,0,1
hyperledger/indy-sdk,2017-10,0,0,0,0,0,0,1,0,0,0,1
