repo,month,PullRequestEvent,PullRequestReviewEvent,PushEvent,IssueCommentEvent,PullRequestReviewCommentEvent,IssuesEvent,CreateEvent,ReleaseEvent,DeleteEvent,ForkEvent,MemberEvent,CommitCommentEvent,WatchEvent,total
hyperledger/fabric,2016-06,0,0,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric,2017-05,0,0,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric,2017-10,0,0,0,0,0,0,0,0,0,0,0,0,1,1
hyperledger/fabric,2018-02,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2018-03,0,0,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/fabric,2019-11,5,0,4,7,4,0,0,0,0,1,0,0,0,21
hyperledger/fabric,2019-12,35,0,29,11,40,0,0,0,0,0,0,0,0,115
hyperledger/fabric,2020-01,53,0,37,25,25,0,1,0,0,0,0,0,0,141
hyperledger/fabric,2020-02,52,0,29,28,21,0,0,0,0,0,0,0,0,130
hyperledger/fabric,2020-03,37,0,26,16,24,0,1,0,1,0,0,0,0,105
hyperledger/fabric,2020-04,58,0,41,41,58,0,0,0,0,1,0,0,0,199
hyperledger/fabric,2020-05,35,0,27,10,14,0,0,0,0,0,0,0,0,86
hyperledger/fabric,2020-06,28,0,19,12,15,0,1,0,0,0,0,0,0,75
hyperledger/fabric,2020-07,43,0,24,17,24,0,0,0,0,1,0,0,0,109
hyperledger/fabric,2020-08,34,0,23,22,9,0,0,0,0,0,0,0,0,88
hyperledger/fabric,2020-09,43,38,30,25,35,0,0,0,0,0,0,0,0,171
hyperledger/fabric,2020-10,38,54,27,18,54,0,1,0,0,0,0,0,0,192
hyperledger/fabric,2020-11,44,62,27,21,62,0,2,0,1,0,0,0,0,219
hyperledger/fabric,2020-12,11,16,8,7,8,0,0,0,3,0,0,0,0,53
hyperledger/fabric,2021-01,25,26,21,12,24,0,2,2,0,0,0,0,0,112
hyperledger/fabric,2021-02,30,33,21,18,9,0,1,1,0,0,0,0,0,113
hyperledger/fabric,2021-03,12,30,8,4,23,0,2,1,1,0,0,0,0,81
hyperledger/fabric,2021-04,24,5,9,11,0,0,4,4,0,0,0,0,0,57
hyperledger/fabric,2021-05,19,32,14,25,11,0,0,0,0,0,0,0,0,101
hyperledger/fabric,2021-06,25,33,19,15,8,0,0,0,0,0,0,0,0,100
hyperledger/fabric,2021-07,16,20,10,23,7,18,0,0,0,0,0,0,0,94
hyperledger/fabric,2021-08,49,28,19,31,15,22,1,1,0,0,0,0,0,166
hyperledger/fabric,2021-09,28,27,16,28,19,9,2,2,0,0,0,0,0,131
hyperledger/fabric,2021-10,0,0,0,6,0,6,0,0,0,0,0,0,0,12
hyperledger/fabric,2021-11,34,65,17,37,89,12,2,1,0,0,1,0,0,258
hyperledger/fabric,2021-12,26,54,19,35,42,15,1,1,0,0,0,0,0,193
hyperledger/fabric,2022-01,32,23,13,34,15,19,2,2,0,0,0,0,0,140
hyperledger/fabric,2022-02,8,12,6,16,6,5,1,1,0,0,0,0,0,55
hyperledger/fabric,2022-03,11,11,8,17,4,3,0,0,0,0,0,0,0,54
hyperledger/fabric,2022-04,19,33,9,20,44,4,0,0,0,0,0,0,0,129
hyperledger/fabric,2022-05,46,26,25,45,7,13,0,0,0,0,0,0,0,162
hyperledger/fabric,2022-06,21,24,7,15,12,8,2,1,0,0,0,0,0,90
hyperledger/fabric,2022-07,15,14,10,15,5,2,3,2,0,0,0,0,0,66
hyperledger/fabric,2022-08,49,35,22,36,16,3,2,2,0,0,0,0,0,165
hyperledger/fabric,2022-09,4,2,2,8,0,3,0,0,0,0,0,0,0,19
hyperledger/fabric,2022-10,79,45,44,49,8,16,2,0,2,0,0,0,0,245
hyperledger/fabric,2022-11,23,17,15,19,0,5,0,0,0,0,0,0,0,79
hyperledger/fabric,2022-12,34,34,29,16,6,5,3,5,2,0,0,0,0,134
hyperledger/fabric,2023-01,69,52,42,41,9,8,3,3,0,0,0,0,0,227
hyperledger/fabric,2023-02,42,28,20,37,14,22,0,0,0,0,0,0,0,163
hyperledger/fabric,2023-03,44,22,19,20,3,5,2,1,0,0,0,0,0,116
hyperledger/fabric,2023-04,29,11,10,47,1,14,1,1,0,0,0,0,0,114
hyperledger/fabric,2023-05,12,10,5,20,11,7,1,1,0,0,0,0,0,67
hyperledger/fabric,2023-06,13,4,7,14,0,4,2,2,0,0,0,0,0,46
hyperledger/fabric,2023-07,13,6,7,22,0,3,0,0,0,0,0,0,0,51
hyperledger/fabric,2023-08,27,22,10,15,14,2,0,0,0,0,0,0,0,90
hyperledger/fabric,2023-09,12,5,7,17,0,4,2,2,1,0,0,0,0,50
hyperledger/fabric,2023-10,39,35,24,19,14,3,1,1,0,0,0,0,0,136
hyperledger/fabric,2023-11,34,14,15,18,4,0,0,0,0,0,0,0,0,85
hyperledger/fabric,2023-12,8,5,5,6,0,1,0,0,0,0,0,0,0,25
hyperledger/fabric,2024-01,41,28,31,18,13,5,0,0,0,0,0,0,0,136
hyperledger/fabric,2024-02,39,12,15,11,2,1,2,2,1,0,0,0,0,85
hyperledger/fabric,2024-03,27,11,11,17,5,0,2,1,1,0,0,0,0,75
hyperledger/fabric,2024-04,21,16,12,21,2,1,1,1,0,0,0,0,0,75
hyperledger/fabric,2024-05,28,22,14,28,18,8,3,3,2,0,0,0,0,126
hyperledger/fabric,2024-06,23,21,12,18,6,2,1,1,0,0,0,0,0,84
hyperledger/fabric,2024-07,10,10,8,8,1,0,0,0,0,0,0,0,0,37
hyperledger/fabric,2024-08,17,14,9,12,4,0,0,0,0,0,0,0,0,56
hyperledger/fabric,2024-09,22,10,11,22,4,2,4,4,1,0,0,0,0,80
hyperledger/fabric,2024-10,31,33,24,16,6,4,0,0,0,0,0,0,0,114
hyperledger/fabric,2024-11,4,6,1,3,1,0,0,0,0,0,0,0,0,15
hyperledger/fabric,2024-12,10,4,4,11,2,5,0,0,0,0,0,0,0,36
hyperledger/fabric,2025-01,18,15,8,9,11,1,2,2,1,0,0,0,0,67
hyperledger/fabric,2025-02,22,23,17,9,11,5,0,0,0,0,0,0,0,87
hyperledger/fabric,2025-03,12,6,6,8,2,3,2,2,1,0,0,0,0,42
hyperledger/fabric,2025-04,10,2,3,8,0,2,1,1,0,0,0,0,0,27
hyperledger/fabric,2025-05,0,5,0,5,3,0,0,0,0,0,0,0,0,13
hyperledger/fabric,2025-06,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-07,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-09,1,0,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-samples,2019-11,2,0,2,0,0,0,1,1,0,1,0,0,0,7
hyperledger/fabric-samples,2019-12,0,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric-samples,2020-01,2,0,2,0,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-samples,2020-02,0,0,0,0,0,0,2,0,0,0,0,0,0,2
hyperledger/fabric-samples,2020-03,1,0,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-samples,2020-04,4,0,3,1,2,0,3,0,0,0,0,0,0,13
hyperledger/fabric-samples,2020-05,8,0,7,0,7,0,1,0,0,0,0,0,0,23
hyperledger/fabric-samples,2020-06,12,0,10,5,59,0,0,0,0,0,0,0,0,86
hyperledger/fabric-samples,2020-07,23,0,21,9,27,0,1,0,0,0,0,0,0,81
hyperledger/fabric-samples,2020-08,18,0,13,4,15,0,0,0,0,0,0,0,0,50
hyperledger/fabric-samples,2020-09,6,5,4,4,10,0,0,0,0,0,0,0,0,29
hyperledger/fabric-samples,2020-10,12,35,10,7,26,0,0,0,0,0,0,0,0,90
hyperledger/fabric-samples,2020-11,9,13,7,6,5,0,1,0,2,0,0,0,0,43
hyperledger/fabric-samples,2020-12,2,13,2,2,16,0,0,0,0,0,0,0,0,35
hyperledger/fabric-samples,2021-01,5,14,5,5,5,0,2,0,0,0,0,0,0,36
hyperledger/fabric-samples,2021-02,6,16,6,5,4,0,1,0,0,0,0,0,0,38
hyperledger/fabric-samples,2021-03,2,0,1,0,0,0,1,0,1,0,0,0,0,5
hyperledger/fabric-samples,2021-04,2,1,1,0,0,0,6,0,0,0,0,0,0,10
hyperledger/fabric-samples,2021-06,2,12,0,3,12,0,1,0,0,0,0,0,0,30
hyperledger/fabric-samples,2021-07,1,0,0,3,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-samples,2021-08,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2021-09,10,9,2,8,4,0,0,0,0,0,0,0,0,33
hyperledger/fabric-samples,2021-10,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2021-11,8,10,3,14,9,4,0,0,0,0,0,0,0,48
hyperledger/fabric-samples,2021-12,0,13,0,1,27,0,0,0,0,0,0,0,0,41
hyperledger/fabric-samples,2022-01,1,2,0,6,1,2,0,0,0,0,0,0,0,12
hyperledger/fabric-samples,2022-02,3,0,0,3,0,0,2,0,0,0,0,0,0,8
hyperledger/fabric-samples,2022-03,1,1,1,3,0,2,0,0,0,0,0,0,0,8
hyperledger/fabric-samples,2022-04,0,0,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2022-05,5,5,4,2,3,1,0,0,0,0,0,0,0,20
hyperledger/fabric-samples,2022-06,6,2,3,6,0,1,1,0,0,0,0,0,0,19
hyperledger/fabric-samples,2022-08,5,5,5,0,0,0,0,0,0,0,0,0,0,15
hyperledger/fabric-samples,2022-10,1,2,1,1,1,1,3,0,0,0,0,0,0,10
hyperledger/fabric-samples,2022-11,7,13,7,2,6,1,0,0,0,0,0,0,0,36
hyperledger/fabric-samples,2022-12,0,0,0,1,0,1,0,0,0,0,0,0,0,2
hyperledger/fabric-samples,2023-01,2,0,0,3,0,0,12,0,1,0,0,0,0,18
hyperledger/fabric-samples,2023-02,3,2,2,4,0,2,0,0,0,0,0,0,0,13
hyperledger/fabric-samples,2023-03,65,3,7,12,1,0,4,0,2,0,0,0,0,94
hyperledger/fabric-samples,2023-04,4,3,2,8,1,0,1,0,0,0,0,0,0,19
hyperledger/fabric-samples,2023-05,10,8,6,13,4,6,0,0,1,0,0,0,0,48
hyperledger/fabric-samples,2023-06,5,10,5,2,4,0,1,0,0,0,0,0,0,27
hyperledger/fabric-samples,2023-07,1,1,0,0,1,0,0,0,0,1,0,0,0,4
hyperledger/fabric-samples,2023-08,4,9,1,2,12,0,0,0,0,0,0,0,0,28
hyperledger/fabric-samples,2023-09,5,7,4,2,2,0,0,0,0,0,0,0,0,20
hyperledger/fabric-samples,2023-10,1,8,1,0,8,0,0,0,0,0,0,0,0,18
hyperledger/fabric-samples,2023-11,1,1,1,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-samples,2023-12,1,1,0,2,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-samples,2024-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2024-02,4,5,3,2,6,0,1,0,0,0,0,0,0,21
hyperledger/fabric-samples,2024-03,1,1,1,1,0,1,0,0,0,0,0,0,0,5
hyperledger/fabric-samples,2024-04,14,5,5,8,0,3,0,0,0,0,0,0,0,35
hyperledger/fabric-samples,2024-05,7,6,2,4,7,0,0,0,0,0,0,0,0,26
hyperledger/fabric-samples,2024-06,13,13,12,4,1,1,0,0,0,0,0,0,0,44
hyperledger/fabric-samples,2024-07,1,1,1,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-samples,2024-08,2,2,2,2,0,1,0,0,0,0,0,0,0,9
hyperledger/fabric-samples,2024-09,3,1,1,0,0,0,0,0,0,0,0,0,0,5
hyperledger/fabric-samples,2024-10,4,5,3,0,1,1,0,0,0,0,0,0,0,14
hyperledger/fabric-samples,2024-11,4,2,3,2,0,1,0,0,0,0,0,0,0,12
hyperledger/fabric-samples,2024-12,1,5,1,0,1,1,0,0,0,0,0,0,0,9
hyperledger/fabric-samples,2025-01,0,2,1,0,0,1,0,0,0,0,0,0,0,4
hyperledger/fabric-samples,2025-02,5,2,1,2,0,0,0,0,0,0,0,0,0,10
hyperledger/fabric-samples,2025-03,4,3,3,0,0,0,0,0,0,0,0,0,0,10
hyperledger/fabric-samples,2025-04,1,0,0,2,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-samples,2025-07,1,0,1,0,0,0,0,0,1,0,0,0,0,3
hyperledger/fabric-samples,2025-11,0,2,1,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-ca,2019-10,6,0,3,2,0,0,0,0,0,1,0,0,0,12
hyperledger/fabric-ca,2019-11,11,0,5,1,0,0,1,0,1,0,0,0,0,19
hyperledger/fabric-ca,2019-12,2,0,2,0,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-ca,2020-01,2,0,2,0,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-ca,2020-02,10,0,6,1,1,0,0,0,0,0,0,0,0,18
hyperledger/fabric-ca,2020-03,3,0,3,0,0,0,0,0,0,0,0,0,0,6
hyperledger/fabric-ca,2020-04,3,0,3,0,0,0,0,0,0,0,0,0,0,6
hyperledger/fabric-ca,2020-05,14,0,11,6,1,0,0,0,1,0,0,0,0,33
hyperledger/fabric-ca,2020-07,4,0,2,0,0,0,0,0,0,0,0,0,0,6
hyperledger/fabric-ca,2020-08,1,0,1,0,2,0,0,0,1,0,0,0,0,5
hyperledger/fabric-ca,2020-09,4,0,1,0,0,0,0,0,0,0,0,0,0,5
hyperledger/fabric-ca,2020-10,2,0,1,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-ca,2020-11,1,1,1,0,0,0,0,0,1,0,0,0,0,4
hyperledger/fabric-ca,2020-12,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-ca,2021-02,3,3,2,0,3,0,0,0,0,0,0,0,0,11
hyperledger/fabric-ca,2021-03,18,5,10,1,0,0,2,1,1,0,0,0,0,38
hyperledger/fabric-ca,2021-04,1,1,1,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-ca,2021-05,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-ca,2021-06,0,2,0,0,7,0,0,0,0,0,0,0,0,9
hyperledger/fabric-ca,2021-07,2,4,1,0,5,0,0,0,0,0,0,0,0,12
hyperledger/fabric-ca,2021-08,7,3,5,5,0,3,2,2,1,0,0,0,0,28
hyperledger/fabric-ca,2021-09,7,0,3,1,0,0,1,1,0,0,0,0,0,13
hyperledger/fabric-ca,2021-10,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-ca,2021-11,1,1,1,1,0,2,0,0,0,0,0,0,0,6
hyperledger/fabric-ca,2021-12,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-ca,2022-03,9,1,6,3,0,1,0,0,0,0,0,0,0,20
hyperledger/fabric-ca,2022-04,9,2,4,2,0,0,1,1,1,0,0,0,0,20
hyperledger/fabric-ca,2022-05,5,4,5,3,0,1,0,0,0,0,0,0,0,18
hyperledger/fabric-ca,2022-06,5,7,4,1,4,0,0,1,0,0,0,0,0,22
hyperledger/fabric-ca,2022-07,1,3,1,1,3,1,1,1,0,0,0,0,0,12
hyperledger/fabric-ca,2022-09,4,0,1,1,0,0,0,0,0,0,0,0,0,6
hyperledger/fabric-ca,2022-10,3,1,1,0,0,0,0,0,0,0,0,0,0,5
hyperledger/fabric-ca,2022-11,8,5,3,0,3,0,0,0,0,0,0,0,0,19
hyperledger/fabric-ca,2022-12,6,9,6,1,5,0,3,3,0,0,0,0,0,33
hyperledger/fabric-ca,2023-01,2,2,2,0,0,0,0,0,0,0,0,0,0,6
hyperledger/fabric-ca,2023-02,1,1,0,0,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-ca,2023-03,11,4,1,8,0,0,0,0,2,0,0,0,0,26
hyperledger/fabric-ca,2023-04,0,0,0,0,0,0,1,1,0,0,0,0,0,2
