repo,month,PullRequestEvent,PushEvent,PullRequestReviewEvent,CreateEvent,IssueCommentEvent,DeleteEvent,IssuesEvent,PullRequestReviewCommentEvent,GollumEvent,ForkEvent,ReleaseEvent,total
hyperledger-labs/fabric-operations-console,2021-07,7,0,0,0,0,0,0,0,0,1,0,8
hyperledger-labs/fabric-operations-console,2021-08,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-operations-console,2021-09,9,0,0,0,0,0,0,0,0,0,0,9
hyperledger-labs/fabric-operations-console,2021-10,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2021-11,25,11,0,3,17,1,16,0,0,0,0,73
hyperledger-labs/fabric-operations-console,2021-12,36,16,0,4,6,0,0,0,0,0,0,62
hyperledger-labs/fabric-operations-console,2022-01,9,4,1,4,0,2,0,0,0,0,0,20
hyperledger-labs/fabric-operations-console,2022-02,12,11,1,2,1,4,0,0,0,0,0,31
hyperledger-labs/fabric-operations-console,2022-03,25,12,0,4,0,1,0,0,0,0,0,42
hyperledger-labs/fabric-operations-console,2022-04,25,15,3,6,2,1,0,0,0,0,0,52
hyperledger-labs/fabric-operations-console,2022-05,23,13,2,2,3,0,3,0,0,0,0,46
hyperledger-labs/fabric-operations-console,2022-06,19,12,4,3,1,2,1,0,0,0,0,42
hyperledger-labs/fabric-operations-console,2022-07,64,32,8,9,2,3,0,0,0,0,0,118
hyperledger-labs/fabric-operations-console,2022-08,28,14,5,6,1,0,0,0,0,0,0,54
hyperledger-labs/fabric-operations-console,2022-09,14,8,3,3,1,0,0,0,0,0,0,29
hyperledger-labs/fabric-operations-console,2022-10,20,15,4,4,1,1,1,0,0,0,0,46
hyperledger-labs/fabric-operations-console,2022-11,8,5,3,2,0,3,0,1,0,0,0,22
hyperledger-labs/fabric-operations-console,2022-12,5,4,2,4,2,0,0,0,0,0,0,17
hyperledger-labs/fabric-operations-console,2023-01,12,9,2,0,3,5,1,0,0,0,0,32
hyperledger-labs/fabric-operations-console,2023-02,48,25,3,18,0,2,0,0,0,0,0,96
hyperledger-labs/fabric-operations-console,2023-03,55,30,1,16,0,1,0,0,0,0,0,103
hyperledger-labs/fabric-operations-console,2023-04,52,28,3,10,1,2,0,0,0,0,0,96
hyperledger-labs/fabric-operations-console,2023-05,42,22,2,6,4,1,3,0,0,0,0,80
hyperledger-labs/fabric-operations-console,2023-06,26,15,3,4,1,0,1,1,0,0,0,51
hyperledger-labs/fabric-operations-console,2023-07,9,6,9,3,2,0,2,2,0,0,0,33
hyperledger-labs/fabric-operations-console,2023-08,4,2,0,2,0,0,0,0,0,0,0,8
hyperledger-labs/fabric-operations-console,2023-09,17,7,29,2,1,0,0,14,0,0,0,70
hyperledger-labs/fabric-operations-console,2023-10,15,11,13,2,0,2,0,5,0,0,0,48
hyperledger-labs/fabric-operations-console,2023-11,14,10,5,2,1,0,0,0,0,0,0,32
hyperledger-labs/fabric-operations-console,2023-12,8,5,2,1,2,0,0,0,0,0,0,18
hyperledger-labs/fabric-operations-console,2024-01,40,23,15,8,3,3,0,0,0,0,0,92
hyperledger-labs/fabric-operations-console,2024-02,52,35,14,8,1,3,0,0,0,0,0,113
hyperledger-labs/fabric-operations-console,2024-03,14,11,9,1,0,4,0,0,0,0,0,39
hyperledger-labs/fabric-operations-console,2024-09,0,0,2,1,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-operations-console,2024-10,0,1,4,1,1,0,0,3,0,0,1,11
hyperledger-labs/fabric-operations-console,2025-01,0,0,3,0,0,0,0,1,0,0,0,4
hyperledger-labs/fabric-operations-console,2025-02,0,0,1,0,1,0,0,0,0,0,0,2
hyperledger/fabric,2016-04,0,0,0,0,2,0,0,0,2,0,0,4
hyperledger/fabric,2016-05,0,0,0,0,1,0,1,0,1,0,0,3
hyperledger/fabric,2016-06,0,0,0,0,5,0,1,0,0,0,0,6
hyperledger/fabric,2016-07,0,0,0,0,3,0,0,0,1,0,0,4
hyperledger/fabric,2016-08,0,0,0,0,3,0,0,0,0,0,0,3
hyperledger/fabric,2019-10,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/fabric,2022-02,0,0,0,0,1,0,1,0,0,0,0,2
hyperledger-labs/governance,2024-01,0,0,0,0,0,0,2,0,0,0,0,2
hyperledger/fabric-sdk-node,2017-02,0,0,0,0,0,0,0,0,0,1,0,1
