repo,month,PullRequestEvent,PushEvent,ForkEvent,IssueCommentEvent,PullRequestReviewEvent,CreateEvent,ReleaseEvent,WatchEvent,PullRequestReviewCommentEvent,DeleteEvent,MemberEvent,total
hyperledger-labs/fabric-operations-console,2022-04,3,0,1,2,0,0,0,0,0,0,0,6
hyperledger-labs/fabric-operations-console,2022-05,8,0,0,0,0,0,0,2,0,0,0,10
hyperledger-labs/fabric-operations-console,2022-06,3,0,4,0,0,0,0,5,0,0,0,12
hyperledger-labs/fabric-operations-console,2022-07,1,0,0,0,0,0,0,1,0,0,0,2
hyperledger-labs/fabric-operations-console,2022-08,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2023-01,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger-labs/fabric-operations-console,2023-02,0,0,1,0,0,0,0,1,0,0,0,2
hyperledger-labs/fabric-operations-console,2023-04,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-operations-console,2023-07,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger-labs/fabric-operations-console,2023-10,5,0,3,2,3,0,0,0,3,0,0,16
hyperledger-labs/fabric-operations-console,2023-11,9,0,1,0,0,0,0,0,0,0,0,10
hyperledger-labs/fabric-operations-console,2023-12,4,0,2,0,0,0,0,0,0,0,0,6
hyperledger-labs/fabric-operations-console,2024-01,2,0,4,0,0,0,0,0,0,0,0,6
hyperledger-labs/fabric-operations-console,2024-02,1,0,2,0,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-operations-console,2024-03,2,0,1,0,2,0,0,0,1,0,0,6
hyperledger-labs/fabric-operations-console,2024-04,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger-labs/fabric-operations-console,2024-06,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger-labs/fabric-operations-console,2024-07,5,0,0,1,0,3,2,0,0,0,0,11
hyperledger-labs/fabric-operations-console,2024-08,10,2,0,5,0,1,1,0,0,0,0,19
hyperledger-labs/fabric-operations-console,2024-09,10,3,0,3,0,1,1,0,0,0,0,18
hyperledger-labs/fabric-operations-console,2024-10,9,1,3,4,0,1,1,0,0,0,0,19
hyperledger-labs/fabric-operations-console,2024-11,5,2,0,0,0,2,2,0,0,0,0,11
hyperledger-labs/fabric-operations-console,2024-12,4,0,0,0,0,0,0,0,0,0,1,5
hyperledger-labs/fabric-operations-console,2025-01,6,3,0,0,1,3,3,0,0,1,0,17
hyperledger-labs/fabric-operations-console,2025-02,7,0,1,1,0,3,3,0,0,0,0,15
hyperledger-labs/fabric-operations-console,2025-03,10,6,0,0,2,2,0,0,0,0,0,20
hyperledger-labs/fabric-operations-console,2025-04,11,7,0,2,0,2,1,0,0,0,0,23
hyperledger-labs/fabric-operations-console,2025-05,2,2,0,1,2,1,2,0,0,0,0,10
hyperledger-labs/fabric-operations-console,2025-06,1,1,0,0,1,0,0,0,0,0,0,3
hyperledger-labs/fabric-operations-console,2025-07,7,3,0,0,0,1,1,0,0,0,0,12
hyperledger-labs/fabric-operations-console,2025-08,5,3,0,1,0,0,0,0,0,0,0,9
hyperledger-labs/fabric-operations-console,2025-09,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-operations-console,2025-11,0,3,0,0,1,0,1,0,0,0,0,5
hyperledger-labs/fabric-operations-console,2025-12,0,3,1,0,2,0,0,0,0,0,0,6
hyperledger-labs/fabric-operations-console,2026-01,0,0,0,0,2,0,0,0,0,0,0,2
hyperledger-labs/fabric-operations-console,2026-02,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2026-03,0,2,0,0,1,0,0,0,0,0,0,3
hyperledger-labs/fabric-operations-console,2026-04,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2026-05,0,3,0,0,2,0,0,0,0,0,0,5
hyperledger/fabric-contract-api-go,2024-11,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2025-06,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-contract-api-go,2025-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2025-08,4,0,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-contract-api-go,2025-09,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2026-03,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-operator,2024-08,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger-labs/fabric-operator,2024-11,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operator,2025-03,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/fabric-operator,2025-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operator,2026-01,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/fabric-chaincode-builder,2025-05,1,0,1,0,1,0,0,0,0,0,0,3
hyperledger/fabric,2022-04,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-test,2022-03,1,0,0,0,0,0,0,0,0,0,0,1
