repo,month,PullRequestReviewEvent,PushEvent,PullRequestEvent,IssueCommentEvent,PullRequestReviewCommentEvent,CreateEvent,IssuesEvent,DeleteEvent,ForkEvent,WatchEvent,ReleaseEvent,total
hyperledger-labs/cc-tools-demo,2023-09,0,2,1,0,0,0,0,0,0,0,0,3
hyperledger-labs/cc-tools-demo,2023-10,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger-labs/cc-tools-demo,2023-12,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/cc-tools-demo,2024-01,0,5,1,0,0,1,0,0,0,0,0,7
hyperledger-labs/cc-tools-demo,2024-02,2,5,2,0,0,0,0,2,0,0,0,11
hyperledger-labs/cc-tools-demo,2024-03,0,0,1,0,0,1,0,0,0,0,0,2
hyperledger-labs/cc-tools-demo,2024-05,1,1,1,0,0,1,1,0,0,0,0,5
hyperledger-labs/cc-tools-demo,2024-06,0,1,1,0,0,1,0,0,0,0,0,3
hyperledger-labs/cc-tools-demo,2024-07,8,9,8,2,1,1,2,1,0,0,0,32
hyperledger-labs/cc-tools-demo,2024-11,0,0,1,0,0,1,0,0,0,0,0,2
hyperledger-labs/cc-tools-demo,2024-12,6,4,2,0,1,1,1,0,0,0,0,15
hyperledger-labs/cc-tools-demo,2025-02,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger-labs/cc-tools-demo,2025-04,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/cc-tools,2023-09,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger-labs/cc-tools,2023-10,7,7,6,0,0,0,0,2,0,0,0,22
hyperledger-labs/cc-tools,2023-12,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/cc-tools,2024-04,3,0,0,1,0,0,0,0,0,0,0,4
hyperledger-labs/cc-tools,2024-05,3,2,2,0,0,0,0,2,0,0,0,9
hyperledger-labs/cc-tools,2024-06,0,0,4,1,0,0,0,0,0,0,0,5
hyperledger-labs/cc-tools,2024-07,0,0,0,1,0,1,1,0,0,0,1,4
hyperledger-labs/cc-tools,2024-08,0,3,2,0,0,1,0,0,0,0,1,7
hyperledger-labs/cc-tools,2024-12,0,2,2,0,0,0,0,0,0,0,0,4
hyperledger-labs/cc-tools,2025-04,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/cc-tools,2025-08,2,2,1,0,0,1,0,0,0,0,1,7
hyperledger-labs/cc-tools,2026-02,0,1,0,0,0,1,0,0,0,0,0,2
hyperledger/fabric-admin-sdk,2023-02,5,0,2,2,5,0,0,0,1,1,0,16
hyperledger/fabric-admin-sdk,2023-08,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-admin-sdk,2023-09,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-admin-sdk,2024-04,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-admin-sdk,2024-09,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-private-chaincode,2024-05,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/fabric-private-chaincode,2024-11,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-private-chaincode,2024-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-private-chaincode,2025-08,3,0,0,0,3,0,0,0,0,0,0,6
hyperledger/fabric-private-chaincode,2025-09,2,0,0,0,2,0,0,0,0,0,0,4
hyperledger-labs/hyperledger-labs.github.io,2023-09,2,0,1,3,2,0,0,0,0,0,0,8
hyperledger-labs/cc-tools-doc,2023-10,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger-labs/cc-tools-doc,2024-01,0,1,2,0,0,1,0,0,0,0,0,4
hyperledger/fabric-sdk-go,2020-02,0,0,1,4,0,0,0,0,1,0,0,6
hyperledger-labs/governance,2023-09,0,0,0,1,0,0,1,0,0,0,0,2
hyperledger-labs/governance,2024-12,0,0,1,0,0,0,1,0,1,0,0,3
hyperledger/fabric,2023-01,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/fabric,2024-10,0,0,0,2,0,0,2,0,0,0,0,4
hyperledger/fabric-cli,2023-01,0,0,3,0,0,0,0,0,1,0,0,4
LF-Decentralized-Trust-Mentorships/mentorship-program,2025-03,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-samples,2021-11,0,0,0,0,0,0,0,0,0,1,0,1
