repo,month,PullRequestEvent,PushEvent,PullRequestReviewEvent,CreateEvent,ReleaseEvent,DeleteEvent,IssueCommentEvent,ForkEvent,IssuesEvent,total
hyperledger-labs/fabric-operator,2024-01,3,0,1,0,0,0,0,0,0,4
hyperledger-labs/fabric-operator,2024-02,4,0,3,0,0,0,0,0,0,7
hyperledger-labs/fabric-operator,2024-03,2,0,3,0,0,0,0,0,1,6
hyperledger-labs/fabric-operator,2024-04,3,1,1,3,2,1,0,0,0,11
hyperledger-labs/fabric-operator,2024-05,3,1,1,1,1,0,0,0,0,7
hyperledger-labs/fabric-operator,2024-07,4,3,4,1,1,0,0,0,0,13
hyperledger-labs/fabric-operator,2024-08,1,2,1,2,1,1,0,0,0,8
hyperledger-labs/fabric-operator,2024-09,8,3,2,2,1,1,0,0,0,17
hyperledger-labs/fabric-operator,2025-01,6,0,0,0,0,0,0,0,0,6
hyperledger-labs/fabric-operator,2025-02,0,1,0,3,2,0,0,0,0,6
hyperledger-labs/fabric-operator,2025-03,5,2,2,3,2,0,0,0,0,14
hyperledger-labs/fabric-operator,2025-04,2,0,1,1,1,0,0,0,0,5
hyperledger-labs/fabric-operator,2025-05,1,1,0,2,1,0,0,0,0,5
hyperledger-labs/fabric-operator,2025-07,1,1,0,1,1,0,0,0,0,4
hyperledger-labs/fabric-operator,2025-10,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operator,2025-11,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operator,2025-12,0,1,0,1,0,0,0,0,0,2
hyperledger-labs/fabric-operator,2026-03,1,0,0,1,0,0,0,0,0,2
hyperledger-labs/fabric-operations-console,2024-02,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2024-03,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2024-04,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2024-07,2,2,3,0,0,0,0,0,0,7
hyperledger-labs/fabric-operations-console,2024-08,1,1,1,0,0,0,0,0,0,3
hyperledger-labs/fabric-operations-console,2024-09,2,2,1,0,0,0,0,0,0,5
hyperledger-labs/fabric-operations-console,2024-10,1,1,1,0,0,0,0,0,0,3
hyperledger-labs/fabric-operations-console,2024-11,2,2,2,0,0,0,0,0,0,6
hyperledger-labs/fabric-operations-console,2024-12,1,1,1,0,0,0,0,0,0,3
hyperledger-labs/fabric-operations-console,2025-01,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2025-02,2,2,2,0,0,0,0,0,0,6
hyperledger-labs/fabric-operations-console,2025-03,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2025-05,2,1,1,0,0,0,0,0,0,4
hyperledger-labs/fabric-chaincode-builder,2025-05,4,8,0,2,0,3,0,0,0,17
hyperledger-labs/fabric-chaincode-builder,2025-07,0,2,0,2,0,0,0,0,0,4
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-04,1,0,0,0,0,0,2,1,0,4
