repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,CreateEvent,ReleaseEvent,ForkEvent,WatchEvent,total
hyperledger/fabric,2024-01,24,20,13,5,3,2,0,0,0,0,67
hyperledger/fabric,2024-02,17,9,3,8,5,0,0,0,0,0,42
hyperledger/fabric,2024-03,14,4,3,12,10,1,1,0,0,0,45
hyperledger/fabric,2024-04,7,1,1,6,5,0,0,0,0,0,20
hyperledger/fabric,2024-05,8,2,5,5,4,0,0,0,0,0,24
hyperledger/fabric,2024-06,19,18,4,7,5,2,0,0,0,0,55
hyperledger/fabric,2024-07,11,6,1,3,3,0,0,0,0,0,24
hyperledger/fabric,2024-08,12,6,9,5,5,2,0,0,0,0,39
hyperledger/fabric,2024-09,8,1,3,1,1,0,0,0,0,0,14
hyperledger/fabric,2024-10,7,3,8,1,2,0,0,0,0,0,21
hyperledger/fabric,2024-11,4,0,0,4,4,0,0,0,0,0,12
hyperledger/fabric,2024-12,6,3,7,2,2,0,0,0,0,0,20
hyperledger/fabric,2025-01,8,3,7,4,2,0,0,0,0,0,24
hyperledger/fabric,2025-02,2,0,0,1,2,0,0,0,0,0,5
hyperledger/fabric,2025-03,3,0,0,1,1,0,0,0,0,0,5
hyperledger/fabric,2025-04,3,0,0,1,1,0,0,0,0,0,5
hyperledger/fabric,2025-05,6,3,2,4,3,0,1,1,0,0,20
hyperledger/fabric,2025-06,1,0,0,2,1,0,0,0,0,0,4
hyperledger/fabric,2025-07,0,0,1,1,1,1,0,0,0,0,4
hyperledger/fabric,2025-08,11,7,5,3,2,0,0,0,0,0,28
hyperledger/fabric,2025-09,2,0,2,4,5,1,0,0,0,0,14
hyperledger/fabric,2025-10,0,0,1,0,1,0,0,2,0,0,4
hyperledger/fabric,2025-11,3,0,0,0,6,0,0,0,0,0,9
hyperledger/fabric,2025-12,2,0,0,0,3,0,0,0,0,0,5
hyperledger/fabric,2026-01,1,0,0,1,1,0,0,0,0,0,3
hyperledger/fabric,2026-02,3,0,0,0,1,0,0,0,0,0,4
hyperledger/fabric,2026-03,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric,2026-04,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric,2026-05,0,0,1,0,2,0,0,0,0,0,3
hyperledger/aries-bbs-go,2024-03,3,0,0,3,3,0,0,0,0,0,9
hyperledger/aries-bbs-go,2024-04,7,5,3,3,3,0,0,0,0,0,21
hyperledger/aries-bbs-go,2024-05,4,0,0,4,4,0,0,0,0,0,12
hyperledger-labs/fabric-token-sdk,2024-03,13,13,0,0,0,0,0,0,0,0,26
hyperledger-labs/fabric-token-sdk,2024-04,1,1,0,0,0,0,0,0,0,0,2
hyperledger-labs/SmartBFT,2024-03,0,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/SmartBFT,2024-10,3,1,0,1,1,0,0,0,0,0,6
hyperledger-labs/SmartBFT,2025-03,1,0,0,0,1,0,0,0,0,0,2
hyperledger-labs/SmartBFT,2025-04,0,0,6,0,0,0,0,0,0,0,6
hyperledger-labs/SmartBFT,2025-05,1,0,1,1,1,0,0,0,0,0,4
hyperledger-labs/SmartBFT,2025-08,0,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/SmartBFT,2025-12,1,0,0,0,1,0,0,0,0,0,2
hyperledger-labs/SmartBFT,2026-05,0,0,1,0,0,0,0,0,0,0,1
hyperledger/toc,2024-01,2,1,0,0,0,0,0,0,0,0,3
hyperledger/toc,2024-03,5,2,1,0,0,0,0,0,0,0,8
hyperledger/toc,2024-04,3,0,2,0,0,0,0,0,0,0,5
hyperledger/toc,2024-07,2,1,0,0,0,0,0,0,0,0,3
hyperledger/toc,2024-09,0,0,0,1,1,0,1,0,0,0,3
LF-Decentralized-Trust/governance,2024-10,4,1,1,0,0,0,0,0,0,0,6
LF-Decentralized-Trust/governance,2025-08,0,0,1,1,0,0,0,0,1,0,3
LF-Decentralized-Trust/governance,2025-10,1,3,0,1,0,0,0,0,0,0,5
hyperledger-labs/hyperledger-labs.github.io,2024-03,2,3,1,0,0,0,0,0,0,0,6
hyperledger/fabric-lib-go,2024-04,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-lib-go,2024-05,1,0,0,2,2,0,0,0,0,0,5
hyperledger/hyperledger-hip,2024-06,3,2,1,0,0,0,0,0,0,0,6
hyperledger/fabric-rfcs,2024-10,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2025-05,2,0,1,0,0,0,0,0,0,0,3
hyperledger-labs/governance,2024-11,0,0,0,1,0,0,0,0,1,0,2
hyperledger-labs/zeto,2024-08,0,0,0,0,0,0,0,0,0,1,1
