repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,total
hyperledger/solang,2024-01,4,0,1,5
hyperledger/solang,2024-02,6,0,0,6
hyperledger/solang,2024-03,1,0,0,1
hyperledger/solang,2024-04,8,1,0,9
hyperledger/solang,2024-05,2,0,0,2
hyperledger/solang,2024-06,9,8,1,18
hyperledger/solang,2024-08,1,0,0,1
hyperledger-solang/solang,2025-01,0,0,1,1
hyperledger-solang/solang,2025-02,2,0,1,3
hyperledger-solang/solang,2025-07,1,0,0,1
hyperledger/solang-llvm,2024-02,1,0,0,1
hyperledger/solang-llvm,2024-04,1,0,0,1
