repo,month,IssuesEvent,PullRequestEvent,IssueCommentEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PushEvent,CreateEvent,ForkEvent,DeleteEvent,WatchEvent,total
hyperledger/solang-aqd,2023-10,0,1,0,0,0,0,0,1,0,0,2
hyperledger/solang-aqd,2023-11,14,1,1,4,3,0,0,0,0,1,24
hyperledger/solang-aqd,2023-12,0,1,1,1,1,0,0,0,0,0,4
hyperledger/solang-aqd,2024-02,1,1,4,0,0,0,0,0,0,0,6
hyperledger/solang-aqd,2024-04,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/solang-playground,2024-05,0,1,0,0,0,3,0,1,0,0,5
hyperledger-labs/solang-playground,2024-06,0,1,0,0,0,3,1,0,0,0,5
hyperledger-labs/solang-playground,2024-07,0,1,0,0,0,1,0,0,1,0,3
hyperledger-labs/solang-playground,2024-08,4,1,0,0,0,2,1,0,0,0,8
hyperledger-labs/solang-playground,2024-09,0,0,0,0,0,1,0,0,0,0,1
hyperledger-labs/solang-playground,2024-12,0,0,0,0,0,1,0,0,0,0,1
hyperledger/solang,2023-09,0,3,1,2,3,0,0,0,0,0,9
hyperledger/solang,2023-10,0,0,1,0,0,0,0,0,0,0,1
hyperledger/solang,2023-11,0,3,3,2,2,0,0,0,0,0,10
hyperledger-solang/solang,2024-11,0,2,3,3,3,0,0,0,0,0,11
hyperledger-solang/solang,2025-02,0,1,2,0,0,0,0,0,0,0,3
hyperledger-solang/solang,2025-03,0,1,0,0,0,0,0,0,0,0,1
hyperledger-solang/solang,2025-04,0,1,0,0,0,0,0,0,0,0,1
hyperledger/solang-llvm,2023-09,0,2,0,0,0,0,0,0,0,0,2
hyperledger/governance,2024-02,1,0,0,0,0,0,0,0,0,0,1
