repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,PushEvent,IssuesEvent,CreateEvent,DeleteEvent,ForkEvent,WatchEvent,total
hyperledger/solang,2022-08,6,4,0,4,0,0,0,0,0,0,14
hyperledger/solang,2022-09,57,33,10,9,4,4,0,0,0,0,117
hyperledger/solang,2022-10,53,30,8,12,5,2,0,0,0,0,110
hyperledger/solang,2022-11,41,30,11,16,6,9,0,0,0,0,113
hyperledger/solang,2022-12,64,34,11,1,5,2,2,1,0,0,120
hyperledger/solang,2023-01,74,55,12,10,6,0,0,0,0,0,157
hyperledger/solang,2023-02,73,51,16,21,8,4,2,1,0,0,176
hyperledger/solang,2023-03,76,72,18,19,10,2,0,0,0,0,197
hyperledger/solang,2023-04,50,31,10,8,6,4,0,0,0,0,109
hyperledger/solang,2023-05,74,47,24,24,10,3,1,1,0,0,184
hyperledger/solang,2023-06,92,78,35,49,17,22,1,0,0,0,294
hyperledger/solang,2023-07,98,77,25,16,12,10,0,0,0,0,238
hyperledger/solang,2023-08,69,60,14,8,9,7,0,0,0,0,167
hyperledger/solang,2023-09,94,85,9,14,3,2,0,0,0,0,207
hyperledger/solang,2023-10,37,24,3,8,1,3,0,0,0,0,76
hyperledger/solang,2023-11,15,13,8,1,2,0,0,0,0,0,39
hyperledger/solang,2023-12,8,8,0,6,0,0,0,0,0,0,22
hyperledger/solang,2024-01,3,2,4,6,2,2,0,0,0,0,19
hyperledger/solang,2024-02,1,0,4,1,3,1,0,0,0,0,10
hyperledger/solang,2024-03,1,0,5,3,2,1,0,0,0,0,12
hyperledger/solang,2024-04,3,1,13,1,7,0,0,0,0,0,25
hyperledger/solang,2024-05,1,0,0,0,0,0,0,0,0,0,1
hyperledger/solang,2024-06,9,6,2,5,2,0,0,0,0,0,24
hyperledger/solang,2024-09,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/solang,2022-05,0,0,0,0,0,0,0,0,0,1,1
hyperledger-labs/solang,2022-07,15,14,5,11,1,2,0,0,1,0,49
hyperledger-labs/solang,2022-08,15,5,4,5,2,12,1,1,0,0,45
hyperledger/solang-llvm,2023-02,3,0,8,1,2,0,2,0,1,0,17
hyperledger/solang-llvm,2023-03,3,3,8,0,1,0,4,3,0,0,22
hyperledger/solang-llvm,2023-05,3,1,0,0,0,0,0,0,0,0,4
hyperledger/solang-llvm,2023-06,1,0,0,0,0,0,0,0,0,0,1
hyperledger/solang-llvm,2023-08,1,0,0,0,0,0,0,0,0,0,1
hyperledger/solang-llvm,2023-09,3,0,1,1,1,0,0,0,0,0,6
hyperledger/solang-llvm,2023-10,1,0,0,0,0,0,0,0,0,0,1
hyperledger/solang-llvm,2023-12,3,3,4,3,0,0,3,1,0,0,17
hyperledger/solang-llvm,2024-02,0,0,2,0,1,0,0,1,0,0,4
hyperledger/solang-substrate-ci,2023-06,1,0,1,0,3,1,2,1,0,0,9
hyperledger/solang-substrate-ci,2023-07,0,0,0,0,4,0,0,0,0,0,4
hyperledger/solang-substrate-ci,2023-08,0,0,0,0,1,0,0,0,0,0,1
hyperledger/solang-substrate-ci,2023-09,1,0,0,0,0,0,0,0,0,0,1
hyperledger/solang-substrate-ci,2024-01,0,0,2,0,3,0,1,0,0,0,6
hyperledger/solang-substrate-ci,2024-03,0,0,2,0,3,0,1,2,0,0,8
hyperledger/solang-aqd,2023-11,4,6,1,2,1,0,0,0,0,0,14
hyperledger/solang-aqd,2024-01,0,0,1,0,1,0,0,1,0,0,3
hyperledger/homebrew-solang,2022-09,1,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-solang,2022-12,1,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-solang,2023-01,1,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-solang,2023-02,3,0,0,2,0,0,0,0,0,0,5
hyperledger/homebrew-solang,2023-04,1,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-solang,2023-05,1,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-solang,2023-06,1,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-solang,2023-09,1,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-solang,2023-10,1,0,0,0,0,0,0,0,0,0,1
hyperledger-solang/solang,2024-10,0,0,0,2,0,0,0,0,0,0,2
hyperledger-solang/solang,2025-07,1,0,0,0,0,0,0,0,0,0,1
hyperledger/governance,2023-06,0,0,0,1,0,0,0,0,0,0,1
hyperledger/governance,2023-10,0,0,0,0,0,1,0,0,0,0,1
hyperledger/governance,2024-02,0,0,0,1,0,0,0,0,0,0,1
