repo,month,PullRequestReviewEvent,IssueCommentEvent,PullRequestEvent,PushEvent,PullRequestReviewCommentEvent,CreateEvent,DeleteEvent,ForkEvent,IssuesEvent,total
hyperledger/fabric,2024-01,16,6,9,7,8,0,0,0,0,46
hyperledger/fabric,2024-02,1,1,1,1,0,0,0,0,0,4
hyperledger/fabric,2024-03,5,0,3,5,0,0,0,0,0,13
hyperledger/fabric,2024-04,7,0,5,5,0,0,0,0,1,18
hyperledger/fabric,2024-05,5,4,5,5,0,0,0,0,0,19
hyperledger/fabric,2024-06,2,1,2,1,0,0,0,0,0,6
hyperledger/fabric,2024-07,4,2,5,3,0,0,0,0,0,14
hyperledger/fabric,2024-08,4,5,3,2,2,0,0,0,0,16
hyperledger/fabric,2024-09,3,4,0,0,3,0,0,0,0,10
hyperledger/fabric,2024-10,4,2,4,2,1,0,0,0,0,13
hyperledger/fabric,2024-11,1,3,2,1,0,0,0,0,0,7
hyperledger/fabric,2025-01,3,0,1,1,0,0,0,0,0,5
hyperledger/fabric,2025-02,1,1,1,1,0,0,0,0,0,4
hyperledger/fabric,2025-04,1,14,10,2,0,0,0,0,0,27
hyperledger/fabric,2025-05,18,7,6,3,14,0,0,0,0,48
hyperledger/fabric,2025-06,2,0,2,1,0,0,0,0,0,5
hyperledger/fabric,2025-07,5,0,8,4,0,0,0,0,0,17
hyperledger/fabric,2025-08,6,0,2,3,4,0,0,0,0,15
hyperledger/fabric,2025-09,4,0,0,1,1,0,0,0,0,6
hyperledger/fabric,2025-11,1,1,0,1,0,0,0,0,0,3
hyperledger/fabric,2025-12,3,0,0,0,0,0,0,0,0,3
hyperledger/fabric,2026-01,2,0,0,1,0,0,0,0,0,3
hyperledger/fabric,2026-02,3,3,0,1,0,0,0,0,0,7
hyperledger/fabric,2026-03,1,0,0,5,0,0,0,0,0,6
hyperledger/fabric,2026-04,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric,2026-05,1,0,0,3,0,0,0,0,0,4
hyperledger/fabric-rfcs,2024-10,0,7,4,0,0,3,0,1,0,15
hyperledger/fabric-rfcs,2024-11,1,7,2,0,1,1,0,0,0,12
hyperledger/fabric-rfcs,2024-12,1,1,0,0,1,0,0,0,0,3
hyperledger/fabric-rfcs,2025-05,3,21,0,0,15,0,0,0,0,39
hyperledger/fabric-rfcs,2025-06,0,2,0,0,0,0,0,0,0,2
hyperledger/fabric-rfcs,2025-07,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/SmartBFT,2024-04,0,0,1,1,0,1,0,0,0,3
hyperledger-labs/SmartBFT,2024-05,8,1,4,4,0,0,2,0,0,19
hyperledger-labs/SmartBFT,2024-06,3,0,2,3,0,0,2,0,0,10
hyperledger-labs/SmartBFT,2024-09,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/SmartBFT,2025-03,3,0,2,3,0,0,0,0,0,8
hyperledger-labs/SmartBFT,2025-05,2,0,2,2,0,0,0,0,0,6
hyperledger/fabric-chaincode-go,2025-01,1,6,1,1,0,0,0,0,0,9
hyperledger/fabric-chaincode-go,2025-02,3,0,1,1,1,0,0,0,0,6
hyperledger/fabric-protos,2024-04,1,1,0,0,0,0,0,0,0,2
hyperledger/fabric-protos,2025-01,1,1,1,1,0,0,0,0,0,4
hyperledger/fabric-protos,2025-11,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2026-03,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-protos,2026-05,0,0,0,1,0,0,0,0,0,1
hyperledger-labs/hyperledger-labs.github.io,2024-03,2,3,0,0,2,0,0,0,0,7
hyperledger/fabric-lib-go,2025-09,1,0,0,1,0,0,0,0,0,2
hyperledger/fabric-lib-go,2026-05,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-config,2024-09,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-config,2026-03,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-sdk-go,2024-01,0,0,1,0,0,0,0,1,0,2
hyperledger-labs/governance,2024-03,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-gateway,2024-08,1,0,0,0,0,0,0,0,0,1
