repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssuesEvent,IssueCommentEvent,PushEvent,PullRequestEvent,CreateEvent,DeleteEvent,WatchEvent,ForkEvent,total
hyperledger/fabric-x-committer,2025-07,18,22,32,2,6,9,1,0,2,1,93
hyperledger/fabric-x-committer,2025-08,4,7,1,0,4,4,0,0,1,0,21
hyperledger/fabric-x-committer,2025-09,1,4,2,0,2,4,0,0,0,0,13
hyperledger/fabric-x-committer,2025-10,5,7,2,0,3,0,0,0,0,0,17
hyperledger/fabric-x-committer,2025-11,5,7,0,1,3,0,0,0,0,0,16
hyperledger/fabric-x-committer,2025-12,7,10,0,0,3,0,0,0,0,0,20
hyperledger/fabric-x-committer,2026-01,25,13,25,5,13,9,1,0,1,0,92
hyperledger/fabric-x-committer,2026-02,13,11,40,10,11,13,1,0,0,0,99
hyperledger/fabric-x-committer,2026-03,27,23,11,8,21,4,0,1,0,0,95
hyperledger/fabric-x-committer,2026-04,2,5,7,2,3,3,1,3,0,0,26
hyperledger/fabric-x-committer,2026-05,1,2,2,1,5,2,1,0,0,0,14
hyperledger/fabric-x-common,2025-07,3,3,1,0,2,2,0,0,1,0,12
hyperledger/fabric-x-common,2025-09,0,0,0,0,2,2,4,0,0,0,8
hyperledger/fabric-x-common,2025-10,0,0,0,1,1,0,0,0,0,0,2
hyperledger/fabric-x-common,2025-11,5,2,2,0,2,0,1,0,0,0,12
hyperledger/fabric-x-common,2025-12,0,1,1,0,3,1,0,0,0,0,6
hyperledger/fabric-x-common,2026-01,1,3,2,0,2,1,0,0,0,0,9
hyperledger/fabric-x-common,2026-02,0,0,1,2,2,4,0,0,0,0,9
hyperledger/fabric-x-common,2026-03,0,1,0,2,2,2,0,0,0,0,7
hyperledger/fabric-x-common,2026-04,0,0,1,1,1,2,0,0,0,0,5
hyperledger/fabric-x-common,2026-05,1,1,0,0,3,0,0,0,0,0,5
hyperledger/fabric-rfcs,2025-05,13,5,0,37,0,2,0,0,0,1,58
hyperledger/fabric-rfcs,2025-06,0,0,0,11,0,0,0,0,0,0,11
hyperledger/fabric-rfcs,2025-07,0,0,0,2,0,0,0,0,0,0,2
hyperledger/fabric,2024-03,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-05,19,21,0,3,0,1,0,0,0,0,44
hyperledger/fabric,2025-06,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-07,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric,2025-08,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric,2025-10,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric,2026-03,0,0,0,1,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/fabric-x-block-explorer,2026-02,10,2,0,0,0,0,0,0,0,0,12
LF-Decentralized-Trust-labs/fabric-x-block-explorer,2026-03,3,3,0,0,2,0,0,0,0,0,8
hyperledger/fabric-x-orderer,2026-01,0,0,0,0,0,1,0,0,0,1,2
hyperledger/fabric-x-orderer,2026-04,0,0,3,0,0,2,0,0,0,0,5
hyperledger/fabric-x-orderer,2026-05,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-x,2026-03,0,0,0,0,0,1,0,0,0,1,2
hyperledger/fabric-x,2026-04,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-x,2026-05,0,0,0,0,1,0,0,1,0,0,2
LF-Decentralized-Trust/governance,2025-10,0,0,0,2,0,0,0,0,0,0,2
hyperledger/fabric-x-rfcs,2025-11,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric-x-rfcs,2026-04,0,0,0,1,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/fabric-x-ansible-collection,2026-04,0,0,0,1,0,0,0,0,0,0,1
