repo,month,IssueCommentEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PushEvent,total
PQCA/TAC,2024-07,1,0,0,0,1
PQCA/TAC,2024-08,2,0,0,0,2
PQCA/TAC,2024-11,2,0,0,0,2
PQCA/TAC,2025-02,4,0,0,0,4
PQCA/TAC,2025-03,5,0,0,0,5
PQCA/TAC,2026-05,0,0,0,1,1
hyperledger/besu,2025-02,0,5,5,0,10
hyperledger/besu,2025-03,0,1,1,0,2
open-quantum-safe/tsc,2024-04,5,0,0,0,5
open-quantum-safe/tsc,2024-05,1,0,0,0,1
open-quantum-safe/tsc,2024-07,3,0,0,0,3
open-quantum-safe/tsc,2025-10,1,0,0,0,1
open-quantum-safe/boringssl,2024-04,7,0,0,0,7
pq-code-package/tsc,2024-04,3,0,0,0,3
pq-code-package/tsc,2024-11,1,0,0,0,1
pq-code-package/tsc,2025-10,1,0,0,0,1
pq-code-package/tsc,2025-12,1,0,0,0,1
open-quantum-safe/liboqs,2024-01,0,1,1,0,2
open-quantum-safe/liboqs,2024-07,2,0,0,0,2
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-03,1,0,0,0,1
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-09,1,0,0,0,1
PQCA/governance,2024-03,2,0,0,0,2
openwallet-foundation/tac,2024-01,0,1,1,0,2
open-quantum-safe/openssh,2025-08,1,0,0,0,1
pq-code-package/mlkem-c-embedded,2024-03,1,0,0,0,1
