repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,IssuesEvent,PushEvent,CreateEvent,total
hyperledger/fabric-private-chaincode,2024-01,2,2,1,1,1,0,0,7
hyperledger/fabric-private-chaincode,2024-02,0,0,1,0,0,0,0,1
hyperledger/fabric-private-chaincode,2024-04,6,3,0,0,0,0,0,9
hyperledger/fabric-private-chaincode,2024-05,3,0,1,2,0,2,0,8
hyperledger/fabric-private-chaincode,2024-07,9,8,4,1,0,0,0,22
hyperledger/fabric-private-chaincode,2024-09,3,2,0,0,0,0,0,5
hyperledger/fabric-private-chaincode,2024-10,8,15,2,0,0,0,0,25
hyperledger/fabric-private-chaincode,2024-11,7,9,0,0,0,0,0,16
hyperledger/fabric-private-chaincode,2025-01,3,1,6,1,0,0,1,12
hyperledger/fabric-private-chaincode,2025-04,4,3,6,3,5,2,0,23
hyperledger/fabric-private-chaincode,2025-05,7,6,1,1,0,0,0,15
hyperledger/fabric-private-chaincode,2025-07,2,2,0,0,0,0,0,4
hyperledger/fabric-private-chaincode,2025-08,1,1,0,1,0,0,0,3
hyperledger/fabric-private-chaincode,2026-01,0,3,0,0,0,0,0,3
hyperledger/fabric-private-chaincode,2026-02,3,0,0,0,0,0,0,3
hyperledger/fabric-private-chaincode,2026-03,0,0,0,0,1,0,0,1
hyperledger/fabric-samples,2025-01,2,2,0,2,1,0,0,7
LF-Decentralized-Trust-Mentorships/mentorship-program,2026-04,0,0,1,0,0,0,0,1
