repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PushEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssuesEvent,total
open-quantum-safe/liboqs,2024-01,4,2,1,0,0,0,0,0,7
open-quantum-safe/liboqs,2024-02,8,7,10,10,5,4,2,0,46
open-quantum-safe/liboqs,2024-03,2,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2024-04,17,23,6,0,0,0,0,2,48
open-quantum-safe/liboqs,2024-05,1,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2024-07,2,3,0,0,0,0,0,0,5
open-quantum-safe/liboqs,2024-08,0,0,1,0,0,0,0,0,1
open-quantum-safe/liboqs,2024-09,0,0,5,0,0,0,0,0,5
open-quantum-safe/liboqs,2024-10,4,2,10,0,0,0,0,0,16
open-quantum-safe/liboqs,2024-11,1,0,2,0,0,0,0,0,3
open-quantum-safe/liboqs,2025-01,3,3,0,0,0,0,0,0,6
open-quantum-safe/liboqs,2025-04,2,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2025-06,1,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2025-07,1,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2025-08,1,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2024-08,1,1,0,0,0,0,0,0,2
open-quantum-safe/tsc,2024-10,1,0,0,0,0,0,0,0,1
